"mass","coupling"
1.00000000000000004e-34,3.54813389233576042e-8
1.0087890977098018e-34,3.54813389233576042e-8
1.01765544365815594e-34,3.54813389233576042e-8
1.02659971678737074e-34,3.54813389233576042e-8
1.03562260200706994e-34,3.54813389233576042e-8
1.04472479024658912e-34,3.54813389233576042e-8
1.05390697850791853e-34,3.54813389233576042e-8
1.06316986991905791e-34,3.54813389233576042e-8
1.07251417378789374e-34,3.54813389233576042e-8
1.08194060565646297e-34,3.54813389233576042e-8
1.09144988735577954e-34,3.54813389233576042e-8
1.10104274706109268e-34,3.54813389233576042e-8
1.11071991934768115e-34,3.54813389233576042e-8
1.1204821452470512e-34,3.54813389233576042e-8
1.13033017230371583e-34,3.54813389233576042e-8
1.1402647546324208e-34,3.54813389233576042e-8
1.1502866529759283e-34,3.54813389233576042e-8
1.16039663476321469e-34,3.54813389233576042e-8
1.17059547416827365e-34,3.54813389233576042e-8
1.18088395216938067e-34,3.54813389233576042e-8
1.1912628566089344e-34,3.54813389233576042e-8
1.20173298225372782e-34,3.54813389233576042e-8
1.21229513085584737e-34,3.54813389233576042e-8
1.22295011121405623e-34,3.54813389233576042e-8
1.23369873923571949e-34,3.54813389233576042e-8
1.24454183799932157e-34,3.54813389233576042e-8
1.25548023781743372e-34,3.54813389233576042e-8
1.26651477630033628e-34,3.54813389233576042e-8
1.2776462984201373e-34,3.54813389233576042e-8
1.28887565657551837e-34,3.54813389233576042e-8
1.30020371065694569e-34,3.54813389233576042e-8
1.31163132811255646e-34,3.54813389233576042e-8
1.3231593840145638e-34,3.54813389233576042e-8
1.33478876112630905e-34,3.54813389233576042e-8
1.34652034996979343e-34,3.54813389233576042e-8
1.35835504889391438e-34,3.54813389233576042e-8
1.37029376414323427e-34,3.54813389233576042e-8
1.3823374099274213e-34,3.54813389233576042e-8
1.3944869084911876e-34,3.54813389233576042e-8
1.4067431901849561e-34,3.54813389233576042e-8
1.41910719353607831e-34,3.54813389233576042e-8
1.43157986532074955e-34,3.54813389233576042e-8
1.44416216063643847e-34,3.54813389233576042e-8
1.45685504297507069e-34,3.54813389233576042e-8
1.46965948429679598e-34,3.54813389233576042e-8
1.48257646510440528e-34,3.54813389233576042e-8
1.49560697451846036e-34,3.54813389233576042e-8
1.50875201035296405e-34,3.54813389233576042e-8
1.52201257919181621e-34,3.54813389233576042e-8
1.5353896964658679e-34,3.54813389233576042e-8
1.54888438653072941e-34,3.54813389233576042e-8
1.56249768274513421e-34,3.54813389233576042e-8
1.57623062755012019e-34,3.54813389233576042e-8
1.59008427254882737e-34,3.54813389233576042e-8
1.60405967858707802e-34,3.54813389233576042e-8
1.61815791583453311e-34,3.54813389233576042e-8
1.63238006386669193e-34,3.54813389233576042e-8
1.64672721174753535e-34,3.54813389233576042e-8
1.66120045811297375e-34,3.54813389233576042e-8
1.67580091125489625e-34,3.54813389233576042e-8
1.69052968920609028e-34,3.54813389233576042e-8
1.70538791982582952e-34,3.54813389233576042e-8
1.72037674088629432e-34,3.54813389233576042e-8
1.73549730015961431e-34,3.54813389233576042e-8
1.75075075550581441e-34,3.54813389233576042e-8
1.76613827496146434e-34,3.54813389233576042e-8
1.78166103682910663e-34,3.54813389233576042e-8
1.79732022976754449e-34,3.54813389233576042e-8
1.81311705288277477e-34,3.54813389233576042e-8
1.82905271581986938e-34,3.54813389233576042e-8
1.84512843885557348e-34,3.54813389233576042e-8
1.86134545299180892e-34,3.54813389233576042e-8
1.8777050000498493e-34,3.54813389233576042e-8
1.89420833276547064e-34,3.54813389233576042e-8
1.91085671488485162e-34,3.54813389233576042e-8
1.92765142126140528e-34,3.54813389233576042e-8
1.94459373795331002e-34,3.54813389233576042e-8
1.96168496232205039e-34,3.54813389233576042e-8
1.97892640313173149e-34,3.54813389233576042e-8
1.99631938064936285e-34,3.54813389233576042e-8
2.01386522674586116e-34,3.54813389233576042e-8
2.0315652849981025e-34,3.54813389233576042e-8
2.04942091079177531e-34,3.54813389233576042e-8
2.06743347142523536e-34,3.54813389233576042e-8
2.08560434621410631e-34,3.54813389233576042e-8
2.10393492659696935e-34,3.54813389233576042e-8
2.12242661624189484e-34,3.54813389233576042e-8
2.14108083115391126e-34,3.54813389233576042e-8
2.15989899978350672e-34,3.54813389233576042e-8
2.17888256313590679e-34,3.54813389233576042e-8
2.19803297488149155e-34,3.54813389233576042e-8
2.21735170146707312e-34,3.54813389233576042e-8
2.23684022222826279e-34,3.54813389233576042e-8
2.25650002950264129e-34,3.54813389233576042e-8
2.27633262874411099e-34,3.54813389233576042e-8
2.29633953863813382e-34,3.54813389233576042e-8
2.31652229121810567e-34,3.54813389233576042e-8
2.33688243198255549e-34,3.54813389233576042e-8
2.35742152001356942e-34,3.54813389233576042e-8
2.3781411280961384e-34,3.54813389233576042e-8
2.39904284283867389e-34,3.54813389233576042e-8
2.42012826479438361e-34,3.54813389233576042e-8
2.44139900858391417e-34,3.54813389233576042e-8
2.46285670301895113e-34,3.54813389233576042e-8
2.48450299122702521e-34,3.54813389233576042e-8
2.50633953077721404e-34,3.54813389233576042e-8
2.52836799380715377e-34,3.54813389233576042e-8
2.55059006715106061e-34,3.54813389233576042e-8
2.57300745246887992e-34,3.54813389233576042e-8
2.59562186637667706e-34,3.54813389233576042e-8
2.61843504057795982e-34,3.54813389233576042e-8
2.64144872199636833e-34,3.54813389233576042e-8
2.66466467290940362e-34,3.54813389233576042e-8
2.68808467108346112e-34,3.54813389233576042e-8
2.71171050990983403e-34,3.54813389233576042e-8
2.73554399854212812e-34,3.54813389233576042e-8
2.75958696203475424e-34,3.54813389233576042e-8
2.7838412414827727e-34,3.54813389233576042e-8
2.8083086941627404e-34,3.54813389233576042e-8
2.83299119367502284e-34,3.54813389233576042e-8
2.85789063008721722e-34,3.54813389233576042e-8
2.88300891007898079e-34,3.54813389233576042e-8
2.90834795708789398e-34,3.54813389233576042e-8
2.93390971145684175e-34,3.54813389233576042e-8
2.95969613058254784e-34,3.54813389233576042e-8
2.9857091890655605e-34,3.54813389233576042e-8
3.01195087886131039e-34,3.54813389233576042e-8
3.03842320943274581e-34,3.54813389233576042e-8
3.06512820790417959e-34,3.54813389233576042e-8
3.0920679192164939e-34,3.54813389233576042e-8
3.11924440628383129e-34,3.54813389233576042e-8
3.14665975015141223e-34,3.54813389233576042e-8
3.17431605015499357e-34,3.54813389233576042e-8
3.20221542408157158e-34,3.54813389233576042e-8
3.23036000833165887e-34,3.54813389233576042e-8
3.25875195808272176e-34,3.54813389233576042e-8
3.28739344745431888e-34,3.54813389233576042e-8
3.31628666967453e-34,3.54813389233576042e-8
3.34543383724801229e-34,3.54813389233576042e-8
3.3748371821252623e-34,3.54813389233576042e-8
3.40449895587363336e-34,3.54813389233576042e-8
3.43442142984969665e-34,3.54813389233576042e-8
3.46460689537328271e-34,3.54813389233576042e-8
3.49505766390277157e-34,3.54813389233576042e-8
3.52577606721220436e-34,3.54813389233576042e-8
3.55676445756978401e-34,3.54813389233576042e-8
3.58802520791811519e-34,3.54813389233576042e-8
3.61956071205573931e-34,3.54813389233576042e-8
3.65137338482055653e-34,3.54813389233576042e-8
3.68346566227471413e-34,3.54813389233576042e-8
3.71584000189111608e-34,3.54813389233576042e-8
3.74849888274172714e-34,3.54813389233576042e-8
3.78144480568722695e-34,3.54813389233576042e-8
3.81468029356863442e-34,3.54813389233576042e-8
3.84820789140043274e-34,3.54813389233576042e-8
3.88203016656558159e-34,3.54813389233576042e-8
3.91614970901192434e-34,3.54813389233576042e-8
3.9505691314506418e-34,3.54813389233576042e-8
3.9852910695562557e-34,3.54813389233576042e-8
4.02031818216858597e-34,3.54813389233576042e-8
4.05565315149615854e-34,3.54813389233576042e-8
4.09129868332172356e-34,3.54813389233576042e-8
4.12725750720938806e-34,3.54813389233576042e-8
4.16353237671376392e-34,3.54813389233576042e-8
4.2001260695906243e-34,3.54813389233576042e-8
4.23704138800974204e-34,3.54813389233576042e-8
4.27428115876939944e-34,3.54813389233576042e-8
4.31184823351298782e-34,3.54813389233576042e-8
4.34974548894717009e-34,3.54813389233576042e-8
4.38797582706229599e-34,3.54813389233576042e-8
4.42654217535459449e-34,3.54813389233576042e-8
4.46544748705030832e-34,3.54813389233576042e-8
4.50469474133198224e-34,3.54813389233576042e-8
4.54428694356637938e-34,3.54813389233576042e-8
4.5842271255347606e-34,3.54813389233576042e-8
4.6245183456649712e-34,3.54813389233576042e-8
4.66516368926579219e-34,3.54813389233576042e-8
4.70616626876296858e-34,3.54813389233576042e-8
4.74752922393769971e-34,3.54813389233576042e-8
4.78925572216698835e-34,3.54813389233576042e-8
4.83134895866634083e-34,3.54813389233576042e-8
4.8738121567342083e-34,3.54813389233576042e-8
4.91664856799896545e-34,3.54813389233576042e-8
4.95986147266782419e-34,3.54813389233576042e-8
5.00345417977818283e-34,3.54813389233576042e-8
5.04743002745076969e-34,3.54813389233576042e-8
5.09179238314542149e-34,3.54813389233576042e-8
5.13654464391886926e-34,3.54813389233576042e-8
5.18169023668503136e-34,3.54813389233576042e-8
5.22723261847718179e-34,3.54813389233576042e-8
5.27317527671284049e-34,3.54813389233576042e-8
5.31952172946078135e-34,3.54813389233576042e-8
5.3662755257103821e-34,3.54813389233576042e-8
5.41344024564356843e-34,3.54813389233576042e-8
5.46101950090870241e-34,3.54813389233576042e-8
5.50901693489732225e-34,3.54813389233576042e-8
5.5574362230230422e-34,3.54813389233576042e-8
5.60628107300318347e-34,3.54813389233576042e-8
5.65555522514242105e-34,3.54813389233576042e-8
5.70526245261937751e-34,3.54813389233576042e-8
5.75540656177546488e-34,3.54813389233576042e-8
5.80599139240654413e-34,3.54813389233576042e-8
5.85702081805667292e-34,3.54813389233576042e-8
5.9084987463149161e-34,3.54813389233576042e-8
5.96042911911447041e-34,3.54813389233576042e-8
6.01281591303471516e-34,3.54813389233576042e-8
6.06566313960542829e-34,3.54813389233576042e-8
6.11897484561416347e-34,3.54813389233576042e-8
6.1727551134160351e-34,3.54813389233576042e-8
6.22700806124652743e-34,3.54813389233576042e-8
6.2817378435365464e-34,3.54813389233576042e-8
6.33694865123074893e-34,3.54813389233576042e-8
6.39264471210841257e-34,3.54813389233576042e-8
6.44883029110712797e-34,3.54813389233576042e-8
6.50550969064959834e-34,3.54813389233576042e-8
6.56268725097277965e-34,3.54813389233576042e-8
6.62036735046045003e-34,3.54813389233576042e-8
6.67855440597837354e-34,3.54813389233576042e-8
6.73725287321274423e-34,3.54813389233576042e-8
6.79646724701105386e-34,3.54813389233576042e-8
6.85620206172650156e-34,3.54813389233576042e-8
6.91646189156510361e-34,3.54813389233576042e-8
6.97725135093619e-34,3.54813389233576042e-8
7.03857509480541457e-34,3.54813389233576042e-8
7.10043781905143673e-34,3.54813389233576042e-8
7.16284426082539317e-34,3.54813389233576042e-8
7.22579919891388036e-34,3.54813389233576042e-8
7.28930745410454161e-34,3.54813389233576042e-8
7.35337388955545238e-34,3.54813389233576042e-8
7.41800341116740023e-34,3.54813389233576042e-8
7.48320096795979328e-34,3.54813389233576042e-8
7.54897155244927491e-34,3.54813389233576042e-8
7.61532020103226556e-34,3.54813389233576042e-8
7.6822519943705027e-34,3.54813389233576042e-8
7.74977205778034448e-34,3.54813389233576042e-8
7.81788556162486773e-34,3.54813389233576042e-8
7.88659772171003713e-34,3.54813389233576042e-8
7.95591379968404635e-34,3.54813389233576042e-8
8.02583910344016458e-34,3.54813389233576042e-8
8.09637898752344744e-34,3.54813389233576042e-8
8.1675388535403775e-34,3.54813389233576042e-8
8.23932415057274571e-34,3.54813389233576042e-8
8.31174037559479122e-34,3.54813389233576042e-8
8.38479307389439936e-34,3.54813389233576042e-8
8.4584878394973256e-34,3.54813389233576042e-8
8.53283031559583772e-34,3.54813389233576042e-8
8.60782619498069809e-34,3.54813389233576042e-8
8.68348122047737488e-34,3.54813389233576042e-8
8.75980118538537942e-34,3.54813389233576042e-8
