observable,number_of_events,accuracy
energy,70,0.79775
energy,71,0.79945
energy,72,0.80125
energy,73,0.8025
energy,74,0.80505
energy,75,0.8075
energy,76,0.8107
energy,77,0.81185
energy,78,0.81315
energy,79,0.8159
energy,80,0.81675
energy,81,0.8184
energy,82,0.82035
energy,83,0.823
energy,84,0.825
energy,85,0.8268
energy,86,0.8287
energy,87,0.83045
energy,88,0.8314
energy,89,0.83335
energy,90,0.83545
energy,91,0.8365
energy,92,0.83815
energy,93,0.84015
energy,94,0.84255
energy,95,0.8442
energy,96,0.84585
energy,97,0.84725
energy,98,0.84875
energy,99,0.84995
energy,100,0.85065
energy,101,0.85085
energy,102,0.85095
energy,103,0.85275
energy,104,0.8546
energy,105,0.85485
energy,106,0.85645
energy,107,0.85845
energy,108,0.8611
energy,109,0.86235
energy,110,0.86345
energy,111,0.86495
energy,112,0.86635
energy,113,0.8676
energy,114,0.86955
energy,115,0.87045
energy,116,0.87165
energy,117,0.8714
energy,118,0.8735
energy,119,0.87435
energy,120,0.87615
energy,121,0.87675
energy,122,0.8785
energy,123,0.8807
energy,124,0.88215
energy,125,0.88195
energy,126,0.8836
energy,127,0.8843
energy,128,0.88505
energy,129,0.88605
energy,130,0.8874
energy,131,0.88915
energy,132,0.89125
energy,133,0.89225
energy,134,0.8931
energy,135,0.89395
energy,136,0.89475
energy,137,0.8958
energy,138,0.8963
energy,139,0.8975
energy,140,0.8986
energy,141,0.89935
energy,142,0.9005
energy,143,0.9013
energy,144,0.902
energy,145,0.9016
energy,146,0.9021
energy,147,0.9037
energy,148,0.9057
energy,149,0.90645
energy,150,0.90735
energy,151,0.90825
energy,152,0.9087
energy,153,0.90985
energy,154,0.9106
energy,155,0.9112
energy,156,0.91265
energy,157,0.9131
energy,158,0.9141
energy,159,0.9146
energy,160,0.91475
energy,161,0.9162
energy,162,0.91705
energy,163,0.91775
energy,164,0.9181
energy,165,0.9183
energy,166,0.91975
energy,167,0.9212
energy,168,0.92115
energy,169,0.92205
energy,170,0.92285
energy,171,0.9234
energy,172,0.92485
energy,173,0.92485
energy,174,0.92545
energy,175,0.92675
energy,176,0.92745
energy,177,0.92725
energy,178,0.92805
energy,179,0.929
energy,180,0.9293
energy,181,0.93
energy,182,0.9305
energy,183,0.9315
energy,184,0.93125
energy,185,0.932
energy,186,0.93285
energy,187,0.9335
energy,188,0.93405
energy,189,0.9343
energy,190,0.9354
energy_mean_z,30,0.878
energy_mean_z,31,0.8851
energy_mean_z,32,0.8876
energy_mean_z,33,0.8892
energy_mean_z,34,0.8937
energy_mean_z,35,0.8986
energy_mean_z,36,0.9046
energy_mean_z,37,0.9078
energy_mean_z,38,0.9124
energy_mean_z,39,0.9151
energy_mean_z,40,0.9177
energy_mean_z,41,0.9221
energy_mean_z,42,0.9225
energy_mean_z,43,0.9273
energy_mean_z,44,0.9304
energy_mean_z,45,0.9321
energy_mean_z,48,0.9388
energy_mean_z,50,0.9422
energy_mean_z,55,0.9499
energy_mean_z,60,0.9572
energy_mean_z,70,0.9702
