mass_GeV,ctau_m,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.3,117.493164585503,1,0.9212,0.97675,0.948975,0.9212,-4.751448305792915,3.3583495977018227
0.3,117.493164585503,2,0.99065,0.9857,0.988175,0.9857,-9.50289661158583,6.322760861610603
0.3,117.493164585503,3,0.9946,0.9967,0.99565,0.9946,-14.254344917378745,9.299186580628573
0.3,117.493164585503,4,0.9985,0.9992,0.99885,0.9985,-19.00579322317166,12.321644192721884
0.3,117.493164585503,5,0.99965,0.99965,0.99965,0.99965,-23.757241528964578,15.329396045817518
0.3,117.493164585503,6,0.99975,0.9999,0.999825,0.99975,-28.508689834757494,18.349413491258876
0.3,117.493164585503,7,0.9999,0.99995,0.999925,0.9999,-28.971948715304528,21.36288927503147
0.3,117.493164585503,8,1.0,1.0,1.0,1.0,-33.72339702109744,24.37062474288483
0.3,117.493164585503,9,1.0,1.0,1.0,1.0,-37.48479065483198,27.342270693902606
0.3,117.493164585503,10,1.0,1.0,1.0,1.0,-42.236238960624895,30.318463718663153
0.4,111.876783674932,1,0.8899,0.97745,0.933675,0.8899,-4.384086037043578,2.8533005566896588
0.4,111.876783674932,2,0.98365,0.9766,0.980125,0.9766,-8.768172074087156,5.67743492305739
0.4,111.876783674932,3,0.9906,0.99315,0.9918750000000001,0.9906,-13.152258111130735,8.359716101728985
0.4,111.876783674932,4,0.99695,0.99825,0.9976,0.99695,-17.53634414817431,10.996969167546528
0.4,111.876783674932,5,0.9992,0.9992,0.9992,0.9992,-18.579103358483962,13.679027382589133
0.4,111.876783674932,6,0.9997,0.99975,0.999725,0.9997,-21.89143404545341,16.34528757095977
0.4,111.876783674932,7,0.9999,0.9999,0.9999,0.9999,-26.275520082496982,19.043045619316885
0.4,111.876783674932,8,0.99995,0.9999,0.999925,0.9999,-29.878781279968607,21.671003964491415
0.4,111.876783674932,9,0.99995,1.0,0.9999750000000001,0.99995,-33.59196458968478,24.31133111678397
0.4,111.876783674932,10,1.0,1.0,1.0,1.0,-37.158206716967925,26.94792964509906
