mass_GeV,ctau_m,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.3,117.493164585503,1,0.9212,0.97675,0.948975,0.9212,-4.751448305792915,3.3583495977018227
0.3,117.493164585503,2,0.99065,0.9857,0.988175,0.9857,-9.50289661158583,6.322760861610603
0.3,117.493164585503,3,0.9946,0.9967,0.99565,0.9946,-14.254344917378745,9.299186580628573
0.3,117.493164585503,4,0.9985,0.9992,0.99885,0.9985,-19.00579322317166,12.321644192721884
0.3,117.493164585503,5,0.99965,0.99965,0.99965,0.99965,-23.757241528964578,15.329396045817518
0.3,117.493164585503,6,0.99975,0.9999,0.999825,0.99975,-28.508689834757494,18.349413491258876
0.3,117.493164585503,7,0.9999,0.99995,0.999925,0.9999,-28.971948715304528,21.36288927503147
0.3,117.493164585503,8,1.0,1.0,1.0,1.0,-33.72339702109744,24.37062474288483
0.3,117.493164585503,9,1.0,1.0,1.0,1.0,-37.48479065483198,27.342270693902606
0.3,117.493164585503,10,1.0,1.0,1.0,1.0,-42.236238960624895,30.318463718663153
