mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.4,24.98814290264955,mid,1,0.91505,0.95605,0.93555,0.91505,-5.531912586999871,2.769213586878227
0.4,24.98814290264955,mid,2,0.97985,0.98985,0.98485,0.97985,-11.063825173999742,5.538427173756454
0.4,24.98814290264955,mid,3,0.9939,0.9957,0.9948,0.9939,-16.59573776099961,8.18343486748362
0.4,24.98814290264955,mid,4,0.9976,0.99835,0.9979750000000001,0.9976,-18.923264538398783,10.716779363707932
0.4,24.98814290264955,mid,5,0.99915,0.9997,0.999425,0.99915,-23.253924701060654,13.35125198061473
0.4,24.98814290264955,mid,6,0.99985,0.99995,0.9999,0.99985,-26.93393795320215,15.943234035469185
0.4,24.98814290264955,mid,7,1.0,1.0,1.0,1.0,-31.79424718127268,18.52581418138938
0.4,24.98814290264955,mid,8,1.0,1.0,1.0,1.0,-36.31221099748239,21.134413265549266
0.4,24.98814290264955,mid,9,1.0,1.0,1.0,1.0,-41.037534525247366,23.757433859502854
0.4,24.98814290264955,mid,10,1.0,1.0,1.0,1.0,-45.185599132671605,26.348868416003185
0.4,24.98814290264955,mid,11,1.0,1.0,1.0,1.0,-49.51625929533347,28.953352318359997
0.4,24.98814290264955,mid,12,1.0,1.0,1.0,1.0,-53.97668356550282,31.55024058120885
0.4,24.98814290264955,mid,13,1.0,1.0,1.0,1.0,-58.49464738171252,34.12870911769345
0.4,24.98814290264955,mid,14,1.0,1.0,1.0,1.0,-62.94675838240338,36.70953005301168
0.4,24.98814290264955,mid,15,1.0,1.0,1.0,1.0,-67.42557506294207,39.32287580528876
0.4,24.98814290264955,mid,16,1.0,1.0,1.0,1.0,-71.88599933311143,41.90817734441349
0.4,24.98814290264955,mid,17,1.0,1.0,1.0,1.0,-76.29896319813129,44.50370259539455
0.4,24.98814290264955,mid,18,1.0,1.0,1.0,1.0,-80.77473511863177,47.11342705837848
0.4,24.98814290264955,mid,19,1.0,1.0,1.0,1.0,-85.14758717700285,49.6698895701807
0.4,24.98814290264955,mid,20,1.0,1.0,1.0,1.0,-89.69031514953019,52.24464090344979
0.4,24.98814290264955,mid,21,1.0,1.0,1.0,1.0,-94.16672675801557,54.83022348529078
0.4,24.98814290264955,mid,22,1.0,1.0,1.0,1.0,-98.66724782882415,57.43998840393209
0.4,24.98814290264955,mid,23,1.0,1.0,1.0,1.0,-103.04061955643314,60.06921340960874
0.4,24.98814290264955,mid,24,1.0,1.0,1.0,1.0,-107.47097868433232,62.659128689901834
0.4,24.98814290264955,mid,25,1.0,1.0,1.0,1.0,-111.9096953204853,65.21975764277514
0.4,24.98814290264955,mid,26,1.0,1.0,1.0,1.0,-116.34884329825323,67.79902223383488
0.4,24.98814290264955,mid,27,1.0,1.0,1.0,1.0,-120.86712695845537,70.38029442426551
0.4,24.98814290264955,mid,28,1.0,1.0,1.0,1.0,-125.2038566644834,72.99528355662446
0.4,24.98814290264955,mid,29,1.0,1.0,1.0,1.0,-129.72182048069308,75.58116328857872
0.4,24.98814290264955,mid,30,1.0,1.0,1.0,1.0,-134.07665786088725,78.1603447866199
0.4,24.98814290264955,mid,31,1.0,1.0,1.0,1.0,-138.59999408408885,80.75595085983744
0.4,24.98814290264955,mid,32,1.0,1.0,1.0,1.0,-142.99503026841302,83.36268781021093
0.4,24.98814290264955,mid,33,1.0,1.0,1.0,1.0,-147.4006076748978,85.97743669714947
0.4,24.98814290264955,mid,34,1.0,1.0,1.0,1.0,-151.9226316338823,88.53257652634912
0.4,24.98814290264955,mid,35,1.0,1.0,1.0,1.0,-156.34686999645038,91.10812636898322
0.4,24.98814290264955,mid,36,1.0,1.0,1.0,1.0,-160.7934589091601,93.73451180641555
0.4,24.98814290264955,mid,37,1.0,1.0,1.0,1.0,-165.22368645743722,96.3164554787283
0.4,24.98814290264955,mid,38,1.0,1.0,1.0,1.0,-169.62919527118515,98.89231718663356
0.4,24.98814290264955,mid,39,1.0,1.0,1.0,1.0,-173.99154616539198,101.52659631001345
0.4,24.98814290264955,mid,40,1.0,1.0,1.0,1.0,-178.4571496061131,104.10392325115463
0.4,24.98814290264955,mid,41,1.0,1.0,1.0,1.0,-182.84878853775865,106.71021737102711
0.4,24.98814290264955,mid,42,1.0,1.0,1.0,1.0,-187.34583436515115,109.30597815207489
0.4,24.98814290264955,mid,43,1.0,1.0,1.0,1.0,-191.82565952192152,111.9164617200106
0.4,24.98814290264955,mid,44,1.0,1.0,1.0,1.0,-196.21111206291414,114.47096957980497
0.4,24.98814290264955,mid,45,1.0,1.0,1.0,1.0,-200.66511822034465,117.08266446321494
