mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.75,33.85404806955476,high,1,0.82625,0.92155,0.8739,0.82625,-5.804306904077829,2.0259804095931155
0.75,33.85404806955476,high,2,0.93445,0.97535,0.9549000000000001,0.93445,-7.4961618796203595,3.736910337018226
0.75,33.85404806955476,high,3,0.97455,0.98685,0.9807,0.97455,-11.14207938200159,5.490560968989379
0.75,33.85404806955476,high,4,0.9881,0.99235,0.9902249999999999,0.9881,-15.121041370623548,7.23198068513573
0.75,33.85404806955476,high,5,0.9953,0.99655,0.995925,0.9953,-18.166791952434373,8.939292397906769
0.75,33.85404806955476,high,6,0.9974,0.9988,0.9981,0.9974,-21.9510202612969,10.65128425391151
0.75,33.85404806955476,high,7,0.99855,0.9991,0.9988250000000001,0.99855,-25.644919093665884,12.385634713186937
0.75,33.85404806955476,high,8,0.9994,0.9996,0.9995,0.9994,-29.11311856820026,14.10301222948914
0.75,33.85404806955476,high,9,0.9997,0.99985,0.9997750000000001,0.9997,-32.87518204126942,15.787055143948583
0.75,33.85404806955476,high,10,0.99985,0.9999,0.9998750000000001,0.99985,-36.510819566562745,17.532234615775227
0.75,33.85404806955476,high,11,1.0,0.9999,0.99995,0.9999,-40.097097268297716,19.250719777453952
0.75,33.85404806955476,high,12,1.0,0.99995,0.9999750000000001,0.99995,-43.60058675350888,20.973806760962194
0.75,33.85404806955476,high,13,0.99995,1.0,0.9999750000000001,0.99995,-47.33166207936823,22.67412780555236
0.75,33.85404806955476,high,14,1.0,1.0,1.0,1.0,-50.76683840113688,24.414482018555425
0.75,33.85404806955476,high,15,1.0,1.0,1.0,1.0,-54.38684090385938,26.132542070008803
0.75,33.85404806955476,high,16,1.0,1.0,1.0,1.0,-58.001558779714145,27.825290197594207
0.75,33.85404806955476,high,17,1.0,1.0,1.0,1.0,-61.59341545981343,29.517335247635025
0.75,33.85404806955476,high,18,1.0,1.0,1.0,1.0,-65.28588880679561,31.23009596803705
0.75,33.85404806955476,high,19,1.0,1.0,1.0,1.0,-68.87112208194714,32.96081191175985
0.75,33.85404806955476,high,20,1.0,1.0,1.0,1.0,-72.46754856579958,34.66123713842134
0.75,33.85404806955476,high,21,1.0,1.0,1.0,1.0,-76.08478405348936,36.372782788222906
0.75,33.85404806955476,high,22,1.0,1.0,1.0,1.0,-79.64736048954903,38.074390832516
0.75,33.85404806955476,high,23,1.0,1.0,1.0,1.0,-83.26391484511845,39.78201690043892
0.75,33.85404806955476,high,24,1.0,1.0,1.0,1.0,-86.88486806544469,41.5096384406239
0.75,33.85404806955476,high,25,1.0,1.0,1.0,1.0,-90.47498105156055,43.21713772307152
0.75,33.85404806955476,high,26,1.0,1.0,1.0,1.0,-94.12951855714047,44.950489856433066
0.75,33.85404806955476,high,27,1.0,1.0,1.0,1.0,-97.763309977432,46.643825456528575
0.75,33.85404806955476,high,28,1.0,1.0,1.0,1.0,-101.27460623153623,48.3556107137194
0.75,33.85404806955476,high,29,1.0,1.0,1.0,1.0,-104.9510377179571,50.07265837117424
0.75,33.85404806955476,high,30,1.0,1.0,1.0,1.0,-108.46140098522314,51.77371908845014
0.75,33.85404806955476,high,31,1.0,1.0,1.0,1.0,-112.01424371581189,53.47707918114108
0.75,33.85404806955476,high,32,1.0,1.0,1.0,1.0,-115.538493510567,55.211119414986456
0.75,33.85404806955476,high,33,1.0,1.0,1.0,1.0,-119.26267154004262,56.922682412231836
0.75,33.85404806955476,high,34,1.0,1.0,1.0,1.0,-122.8740204839471,58.66999713892878
0.75,33.85404806955476,high,35,1.0,1.0,1.0,1.0,-126.4728868097562,60.358321119315065
0.75,33.85404806955476,high,36,1.0,1.0,1.0,1.0,-130.00216823973892,62.042030340155364
0.75,33.85404806955476,high,37,1.0,1.0,1.0,1.0,-133.50648607220734,63.765660350187986
0.75,33.85404806955476,high,38,1.0,1.0,1.0,1.0,-137.23599857419833,65.48123884063233
0.75,33.85404806955476,high,39,1.0,1.0,1.0,1.0,-140.80963114480463,67.25654894619402
0.75,33.85404806955476,high,40,1.0,1.0,1.0,1.0,-144.4487895335503,68.95860883021757
0.75,33.85404806955476,high,41,1.0,1.0,1.0,1.0,-148.02300972579934,70.69219775899177
0.75,33.85404806955476,high,42,1.0,1.0,1.0,1.0,-151.65043688897453,72.41390318006503
0.75,33.85404806955476,high,43,1.0,1.0,1.0,1.0,-155.28808275900877,74.12807842550244
0.75,33.85404806955476,high,44,1.0,1.0,1.0,1.0,-158.73465788430764,75.83866227013354
0.75,33.85404806955476,high,45,1.0,1.0,1.0,1.0,-162.37207170032144,77.53966872112015
0.75,33.85404806955476,high,46,1.0,1.0,1.0,1.0,-166.01028405911205,79.27887700003448
0.75,33.85404806955476,high,47,1.0,1.0,1.0,1.0,-169.73047598594866,80.98524545282888
0.75,33.85404806955476,high,48,1.0,1.0,1.0,1.0,-173.29225226453872,82.7049439235025
0.75,33.85404806955476,high,49,1.0,1.0,1.0,1.0,-176.9140521547936,84.44393040036191
0.75,33.85404806955476,high,50,1.0,1.0,1.0,1.0,-180.51042676002322,86.12725562203732
0.75,33.85404806955476,high,51,1.0,1.0,1.0,1.0,-184.1868316571218,87.83722127532377
0.75,33.85404806955476,high,52,1.0,1.0,1.0,1.0,-187.75154418151612,89.55119255169652
0.75,33.85404806955476,high,53,1.0,1.0,1.0,1.0,-191.41754772046264,91.26779307790953
0.75,33.85404806955476,high,54,1.0,1.0,1.0,1.0,-194.88220778699556,92.9499943367149
0.75,33.85404806955476,high,55,1.0,1.0,1.0,1.0,-198.6479754119957,94.70640515133725
0.75,33.85404806955476,high,56,1.0,1.0,1.0,1.0,-202.18759592157684,96.42544005254952
0.75,33.85404806955476,high,57,1.0,1.0,1.0,1.0,-205.7219282973699,98.05560234773
0.75,33.85404806955476,high,58,1.0,1.0,1.0,1.0,-209.2389962424096,99.80873844662707
0.75,33.85404806955476,high,59,1.0,1.0,1.0,1.0,-212.90579910912976,101.51595356453606
0.75,33.85404806955476,high,60,1.0,1.0,1.0,1.0,-216.46845893477007,103.21101665049292
0.75,33.85404806955476,high,61,1.0,1.0,1.0,1.0,-220.13887143666147,104.99579555443617
0.75,33.85404806955476,high,62,1.0,1.0,1.0,1.0,-223.70659511489504,106.68451176158467
0.75,33.85404806955476,high,63,1.0,1.0,1.0,1.0,-227.36778046717956,108.37707587150646
0.75,33.85404806955476,high,64,1.0,1.0,1.0,1.0,-231.0479830336928,110.12723483879793
0.75,33.85404806955476,high,65,1.0,1.0,1.0,1.0,-234.42198824965175,111.83128273690076
0.75,33.85404806955476,high,66,1.0,1.0,1.0,1.0,-238.07131396078265,113.57454753099752
0.75,33.85404806955476,high,67,1.0,1.0,1.0,1.0,-241.74855386048722,115.28735651855628
0.75,33.85404806955476,high,68,1.0,1.0,1.0,1.0,-245.2789204315259,116.99704833019513
0.75,33.85404806955476,high,69,1.0,1.0,1.0,1.0,-248.91032181548974,118.75212924432378
0.75,33.85404806955476,high,70,1.0,1.0,1.0,1.0,-252.40784823016173,120.46208321547493
0.75,33.85404806955476,high,71,1.0,1.0,1.0,1.0,-255.9646006101705,122.18413956043464
0.75,33.85404806955476,high,72,1.0,1.0,1.0,1.0,-259.4888084144542,123.90228933346243
0.75,33.85404806955476,high,73,1.0,1.0,1.0,1.0,-263.0665534378722,125.60950957750336
0.75,33.85404806955476,high,74,1.0,1.0,1.0,1.0,-266.63470645786754,127.33654324908936
0.75,33.85404806955476,high,75,1.0,1.0,1.0,1.0,-270.4170938721438,129.08230574517825
0.75,33.85404806955476,high,76,1.0,1.0,1.0,1.0,-273.93788860528076,130.77766936826657
0.75,33.85404806955476,high,77,1.0,1.0,1.0,1.0,-277.5893503800106,132.4722693994999
0.75,33.85404806955476,high,78,1.0,1.0,1.0,1.0,-281.28717382197476,134.18709067283794
0.75,33.85404806955476,high,79,1.0,1.0,1.0,1.0,-284.8666526257024,135.90358443373418
0.75,33.85404806955476,high,80,1.0,1.0,1.0,1.0,-288.6891460004366,137.65185169625497
0.75,33.85404806955476,high,81,1.0,1.0,1.0,1.0,-292.2895049095429,139.31464848828585
0.75,33.85404806955476,high,82,1.0,1.0,1.0,1.0,-295.981120750016,141.0464049554416
0.75,33.85404806955476,high,83,1.0,1.0,1.0,1.0,-299.5758148808958,142.7289951966256
0.75,33.85404806955476,high,84,1.0,1.0,1.0,1.0,-303.0790518624879,144.41628862196444
0.75,33.85404806955476,high,85,1.0,1.0,1.0,1.0,-306.6318763354983,146.17017671504829
0.75,33.85404806955476,high,86,1.0,1.0,1.0,1.0,-310.4469429185328,147.94745551492193
0.75,33.85404806955476,high,87,1.0,1.0,1.0,1.0,-313.9578761244971,149.66256174916896
0.75,33.85404806955476,high,88,1.0,1.0,1.0,1.0,-317.68209393552956,151.36751606966166
0.75,33.85404806955476,high,89,1.0,1.0,1.0,1.0,-321.24843065381,153.07892162781405
0.75,33.85404806955476,high,90,1.0,1.0,1.0,1.0,-324.8538447092457,154.75746553146814
0.75,33.85404806955476,high,91,1.0,1.0,1.0,1.0,-328.4696301694434,156.48457547883288
0.75,33.85404806955476,high,92,1.0,1.0,1.0,1.0,-332.05182400179433,158.18591118917925
0.75,33.85404806955476,high,93,1.0,1.0,1.0,1.0,-335.5310917455217,159.939480391561
0.75,33.85404806955476,high,94,1.0,1.0,1.0,1.0,-339.2849002957165,161.66392549434454
0.75,33.85404806955476,high,95,1.0,1.0,1.0,1.0,-342.9195190638298,163.3376795850839
0.75,33.85404806955476,high,96,1.0,1.0,1.0,1.0,-346.4500198802464,165.09129009958951
0.75,33.85404806955476,high,97,1.0,1.0,1.0,1.0,-350.0915016863497,166.7993296953864
0.75,33.85404806955476,high,98,1.0,1.0,1.0,1.0,-353.665599509907,168.51057679709123
0.75,33.85404806955476,high,99,1.0,1.0,1.0,1.0,-357.2383523517528,170.2481387648231
0.75,33.85404806955476,high,100,1.0,1.0,1.0,1.0,-360.9279143738512,171.94067446643277
