mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.75,8.867250310500499,low,1,0.80775,0.9296,0.868675,0.80775,-5.930189042532197,1.8632399607754924
0.75,8.867250310500499,low,2,0.92185,0.97025,0.94605,0.92185,-6.9129570975771095,3.479407689955683
0.75,8.867250310500499,low,3,0.96935,0.9854,0.9773750000000001,0.96935,-10.706632686328133,5.0346657792916325
0.75,8.867250310500499,low,4,0.9865,0.99195,0.989225,0.9865,-14.47897737444831,6.62974679719676
0.75,8.867250310500499,low,5,0.9939,0.99555,0.9947250000000001,0.9939,-17.76039446100139,8.240104639449864
0.75,8.867250310500499,low,6,0.9965,0.99735,0.9969250000000001,0.9965,-21.288210033648486,9.811454373638457
0.75,8.867250310500499,low,7,0.99885,0.9987,0.998775,0.9987,-24.673351558578496,11.418788524959231
0.75,8.867250310500499,low,8,0.9994,0.99925,0.999325,0.99925,-28.205776063866296,13.006129732422574
0.75,8.867250310500499,low,9,0.99965,0.9993,0.999475,0.9993,-31.665598401711364,14.55094159889228
0.75,8.867250310500499,low,10,0.9999,0.99965,0.9997750000000001,0.99965,-35.16381798257589,16.129805273196197
0.75,8.867250310500499,low,11,0.9999,0.9999,0.9999,0.9999,-38.718102359988684,17.679692245863606
0.75,8.867250310500499,low,12,1.0,0.99995,0.9999750000000001,0.99995,-42.14012886720013,19.271374970934723
0.75,8.867250310500499,low,13,1.0,0.99995,0.9999750000000001,0.99995,-45.579699220306324,20.895086039402692
0.75,8.867250310500499,low,14,1.0,0.99995,0.9999750000000001,0.99995,-49.083937544254105,22.4859658269179
0.75,8.867250310500499,low,15,1.0,0.99995,0.9999750000000001,0.99995,-52.62069143505777,24.08199481713887
0.75,8.867250310500499,low,16,1.0,1.0,1.0,1.0,-56.133313147369485,25.623258904592774
0.75,8.867250310500499,low,17,1.0,1.0,1.0,1.0,-59.6635699739459,27.202069096178686
0.75,8.867250310500499,low,18,1.0,1.0,1.0,1.0,-63.03844714875043,28.76723679989766
0.75,8.867250310500499,low,19,1.0,1.0,1.0,1.0,-66.54631680581485,30.333621575989046
0.75,8.867250310500499,low,20,1.0,1.0,1.0,1.0,-69.99793661900532,31.945425704801963
0.75,8.867250310500499,low,21,1.0,1.0,1.0,1.0,-73.4762940163776,33.534171377663455
0.75,8.867250310500499,low,22,1.0,1.0,1.0,1.0,-76.90782289724993,35.09634880952595
0.75,8.867250310500499,low,23,1.0,1.0,1.0,1.0,-80.36940232109333,36.67959814952552
0.75,8.867250310500499,low,24,1.0,1.0,1.0,1.0,-83.83598968678201,38.26734229327204
0.75,8.867250310500499,low,25,1.0,1.0,1.0,1.0,-87.45990723169618,39.85146682807293
0.75,8.867250310500499,low,26,1.0,1.0,1.0,1.0,-90.73801121103457,41.43290382066767
0.75,8.867250310500499,low,27,1.0,1.0,1.0,1.0,-94.25322735443476,42.98987508179121
0.75,8.867250310500499,low,28,1.0,1.0,1.0,1.0,-97.791552756987,44.60652277025419
0.75,8.867250310500499,low,29,1.0,1.0,1.0,1.0,-101.2962823948248,46.2186678486768
0.75,8.867250310500499,low,30,1.0,1.0,1.0,1.0,-104.73728975008012,47.779054761794775
0.75,8.867250310500499,low,31,1.0,1.0,1.0,1.0,-108.18893580779698,49.35991711684095
0.75,8.867250310500499,low,32,1.0,1.0,1.0,1.0,-111.70831850202359,50.950940288280705
0.75,8.867250310500499,low,33,1.0,1.0,1.0,1.0,-115.23924819116965,52.51861154144409
0.75,8.867250310500499,low,34,1.0,1.0,1.0,1.0,-118.74518975890734,54.04496598434578
0.75,8.867250310500499,low,35,1.0,1.0,1.0,1.0,-122.15729255656376,55.6514985868815
0.75,8.867250310500499,low,36,1.0,1.0,1.0,1.0,-125.54313128509746,57.22724582892087
0.75,8.867250310500499,low,37,1.0,1.0,1.0,1.0,-129.09075484775656,58.828634506205944
0.75,8.867250310500499,low,38,1.0,1.0,1.0,1.0,-132.5608236236834,60.362358058641846
0.75,8.867250310500499,low,39,1.0,1.0,1.0,1.0,-136.10756298572733,61.94320598991765
0.75,8.867250310500499,low,40,1.0,1.0,1.0,1.0,-139.55714174805615,63.55204783188737
0.75,8.867250310500499,low,41,1.0,1.0,1.0,1.0,-143.05183481379845,65.16580048084406
0.75,8.867250310500499,low,42,1.0,1.0,1.0,1.0,-146.5430293660999,66.7393228731301
0.75,8.867250310500499,low,43,1.0,1.0,1.0,1.0,-149.99635994341736,68.29447281493002
0.75,8.867250310500499,low,44,1.0,1.0,1.0,1.0,-153.47400688113765,69.87991792542834
0.75,8.867250310500499,low,45,1.0,1.0,1.0,1.0,-156.9570290472372,71.45586989470127
0.75,8.867250310500499,low,46,1.0,1.0,1.0,1.0,-160.3431494607289,73.05579432222619
0.75,8.867250310500499,low,47,1.0,1.0,1.0,1.0,-163.80697837476527,74.59450888798985
0.75,8.867250310500499,low,48,1.0,1.0,1.0,1.0,-167.40569355260897,76.20266108193849
