mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
1.0,10.661285548069365,low,1,0.7528,0.8769,0.8148500000000001,0.7528,-1.9878068805885876,1.3081515407479114
1.0,10.661285548069365,low,2,0.87105,0.93835,0.9047000000000001,0.87105,-4.586626596820444,2.552256873256448
1.0,10.661285548069365,low,3,0.9279,0.9624,0.9451499999999999,0.9279,-6.940034419359413,3.6572235865592657
1.0,10.661285548069365,low,4,0.9557,0.97575,0.965725,0.9557,-9.269058748913167,4.749349981668377
1.0,10.661285548069365,low,5,0.9745,0.98385,0.979175,0.9745,-11.565973579502074,5.863333327439839
1.0,10.661285548069365,low,6,0.98465,0.9902,0.987425,0.98465,-13.858321837678737,6.978456514776175
1.0,10.661285548069365,low,7,0.99065,0.99395,0.9923,0.99065,-16.156280382731666,8.079293500791215
1.0,10.661285548069365,low,8,0.9942,0.99575,0.9949749999999999,0.9942,-18.45738283587361,9.186174435496824
1.0,10.661285548069365,low,9,0.9962,0.9976,0.9969,0.9962,-20.753267764844935,10.278156610221526
1.0,10.661285548069365,low,10,0.9975,0.99845,0.9979750000000001,0.9975,-23.022672770400604,11.395451154047036
1.0,10.661285548069365,low,11,0.99845,0.99935,0.9988999999999999,0.99845,-25.37237081944442,12.483358257447662
1.0,10.661285548069365,low,12,0.99895,0.9995,0.999225,0.99895,-27.674717845894165,13.58538558512252
1.0,10.661285548069365,low,13,0.9992,0.99975,0.999475,0.9992,-30.005890492540125,14.67881548440386
1.0,10.661285548069365,low,14,0.9995,0.99975,0.999625,0.9995,-32.25025169433556,15.807449457818095
1.0,10.661285548069365,low,15,0.9998,0.99985,0.999825,0.9998,-34.57773657565683,16.932601064296538
1.0,10.661285548069365,low,16,0.9998,0.9998,0.9998,0.9998,-36.91138089852835,18.05101566942859
1.0,10.661285548069365,low,17,0.99985,0.9999,0.9998750000000001,0.99985,-39.27227036181312,19.158391415435606
1.0,10.661285548069365,low,18,0.9999,0.99995,0.999925,0.9999,-41.58052923971407,20.24618356358645
1.0,10.661285548069365,low,19,0.9999,0.99995,0.999925,0.9999,-43.86648951561955,21.35783669354609
1.0,10.661285548069365,low,20,0.99995,1.0,0.9999750000000001,0.99995,-46.25806180392108,22.46727363505294
1.0,10.661285548069365,low,21,0.99995,1.0,0.9999750000000001,0.99995,-48.474020922881266,23.55330878826897
1.0,10.661285548069365,low,22,1.0,1.0,1.0,1.0,-50.82769721280253,24.646231276733687
1.0,10.661285548069365,low,23,1.0,1.0,1.0,1.0,-53.10424923266049,25.7255209990536
1.0,10.661285548069365,low,24,1.0,1.0,1.0,1.0,-55.428393634994606,26.83785590048424
1.0,10.661285548069365,low,25,1.0,1.0,1.0,1.0,-57.79297911487046,27.92665164322159
1.0,10.661285548069365,low,26,1.0,1.0,1.0,1.0,-60.00777811753334,29.05984946742945
1.0,10.661285548069365,low,27,1.0,1.0,1.0,1.0,-62.18432945417657,30.154722533249597
1.0,10.661285548069365,low,28,1.0,1.0,1.0,1.0,-64.55877214803806,31.25079507923813
1.0,10.661285548069365,low,29,1.0,1.0,1.0,1.0,-66.88502619279853,32.32990038584059
1.0,10.661285548069365,low,30,1.0,1.0,1.0,1.0,-69.1763485938431,33.424212732944696
1.0,10.661285548069365,low,31,1.0,1.0,1.0,1.0,-71.35136095575565,34.526284781975484
1.0,10.661285548069365,low,32,1.0,1.0,1.0,1.0,-73.70970895424733,35.62392047295119
1.0,10.661285548069365,low,33,1.0,1.0,1.0,1.0,-76.03037204965389,36.766717517866304
1.0,10.661285548069365,low,34,1.0,1.0,1.0,1.0,-78.39514083298153,37.85094560849546
1.0,10.661285548069365,low,35,1.0,1.0,1.0,1.0,-80.60730245597054,38.973493431763956
1.0,10.661285548069365,low,36,1.0,1.0,1.0,1.0,-82.8415738060836,40.10183931255568
1.0,10.661285548069365,low,37,1.0,1.0,1.0,1.0,-85.23476748008812,41.191520559567834
1.0,10.661285548069365,low,38,1.0,1.0,1.0,1.0,-87.70168301804384,42.311051097433094
1.0,10.661285548069365,low,39,1.0,1.0,1.0,1.0,-89.97390956157813,43.38544717422478
1.0,10.661285548069365,low,40,1.0,1.0,1.0,1.0,-92.2052736474527,44.49613554200213
1.0,10.661285548069365,low,41,1.0,1.0,1.0,1.0,-94.52976109481816,45.59555792505135
1.0,10.661285548069365,low,42,1.0,1.0,1.0,1.0,-96.83292558789014,46.70809815552737
1.0,10.661285548069365,low,43,1.0,1.0,1.0,1.0,-99.1500215433743,47.79790179622751
1.0,10.661285548069365,low,44,1.0,1.0,1.0,1.0,-101.45192858557729,48.92078399677598
1.0,10.661285548069365,low,45,1.0,1.0,1.0,1.0,-103.68857968360155,50.02494146432943
1.0,10.661285548069365,low,46,1.0,1.0,1.0,1.0,-106.21255286055842,51.10523315872092
1.0,10.661285548069365,low,47,1.0,1.0,1.0,1.0,-108.52296553498485,52.233848544403685
1.0,10.661285548069365,low,48,1.0,1.0,1.0,1.0,-110.75832357442141,53.33065674442672
1.0,10.661285548069365,low,49,1.0,1.0,1.0,1.0,-112.98710271430765,54.43182247411569
1.0,10.661285548069365,low,50,1.0,1.0,1.0,1.0,-115.38413671237409,55.56111668268416
1.0,10.661285548069365,low,51,1.0,1.0,1.0,1.0,-117.63503916177967,56.65906736180024
1.0,10.661285548069365,low,52,1.0,1.0,1.0,1.0,-120.03888842926901,57.75261211948096
1.0,10.661285548069365,low,53,1.0,1.0,1.0,1.0,-122.24929948309745,58.82440051519098
1.0,10.661285548069365,low,54,1.0,1.0,1.0,1.0,-124.6293537524065,59.95034905937662
