mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
1.0,13.773613035277583,mid,1,0.7613,0.864,0.81265,0.7613,-1.9548750937931123,1.340058990403684
1.0,13.773613035277583,mid,2,0.87675,0.9316,0.904175,0.87675,-4.793809355890949,2.5354053712626925
1.0,13.773613035277583,mid,3,0.9311,0.9609,0.946,0.9311,-7.009966494944251,3.6541948349172513
1.0,13.773613035277583,mid,4,0.95995,0.9749,0.967425,0.95995,-9.427370998728398,4.804559261987141
1.0,13.773613035277583,mid,5,0.9754,0.98555,0.980475,0.9754,-11.81142391182657,5.927427142879168
1.0,13.773613035277583,mid,6,0.9848,0.9908,0.9878,0.9848,-14.134196447074821,7.065716900353627
1.0,13.773613035277583,mid,7,0.9914,0.9941,0.99275,0.9914,-16.452412185595193,8.19532262840978
1.0,13.773613035277583,mid,8,0.9948,0.9953,0.99505,0.9948,-18.821468785726438,9.33530781785133
1.0,13.773613035277583,mid,9,0.99665,0.99755,0.9971000000000001,0.99665,-21.120512364232262,10.453837557249766
1.0,13.773613035277583,mid,10,0.9983,0.9988,0.99855,0.9983,-23.51385536099173,11.58542042001319
1.0,13.773613035277583,mid,11,0.9988,0.9991,0.99895,0.9988,-25.801083050935603,12.717569143878197
1.0,13.773613035277583,mid,12,0.99945,0.9993,0.9993749999999999,0.9993,-28.13205981735397,13.830223902402073
1.0,13.773613035277583,mid,13,0.9997,0.99965,0.9996750000000001,0.99965,-30.440583677117353,14.959269298675842
1.0,13.773613035277583,mid,14,0.9998,0.9998,0.9998,0.9998,-32.85300602926422,16.091147084011666
1.0,13.773613035277583,mid,15,0.99995,0.99995,0.99995,0.99995,-35.20537643089699,17.224143983783403
1.0,13.773613035277583,mid,16,0.9998,0.9999,0.99985,0.9998,-37.523064534207734,18.34518055507621
1.0,13.773613035277583,mid,17,1.0,0.99995,0.9999750000000001,0.99995,-39.77875357106063,19.500651593727987
