mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
1.0,17.794515979353292,high,1,0.76155,0.8644,0.812975,0.76155,-1.9300434552953962,1.3648338819042185
1.0,17.794515979353292,high,2,0.87515,0.9314,0.903275,0.87515,-4.743148117853599,2.580216376692046
1.0,17.794515979353292,high,3,0.9326,0.96105,0.946825,0.9326,-7.091795665390203,3.7285854026552947
1.0,17.794515979353292,high,4,0.9593,0.97635,0.967825,0.9593,-9.503337770570315,4.893504185629
1.0,17.794515979353292,high,5,0.9761,0.9853,0.9806999999999999,0.9761,-11.776547978165661,6.051736144001179
1.0,17.794515979353292,high,6,0.98535,0.99115,0.98825,0.98535,-14.081076792858696,7.205011764643034
1.0,17.794515979353292,high,7,0.99165,0.9947,0.993175,0.99165,-16.421723199495787,8.336865514524101
1.0,17.794515979353292,high,8,0.99505,0.99635,0.9957,0.99505,-18.751977353356118,9.465872184360196
1.0,17.794515979353292,high,9,0.99685,0.99755,0.9972000000000001,0.99685,-21.126554464511614,10.596013917541988
1.0,17.794515979353292,high,10,0.9982,0.9987,0.9984500000000001,0.9982,-23.461791316684955,11.761283131108122
1.0,17.794515979353292,high,11,0.9988,0.9991,0.99895,0.9988,-25.831841697131928,12.886973954859648
1.0,17.794515979353292,high,12,0.9994,0.99935,0.9993749999999999,0.99935,-28.168244503572666,14.037771122096371
1.0,17.794515979353292,high,13,0.99975,0.9996,0.9996750000000001,0.9996,-30.58604348278867,15.186007506745065
1.0,17.794515979353292,high,14,0.9998,0.9998,0.9998,0.9998,-32.90498186186727,16.341845724316286
1.0,17.794515979353292,high,15,0.9998,0.99985,0.999825,0.9998,-35.23276963098745,17.447833429617923
1.0,17.794515979353292,high,16,0.9998,0.99985,0.999825,0.9998,-37.68243471309127,18.6181273157844
1.0,17.794515979353292,high,17,1.0,0.9999,0.99995,0.9999,-40.0028899515989,19.801099454257617
1.0,17.794515979353292,high,18,0.99995,0.99995,0.99995,0.99995,-42.27656031537282,20.945343102862182
1.0,17.794515979353292,high,19,1.0,0.9999,0.99995,0.9999,-44.69402267189642,22.061519403603093
1.0,17.794515979353292,high,20,1.0,1.0,1.0,1.0,-47.08546673142057,23.2197317420558
1.0,17.794515979353292,high,21,1.0,1.0,1.0,1.0,-49.471485126024184,24.346238651052182
1.0,17.794515979353292,high,22,1.0,1.0,1.0,1.0,-51.84753723417289,25.50844286992548
1.0,17.794515979353292,high,23,1.0,1.0,1.0,1.0,-54.18826990443935,26.617769109422355
1.0,17.794515979353292,high,24,1.0,1.0,1.0,1.0,-56.62219386301592,27.786486492704263
1.0,17.794515979353292,high,25,1.0,1.0,1.0,1.0,-58.96147882268874,28.949906888224586
1.0,17.794515979353292,high,26,1.0,1.0,1.0,1.0,-61.334528900253616,30.07038964826566
1.0,17.794515979353292,high,27,1.0,1.0,1.0,1.0,-63.63090477846976,31.21002720403696
1.0,17.794515979353292,high,28,1.0,1.0,1.0,1.0,-65.90136575522646,32.35122729503375
1.0,17.794515979353292,high,29,1.0,1.0,1.0,1.0,-68.29977381986775,33.497148367837816
1.0,17.794515979353292,high,30,1.0,1.0,1.0,1.0,-70.62296102884189,34.625644441804866
1.0,17.794515979353292,high,31,1.0,1.0,1.0,1.0,-73.02058778271471,35.776016811920115
1.0,17.794515979353292,high,32,1.0,1.0,1.0,1.0,-75.40781092129137,36.90499711171515
1.0,17.794515979353292,high,33,1.0,1.0,1.0,1.0,-77.75236198967181,38.0137854743339
1.0,17.794515979353292,high,34,1.0,1.0,1.0,1.0,-80.20310529971857,39.15073947232588
1.0,17.794515979353292,high,35,1.0,1.0,1.0,1.0,-82.55774354448644,40.36358743439103
1.0,17.794515979353292,high,36,1.0,1.0,1.0,1.0,-85.00809350507504,41.529797880962896
1.0,17.794515979353292,high,37,1.0,1.0,1.0,1.0,-87.3884268136558,42.6216239335904
1.0,17.794515979353292,high,38,1.0,1.0,1.0,1.0,-89.65545647684456,43.77275121246384
