mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.3,4.696863888674442,low,1,0.8821,0.98125,0.931675,0.8821,-6.2667597975408995,2.8883609151434646
0.3,4.696863888674442,low,2,0.97835,0.99265,0.9855,0.97835,-12.533519595081799,5.435628518190467
0.3,4.696863888674442,low,3,0.9938,0.9956,0.9947,0.9938,-18.8002793926227,8.014615642897178
0.3,4.696863888674442,low,4,0.998,0.9989,0.9984500000000001,0.998,-21.035344682354378,10.576699372714153
0.3,4.696863888674442,low,5,0.9992,0.99955,0.999375,0.9992,-25.009542593903898,13.145110281482111
0.3,4.696863888674442,low,6,0.99975,0.99985,0.9998,0.99975,-30.510389903229246,15.719824849996307
0.3,4.696863888674442,low,7,0.9999,0.99995,0.999925,0.9999,-35.803929567167856,18.260713411009007
0.3,4.696863888674442,low,8,0.99995,0.99995,0.99995,0.99995,-40.97895766764283,20.835092579861332
0.3,4.696863888674442,low,9,0.99995,1.0,0.9999750000000001,0.99995,-46.04488727625827,23.387554907444866
0.3,4.696863888674442,low,10,1.0,1.0,1.0,1.0,-50.87324059494032,25.926738026208845
0.3,4.696863888674442,low,11,1.0,1.0,1.0,1.0,-55.5370519464852,28.481935295039357
0.3,4.696863888674442,low,12,1.0,1.0,1.0,1.0,-60.81347216107175,31.061051118791724
0.3,4.696863888674442,low,13,1.0,1.0,1.0,1.0,-65.77800965557562,33.61745039702469
0.3,4.696863888674442,low,14,1.0,1.0,1.0,1.0,-70.74254715007949,36.164339386562496
0.3,4.696863888674442,low,15,1.0,1.0,1.0,1.0,-75.87495662421874,38.735966332490335
0.3,4.696863888674442,low,16,1.0,1.0,1.0,1.0,-80.75390218577584,41.329448218403684
0.3,4.696863888674442,low,17,1.0,1.0,1.0,1.0,-85.72162264086407,43.87232445033168
0.3,4.696863888674442,low,18,1.0,1.0,1.0,1.0,-90.78755224947952,46.430105313551024
0.3,4.696863888674442,low,19,1.0,1.0,1.0,1.0,-95.82639617413267,48.975915344314714
0.3,4.696863888674442,low,20,1.0,1.0,1.0,1.0,-100.706016924047,51.51416696643551
0.3,4.696863888674442,low,21,1.0,1.0,1.0,1.0,-105.62726060385793,54.087268460817214
0.3,4.696863888674442,low,22,1.0,1.0,1.0,1.0,-110.58715449432067,56.65371568292607
0.3,4.696863888674442,low,23,1.0,1.0,1.0,1.0,-115.47992060125884,59.17662190782836
0.3,4.696863888674442,low,24,1.0,1.0,1.0,1.0,-120.4054690728592,61.72422469150661
0.3,4.696863888674442,low,25,1.0,1.0,1.0,1.0,-125.45131615358385,64.31753278278597
0.3,4.696863888674442,low,26,1.0,1.0,1.0,1.0,-130.6259698121389,66.83343864686769
0.3,4.696863888674442,low,27,1.0,1.0,1.0,1.0,-135.60293217255787,69.38140136384666
0.3,4.696863888674442,low,28,1.0,1.0,1.0,1.0,-140.53606610520598,71.93805342946547
0.3,4.696863888674442,low,29,1.0,1.0,1.0,1.0,-145.49666311474206,74.51467700531472
0.3,4.696863888674442,low,30,1.0,1.0,1.0,1.0,-150.4668837084659,77.05832859920446
0.3,4.696863888674442,low,31,1.0,1.0,1.0,1.0,-155.55307982672377,79.6446110431624
0.3,4.696863888674442,low,32,1.0,1.0,1.0,1.0,-160.57496897988898,82.21213525557002
0.3,4.696863888674442,low,33,1.0,1.0,1.0,1.0,-165.43923660485157,84.7836260714366
0.3,4.696863888674442,low,34,1.0,1.0,1.0,1.0,-170.40869559214588,87.3355140068965
0.3,4.696863888674442,low,35,1.0,1.0,1.0,1.0,-175.4424792411757,89.90599734021589
0.3,4.696863888674442,low,36,1.0,1.0,1.0,1.0,-180.4186116801803,92.4588394925663
0.3,4.696863888674442,low,37,1.0,1.0,1.0,1.0,-185.5441268318532,95.02586362267812
0.3,4.696863888674442,low,38,1.0,1.0,1.0,1.0,-190.46589864810755,97.55111236739361
0.3,4.696863888674442,low,39,1.0,1.0,1.0,1.0,-195.5145337281794,100.13410590993846
0.3,4.696863888674442,low,40,1.0,1.0,1.0,1.0,-200.55551960892072,102.69105820385403
0.3,4.696863888674442,low,41,1.0,1.0,1.0,1.0,-205.4676767300848,105.28748970118029
0.3,4.696863888674442,low,42,1.0,1.0,1.0,1.0,-210.40111725525557,107.82714278229612
0.3,4.696863888674442,low,43,1.0,1.0,1.0,1.0,-215.46445532375805,110.3578343627481
0.3,4.696863888674442,low,44,1.0,1.0,1.0,1.0,-220.5479017086741,112.92210321346724
0.3,4.696863888674442,low,45,1.0,1.0,1.0,1.0,-225.61207080159144,115.44627849508298
0.3,4.696863888674442,low,46,1.0,1.0,1.0,1.0,-230.49605922772884,117.99070495379121
0.3,4.696863888674442,low,47,1.0,1.0,1.0,1.0,-235.5377563764905,120.60062261258025
0.3,4.696863888674442,low,48,1.0,1.0,1.0,1.0,-240.6290074315047,123.13828695896788
0.3,4.696863888674442,low,49,1.0,1.0,1.0,1.0,-245.62580997906457,125.70264830143921
0.3,4.696863888674442,low,50,1.0,1.0,1.0,1.0,-250.72794222634792,128.25842572194895
0.3,4.696863888674442,low,51,1.0,1.0,1.0,1.0,-255.69722082934544,130.81012200089071
0.3,4.696863888674442,low,52,1.0,1.0,1.0,1.0,-260.58424427668587,133.33774467784082
0.3,4.696863888674442,low,53,1.0,1.0,1.0,1.0,-265.5617499958198,135.90114066900452
0.3,4.696863888674442,low,54,1.0,1.0,1.0,1.0,-270.5559395375576,138.54486357756218
0.3,4.696863888674442,low,55,1.0,1.0,1.0,1.0,-275.4946738043033,141.08117386667953
0.3,4.696863888674442,low,56,1.0,1.0,1.0,1.0,-280.4925467009599,143.58028670360238
0.3,4.696863888674442,low,57,1.0,1.0,1.0,1.0,-285.5004625629057,146.11190951045103
0.3,4.696863888674442,low,58,1.0,1.0,1.0,1.0,-290.40908644483727,148.70424530082425
0.3,4.696863888674442,low,59,1.0,1.0,1.0,1.0,-295.4655356559207,151.19229972577222
0.3,4.696863888674442,low,60,1.0,1.0,1.0,1.0,-300.4201536729281,153.7926835899616
0.3,4.696863888674442,low,61,1.0,1.0,1.0,1.0,-305.37783634258597,156.31176873542432
0.3,4.696863888674442,low,62,1.0,1.0,1.0,1.0,-310.32148714691175,158.89820594768912
0.3,4.696863888674442,low,63,1.0,1.0,1.0,1.0,-315.35426663224564,161.46663055764805
