mass_GeV,lifetime_label,log_interval_fraction,ctau_m,ctau_lower_m,ctau_upper_m,photon_expected_events,su2_expected_events,number_of_adaptive_bins,minimum_required_bin_N_eff,photon_template_total_N_eff,su2_template_total_N_eff,model_total_variation_distance,KL_photon_to_su2_per_event,KL_su2_to_photon_per_event,minimum_events_for_90pct_worst_case_accuracy,minimum_events_for_95pct_worst_case_accuracy,minimum_events_for_99pct_worst_case_accuracy
0.3,low,0.1,4.696863888674442,3.0,265.45350016020666,18537.789921239608,182022.84320612898,19,100.0,634318.3956969909,531628.6863580561,0.8622046708887838,4.992305017517578,2.5581492672489357,2,2,3
0.3,mid,0.5,28.219860036517176,3.0,265.45350016020666,798.9427095116896,5304.828378096412,19,100.0,437139.5659927888,514375.6302177627,0.8969979215569144,5.074583539139456,2.9237712867445564,1,2,3
0.3,high,0.9,169.5515389323684,3.0,265.45350016020666,24.349003307378393,148.30941880090776,18,100.0,376820.77099749626,466290.22323360527,0.9025596044026034,4.13822087809654,2.9884551530443737,1,2,3
0.4,low,0.1,5.770252120286774,4.0,156.10182143080877,4605.7968339835425,67642.89808748683,19,100.0,648896.6910726095,530626.9016136257,0.8407349126892946,4.826370602105029,2.3262661239904636,2,2,3
0.4,mid,0.5,24.98814290264955,4.0,156.10182143080877,349.4916482732368,3799.7013814318657,19,100.0,492621.30331093055,501771.3483845029,0.8669452234690066,4.441642858643513,2.592612588522284,1,2,3
0.4,high,0.9,108.21143906831625,4.0,156.10182143080877,20.558250040218557,205.73752575450112,18,100.0,434619.77811254404,377704.6920300273,0.8709198355579555,3.6478013436005168,2.6407017047056063,2,2,3
0.5,low,0.1,6.7462274651205965,5.0,99.97231863122911,1484.421635687545,31805.010265185458,20,100.0,662468.5553009019,531570.7992995713,0.8107105168189886,4.58497536194575,2.10853989590006,2,2,4
0.5,mid,0.5,22.357584689678486,5.0,99.97231863122911,179.13158139541173,3047.7661489621432,20,100.0,539593.9519249998,503625.4158288889,0.8370140644773971,4.0378445537350345,2.3027425773986923,2,2,3
0.5,high,0.9,74.09498060071857,5.0,99.97231863122911,17.98393420064119,282.7993874729059,20,100.0,485068.6779228228,411164.46574811614,0.8423927118470625,3.5431731515557394,2.3499194406628043,2,2,4
0.75,low,0.1,8.867250310500499,7.5,40.02564243419444,159.3607164752259,8353.069045971006,24,100.0,691868.2952706104,527312.9956109994,0.7297304195139275,3.47292221896602,1.581055808816669,2,3,5
0.75,mid,0.5,17.326058936078283,7.5,40.02564243419444,48.503421235384,2286.882378003971,24,100.0,629210.4934799109,493976.28337540384,0.7449607102791842,3.5638500081153497,1.6683557325846832,2,3,5
0.75,high,0.9,33.85404806955476,7.5,40.02564243419444,13.794968981960446,615.0338316989912,24,100.0,589141.4318515239,435523.0529487237,0.7524298040518689,3.6060456579688815,1.715302324811053,2,3,5
1.0,low,0.1,10.661285548069365,10.0,18.971241604556862,28.219510997000977,3381.9653340421532,31,100.0,717630.3342655133,512113.4235416387,0.6226209492474467,2.308394703059937,1.103098864621233,3,4,7
1.0,mid,0.5,13.773613035277583,10.0,18.971241604556862,17.88014717106344,2076.1965307940786,31,100.0,695069.2462169614,494611.28649764997,0.627951101598402,2.33514308844195,1.1266216335175878,3,4,7
1.0,high,0.9,17.794515979353292,10.0,18.971241604556862,11.200491338182148,1269.124169733681,31,100.0,675771.3673485296,473696.8108463054,0.6320119175787803,2.3566919602532614,1.14540234755375,3,4,7
