mass_GeV,lifetime_label,log_interval_fraction,ctau_m,ctau_lower_m,ctau_upper_m
0.3,low,0.1,4.696863888674442,3.0,265.45350016020666
0.3,mid,0.5,28.219860036517176,3.0,265.45350016020666
0.3,high,0.9,169.5515389323684,3.0,265.45350016020666
0.4,low,0.1,5.770252120286774,4.0,156.10182143080877
0.4,mid,0.5,24.98814290264955,4.0,156.10182143080877
0.4,high,0.9,108.21143906831625,4.0,156.10182143080877
0.5,low,0.1,6.7462274651205965,5.0,99.97231863122911
0.5,mid,0.5,22.357584689678486,5.0,99.97231863122911
0.5,high,0.9,74.09498060071857,5.0,99.97231863122911
0.75,low,0.1,8.867250310500499,7.5,40.02564243419444
0.75,mid,0.5,17.326058936078283,7.5,40.02564243419444
0.75,high,0.9,33.85404806955476,7.5,40.02564243419444
1.0,low,0.1,10.661285548069365,10.0,18.971241604556862
1.0,mid,0.5,13.773613035277583,10.0,18.971241604556862
1.0,high,0.9,17.794515979353292,10.0,18.971241604556862
