mass_GeV,ctau_m,lifetime_label,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
0.4,5.770252120286774,low,0,0.4,21.981634954304976,0.7538423296179397,0.0012567894095355918,-6.396622852835891
0.4,5.770252120286774,low,1,21.981634954304976,25.238293779207726,0.04927841924143539,0.0035638408116330693,-2.626647398665785
0.4,5.770252120286774,low,2,25.238293779207726,28.977438402999603,0.04230925390467477,0.010158362792713314,-1.4267085438419167
0.4,5.770252120286774,low,3,28.977438402999603,33.27055084410684,0.0343663090679012,0.024082406128774707,-0.35559515916494167
0.4,5.770252120286774,low,4,33.27055084410684,38.19970344085745,0.029002332146896712,0.04431310146677907,0.4239041318869299
0.4,5.770252120286774,low,5,38.19970344085745,43.859127845727414,0.023284369645581563,0.0696370092513654,1.0955138633305972
0.4,5.770252120286774,low,6,43.859127845727414,50.35701647176671,0.018397394869533373,0.09397826520993156,1.6308544629497652
0.4,5.770252120286774,low,7,50.35701647176671,57.81759082983714,0.014217750999203017,0.11723850555809151,2.109719114614885
0.4,5.770252120286774,low,8,57.81759082983714,66.38347629750241,0.010964451597305152,0.12933196651086049,2.467724115990869
0.4,5.770252120286774,low,9,66.38347629750241,76.21842871852988,0.007644815215795311,0.12991812804295577,2.8328767992800628
0.4,5.770252120286774,low,10,76.21842871852988,87.5104649579821,0.005594533922874946,0.11930328140018007,3.0598787983167326
0.4,5.770252120286774,low,11,87.5104649579821,100.47545726038321,0.00394010090873834,0.09567243822969472,3.189723920862071
0.4,5.770252120286774,low,12,100.47545726038321,115.36126012506426,0.002657263868916748,0.07035907672975808,3.2763148250011342
0.4,5.770252120286774,low,13,115.36126012506426,132.45244859303648,0.001827698698957277,0.046235275519871374,3.2306854121999145
0.4,5.770252120286774,low,14,132.45244859303648,152.07575852822455,0.0010546082956088526,0.026256596416510968,3.2147478353245704
0.4,5.770252120286774,low,15,152.07575852822455,174.6063328960663,0.0006726960312091289,0.012445797624495068,2.9178447394911604
0.4,5.770252120286774,low,16,174.6063328960663,200.47489345090884,0.00044467431422916297,0.004595010166009597,2.3353841111182394
0.4,5.770252120286774,low,17,200.47489345090884,230.17597493486272,0.0002582547816086523,0.0013350834659308325,1.642802466922574
0.4,5.770252120286774,low,18,230.17597493486272,400.0,0.0002427428715906424,0.00031906526490896835,0.27339293253864577
