model,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,N_events_before_ECAL_primary,N_events_before_ECAL_cascade,N_events_before_ECAL_inclusive,valid_mother_samples,samples_passing_ECAL,template_model_seed
ALP-SU2L,0.3,3.0,3.0,9.078213333333322e-08,305112.9766442094,431371.12113852665,0.7073096962052501,True,,,305112.9766442094,,,431371.12113852665,612284,462009,54421
ALP-SU2L,0.3,5.1,3.0,5.340125490196072e-08,109286.92162647181,155117.5737579885,0.7045424897953807,True,,,109286.92162647181,,,155117.5737579885,612678,461804,54421
ALP-SU2L,0.3,8.67,3.0,3.14125028835063e-08,38634.45210321116,54915.11285518767,0.7035304143886772,True,,,38634.45210321116,,,54915.11285518767,612917,462015,54421
ALP-SU2L,0.3,14.738999999999999,3.0,1.847794287265077e-08,13532.659422951148,19261.9768623713,0.702558180795425,True,,,13532.659422951148,,,19261.9768623713,613054,461979,54421
ALP-SU2L,0.3,25.056299999999997,3.0,1.0869378160382806e-08,4719.356776897887,6719.943878683143,0.702291099761789,True,,,4719.356776897887,,,6719.943878683143,613151,462342,54421
ALP-SU2L,0.3,42.59570999999999,3.0,6.39375185904871e-09,1640.2841416303988,2336.8286596371017,0.7019274326621479,True,,,1640.2841416303988,,,2336.8286596371017,613207,462100,54421
ALP-SU2L,0.3,72.41270699999998,3.0,3.761030505322771e-09,568.6549210284188,811.0394615536716,0.7011433450341273,True,,,568.6549210284188,,,811.0394615536716,613241,462104,54421
ALP-SU2L,0.3,123.10160189999996,3.0,2.212370885483983e-09,197.17714191273186,281.1452356303632,0.7013355267096587,True,,,197.17714191273186,,,281.1452356303632,613254,462214,54421
ALP-SU2L,0.3,209.27272322999994,3.0,1.30139463851999e-09,68.25665834757575,97.38782403817113,0.7008746629437226,True,,,68.25665834757575,,,97.38782403817113,613261,462122,54421
ALP-SU2L,0.3,355.7636294909999,3.0,7.655262579529352e-10,23.63989673524217,33.719981224009906,0.7010649436070762,True,,,23.63989673524217,,,33.719981224009906,613266,462271,54421
ALP-SU2L,0.3,463.8590218122701,3.0,5.871318378932422e-10,13.916529281626858,19.839611404993082,0.7014517067670212,True,,,13.916529281626858,,,19.839611404993082,613268,462518,54421
ALP-SU2L,0.3,529.6612951618541,3.0,5.141897331138307e-10,10.659971440448276,15.21767614161847,0.7004992970835124,True,,,10.659971440448276,,,15.21767614161847,613270,462025,54421
ALP-SU2L,0.3,538.5174330207168,3.0,5.057336741585532e-10,10.322360710556476,14.721384062735623,0.7011814015969846,True,,,10.322360710556476,,,14.721384062735623,613269,462344,54421
ALP-SU2L,0.3,543.0008774120778,3.0,5.015579372504748e-10,10.152645753878446,14.479357727042087,0.7011806701147425,True,,,10.152645753878446,,,14.479357727042087,613269,462344,54421
ALP-SU2L,0.3,545.2565778934178,3.0,4.994830159632401e-10,10.068837423664702,14.359840585840884,0.7011803065274134,True,,,10.068837423664702,,,14.359840585840884,613269,462344,54421
ALP-SU2L,0.3,546.3879396389809,3.0,4.984487764864451e-10,10.027193019490696,14.300452420312885,0.7011801252698624,True,,,10.027193019490696,,,14.300452420312885,613269,462344,54421
ALP-SU2L,0.3,546.954500512908,3.0,4.979324600942238e-10,10.006435444320386,14.270850492104847,0.7011800347748237,True,,,10.006435444320386,,,14.270850492104847,613269,462344,54421
