mass_GeV,photon_maximum_N_events,su2_maximum_N_events,photon_maximum_N_events_before_ECAL,su2_maximum_N_events_before_ECAL,photon_has_observable_interval,su2_has_observable_interval,both_models_have_observable_interval,has_common_observable_interval
0.3,42039.87617726989,305112.9766442094,127707.0754663132,431371.12113852665,True,True,True,True
0.4,7582.764232594722,92383.67598159559,24267.908698215117,136779.42569834623,True,True,True,True
0.5,1913.3341495182847,36510.957950372496,6159.93608393091,56505.638595059194,True,True,True,True
0.6,598.3446532912434,16990.118894906933,1882.0819909359004,27559.649990634174,True,True,True,True
0.75,136.04630726653733,6580.784372458838,406.334012289935,11461.968866412513,True,True,True,True
0.9,39.257824555720134,3023.113350748776,110.30082801147664,5700.648047663664,True,True,True,True
1.0,18.662698936145436,1921.6810815874746,50.90599044444876,3834.8767106379787,True,True,True,True
1.05,12.940166274848432,1559.587498585851,35.11213601600982,3209.072819813513,True,True,True,True
1.1,9.168438884722931,1273.1172309361857,24.640893838176808,2704.541357331446,False,True,False,False
1.15,6.624706350494575,1049.3667265878994,17.58999020470448,2295.499767214442,False,True,False,False
1.2,4.861483842455259,875.1105841038508,12.689117622613296,1967.2298307644207,False,True,False,False
1.3,2.6672963492106962,616.1790703544515,6.818224343488344,1486.3431491241586,False,True,False,False
1.4,1.496621304321468,446.6455784022831,3.790461727981472,1157.0148538807314,False,True,False,False
1.5,0.8847386085817166,330.1717177228359,2.186659805609012,914.7348442155023,False,True,False,False
