mass_GeV,photon_maximum_N_events,su2_maximum_N_events,photon_has_observable_interval,su2_has_observable_interval,both_models_have_observable_interval,has_common_observable_interval
0.3,127604.48928401056,430512.89776207134,True,True,True,True
0.4,24223.37439562777,137252.38606372545,True,True,True,True
0.5,6149.472523196024,56451.70115600155,True,True,True,True
0.6,1873.288497351256,27385.79239297076,True,True,True,True
0.75,406.437111528703,11519.499958316894,True,True,True,True
0.9,110.22418895800357,5689.968694862032,True,True,True,True
1.0,50.9247181463934,3833.770715864936,True,True,True,True
1.05,35.26150992077228,3209.189541603219,True,True,True,True
1.1,24.678520421047565,2703.572539942,True,True,True,True
1.15,17.54823059461893,2301.134340703689,True,True,True,True
1.2,12.72365089470157,1968.1288474980072,True,True,True,True
1.25,9.26125384552241,1695.901370233679,False,True,False,False
1.5,2.1791043555685796,921.1686500174415,False,True,False,False
2.0,0.2023943450775678,388.358272446681,False,True,False,False
2.5,0.025662605325546962,205.17265745233945,False,True,False,False
3.0,0.00526706676607132,108.19255139003171,False,True,False,False
3.5,0.0013350934264082484,43.72525974134433,False,True,False,False
4.0,0.0003994551693584549,13.746434835823495,False,True,False,False
