mass_GeV,ctau_m,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.3,245.299828267079,1,0.9811,0.99295,0.987025,0.9811,-4.8133878889889035,5.197835971204168
0.3,245.299828267079,2,0.99605,0.99395,0.995,0.99395,-9.626775777977807,9.984186449922213
0.3,245.299828267079,3,0.9994,0.99965,0.999525,0.9994,-14.440163666966711,14.824721794161634
0.3,245.299828267079,4,0.9999,0.9998,0.99985,0.9998,-19.253551555955614,19.653876754282308
0.3,245.299828267079,5,1.0,1.0,1.0,1.0,-24.066939444944516,24.486517476773614
0.3,245.299828267079,6,1.0,1.0,1.0,1.0,-28.88032733393342,29.330863695231333
0.3,245.299828267079,7,1.0,1.0,1.0,1.0,-33.69371522292232,34.16570704298773
0.3,245.299828267079,8,1.0,1.0,1.0,1.0,-38.50710311191123,39.01270930023841
0.3,245.299828267079,9,1.0,1.0,1.0,1.0,-43.320491000900134,43.8049939382351
0.3,245.299828267079,10,1.0,1.0,1.0,1.0,-48.13387888988904,48.60530269750882
0.4,153.640026821353,1,0.9615,0.98835,0.974925,0.9615,-4.421240570029853,4.276849715245179
0.4,153.640026821353,2,0.99065,0.988,0.989325,0.988,-8.842481140059705,8.546756512330452
0.4,153.640026821353,3,0.9979,0.99925,0.998575,0.9979,-13.263721710089559,12.612557507796208
0.4,153.640026821353,4,0.9997,0.99955,0.999625,0.99955,-17.68496228011941,16.678840775998307
0.4,153.640026821353,5,0.9999,0.99995,0.999925,0.9999,-22.106202850149263,20.782126299480453
0.4,153.640026821353,6,1.0,1.0,1.0,1.0,-26.527443420179114,24.84615277140506
0.4,153.640026821353,7,1.0,1.0,1.0,1.0,-30.948683990208966,28.97307563675707
0.4,153.640026821353,8,1.0,1.0,1.0,1.0,-35.36992456023882,33.00978546821145
0.4,153.640026821353,9,1.0,1.0,1.0,1.0,-39.79116513026867,37.06488522776502
0.4,153.640026821353,10,1.0,1.0,1.0,1.0,-44.212405700298525,41.111004455500066
0.5,136.317319713746,1,0.9465,0.9819,0.9642,0.9465,-4.378840946862794,3.8616841906961237
0.5,136.317319713746,2,0.9914,0.98025,0.985825,0.98025,-8.757681893725588,7.34692067258735
0.5,136.317319713746,3,0.9959,0.9971,0.9964999999999999,0.9959,-13.13652284058838,10.832157154478576
0.5,136.317319713746,4,0.99925,0.99915,0.9992,0.99915,-17.515363787451175,14.312002751376056
0.5,136.317319713746,5,0.99975,0.9997,0.999725,0.9997,-21.89420473431397,17.851510772101772
0.5,136.317319713746,6,0.99985,0.9999,0.9998750000000001,0.99985,-26.273045681176765,21.331661619944065
0.5,136.317319713746,7,1.0,0.99995,0.9999750000000001,0.99995,-30.65188662803956,24.791368561985898
0.5,136.317319713746,8,1.0,1.0,1.0,1.0,-35.03072757490235,28.25588197636514
0.5,136.317319713746,9,1.0,0.99995,0.9999750000000001,0.99995,-39.409568521765145,31.70476246567592
0.5,136.317319713746,10,1.0,1.0,1.0,1.0,-40.105825659867364,35.19327440972786
