mass_GeV,ctau_m,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.4,153.640026821353,1,0.9615,0.98835,0.974925,0.9615,-4.421240570029853,4.276849715245179
0.4,153.640026821353,2,0.99065,0.988,0.989325,0.988,-8.842481140059705,8.546756512330452
0.4,153.640026821353,3,0.9979,0.99925,0.998575,0.9979,-13.263721710089559,12.612557507796208
0.4,153.640026821353,4,0.9997,0.99955,0.999625,0.99955,-17.68496228011941,16.678840775998307
0.4,153.640026821353,5,0.9999,0.99995,0.999925,0.9999,-22.106202850149263,20.782126299480453
0.4,153.640026821353,6,1.0,1.0,1.0,1.0,-26.527443420179114,24.84615277140506
0.4,153.640026821353,7,1.0,1.0,1.0,1.0,-30.948683990208966,28.97307563675707
0.4,153.640026821353,8,1.0,1.0,1.0,1.0,-35.36992456023882,33.00978546821145
0.4,153.640026821353,9,1.0,1.0,1.0,1.0,-39.79116513026867,37.06488522776502
0.4,153.640026821353,10,1.0,1.0,1.0,1.0,-44.212405700298525,41.111004455500066
