mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.5,7.192567032619706,low,1,0.9318,0.97035,0.951075,0.9318,-6.663793951820409,3.316927743259769
0.5,7.192567032619706,low,2,0.9886,0.9948,0.9917,0.9886,-13.327587903640818,6.363218160514384
0.5,7.192567032619706,low,3,0.9977,0.99725,0.997475,0.99725,-19.991381855461228,9.319398342432455
0.5,7.192567032619706,low,4,0.9992,0.99935,0.9992749999999999,0.9992,-26.655175807281637,12.359208985111009
0.5,7.192567032619706,low,5,0.99975,0.9999,0.999825,0.99975,-29.228587819501463,15.333199453169026
0.5,7.192567032619706,low,6,1.0,0.99995,0.9999750000000001,0.99995,-34.56243336139513,18.37454866097695
0.5,7.192567032619706,low,7,1.0,0.99995,0.9999750000000001,0.99995,-40.10723269438586,21.359877659197956
0.5,7.192567032619706,low,8,1.0,1.0,1.0,1.0,-45.91737248757599,24.367613405871616
0.5,7.192567032619706,low,9,1.0,1.0,1.0,1.0,-51.865583018921036,27.377931500470183
0.5,7.192567032619706,low,10,1.0,1.0,1.0,1.0,-57.432606158367015,30.38142769991501
0.5,7.192567032619706,low,11,1.0,1.0,1.0,1.0,-63.69749542991916,33.37306817909876
0.5,7.192567032619706,low,12,1.0,1.0,1.0,1.0,-69.3149482018053,36.3846414387838
0.5,7.192567032619706,low,13,1.0,1.0,1.0,1.0,-74.43037688660209,39.38917708711473
0.5,7.192567032619706,low,14,1.0,1.0,1.0,1.0,-79.99740002604807,42.40716639680349
0.5,7.192567032619706,low,15,1.0,1.0,1.0,1.0,-85.85709964500492,45.40894632306571
0.5,7.192567032619706,low,16,1.0,1.0,1.0,1.0,-91.40189897799566,48.4249541214024
0.5,7.192567032619706,low,17,1.0,1.0,1.0,1.0,-97.21203877118579,51.39581177673229
0.5,7.192567032619706,low,18,1.0,1.0,1.0,1.0,-102.80148819018132,54.45121160546722
0.5,7.192567032619706,low,19,1.0,1.0,1.0,1.0,-108.52280084204496,57.426579775401244
0.5,7.192567032619706,low,20,1.0,1.0,1.0,1.0,-114.16092870717492,60.44697823421174
0.5,7.192567032619706,low,21,1.0,1.0,1.0,1.0,-119.77683263886684,63.405156292673624
0.5,7.192567032619706,low,22,1.0,1.0,1.0,1.0,-125.37318467974653,66.3832074983819
0.5,7.192567032619706,low,23,1.0,1.0,1.0,1.0,-131.0293425574732,69.38552520725469
0.5,7.192567032619706,low,24,1.0,1.0,1.0,1.0,-136.62591185155156,72.40025859215167
0.5,7.192567032619706,low,25,1.0,1.0,1.0,1.0,-142.36449735243232,75.3686010252716
0.5,7.192567032619706,low,26,1.0,1.0,1.0,1.0,-148.05308119545435,78.40464922988485
0.5,7.192567032619706,low,27,1.0,1.0,1.0,1.0,-153.7911881167435,81.42026237224458
0.5,7.192567032619706,low,28,1.0,1.0,1.0,1.0,-159.22552328847962,84.42339713776526
0.5,7.192567032619706,low,29,1.0,1.0,1.0,1.0,-164.86297212008884,87.42758306689045
0.5,7.192567032619706,low,30,1.0,1.0,1.0,1.0,-170.4908005157958,90.44969345137707
0.5,7.192567032619706,low,31,1.0,1.0,1.0,1.0,-176.09495069649034,93.44160835500978
0.5,7.192567032619706,low,32,1.0,1.0,1.0,1.0,-181.76515166997785,96.40645589877941
0.5,7.192567032619706,low,33,1.0,1.0,1.0,1.0,-187.50064635302923,99.3867236507863
0.5,7.192567032619706,low,34,1.0,1.0,1.0,1.0,-193.1268304542232,102.38502910804084
0.5,7.192567032619706,low,35,1.0,1.0,1.0,1.0,-198.8555854792101,105.34061296830708
0.5,7.192567032619706,low,36,1.0,1.0,1.0,1.0,-204.51226655439893,108.34002446257703
0.5,7.192567032619706,low,37,1.0,1.0,1.0,1.0,-210.16525081703193,111.3424004311524
0.5,7.192567032619706,low,38,1.0,1.0,1.0,1.0,-215.76985506479045,114.36694281541416
0.5,7.192567032619706,low,39,1.0,1.0,1.0,1.0,-221.4464615404513,117.35903827312512
0.5,7.192567032619706,low,40,1.0,1.0,1.0,1.0,-227.08105431933905,120.37718864726423
0.5,7.192567032619706,low,41,1.0,1.0,1.0,1.0,-232.78564056829532,123.36519186505014
0.5,7.192567032619706,low,42,1.0,1.0,1.0,1.0,-238.41321846651968,126.37800893534583
0.5,7.192567032619706,low,43,1.0,1.0,1.0,1.0,-244.01594017980216,129.36761319958745
0.5,7.192567032619706,low,44,1.0,1.0,1.0,1.0,-249.60929257382335,132.3599403875421
0.5,7.192567032619706,low,45,1.0,1.0,1.0,1.0,-255.1363196473593,135.402951899098
0.5,7.192567032619706,low,46,1.0,1.0,1.0,1.0,-260.81192994789126,138.37549979954622
0.5,7.192567032619706,low,47,1.0,1.0,1.0,1.0,-266.45015635894896,141.4126865767942
0.5,7.192567032619706,low,48,1.0,1.0,1.0,1.0,-272.10000160752895,144.39993256511679
0.5,7.192567032619706,low,49,1.0,1.0,1.0,1.0,-277.82591671113886,147.37072845853476
0.5,7.192567032619706,low,50,1.0,1.0,1.0,1.0,-283.5138105611744,150.39104355123095
0.5,7.192567032619706,low,51,1.0,1.0,1.0,1.0,-289.09357305960407,153.40117593732705
0.5,7.192567032619706,low,52,1.0,1.0,1.0,1.0,-294.80014994431207,156.35461684623954
0.5,7.192567032619706,low,53,1.0,1.0,1.0,1.0,-300.348469199716,159.3556717631297
