mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.75,21.139270784249224,mid,1,0.86835,0.95725,0.9128000000000001,0.86835,-5.981506779694727,2.582435457310507
0.75,21.139270784249224,mid,2,0.9655,0.98445,0.974975,0.9655,-9.083431201762533,4.830057206579072
0.75,21.139270784249224,mid,3,0.98975,0.9925,0.991125,0.98975,-13.314257418890996,7.077678955847638
0.75,21.139270784249224,mid,4,0.9953,0.9967,0.996,0.9953,-17.621561515390358,9.352660772509548
0.75,21.139270784249224,mid,5,0.9985,0.99865,0.998575,0.9985,-22.040145992671018,11.625667563873517
0.75,21.139270784249224,mid,6,0.9994,0.9994,0.9994,0.9994,-26.668365913401818,13.865693856635836
0.75,21.139270784249224,mid,7,0.99985,0.99975,0.9998,0.99975,-30.761836571272873,16.129100945096674
0.75,21.139270784249224,mid,8,0.9999,0.99985,0.9998750000000001,0.99985,-35.06227010453429,18.38665810061871
0.75,21.139270784249224,mid,9,0.99995,0.99995,0.99995,0.99995,-39.29309632166275,20.612592911113246
0.75,21.139270784249224,mid,10,0.99995,0.99995,0.99995,0.99995,-43.60040041816211,22.876187585131653
0.75,21.139270784249224,mid,11,1.0,0.99995,0.9999750000000001,0.99995,-47.89177035314382,25.127184929589255
0.75,21.139270784249224,mid,12,1.0,0.99995,0.9999750000000001,0.99995,-52.245902146357636,27.403052371661442
0.75,21.139270784249224,mid,13,1.0,1.0,1.0,1.0,-56.53364176485031,29.626683501525374
0.75,21.139270784249224,mid,14,1.0,1.0,1.0,1.0,-60.7878452745897,31.882727950069224
0.75,21.139270784249224,mid,15,1.0,1.0,1.0,1.0,-65.13801933978613,34.14350527739536
0.75,21.139270784249224,mid,16,1.0,1.0,1.0,1.0,-69.39963669244014,36.38699799062108
0.75,21.139270784249224,mid,17,1.0,1.0,1.0,1.0,-73.71581091377713,38.637946205928216
0.75,21.139270784249224,mid,18,1.0,1.0,1.0,1.0,-78.03173586243301,40.87701066893459
0.75,21.139270784249224,mid,19,1.0,1.0,1.0,1.0,-82.38758488511587,43.14042584323252
0.75,21.139270784249224,mid,20,1.0,1.0,1.0,1.0,-86.70615840563008,45.40620636489812
0.75,21.139270784249224,mid,21,1.0,1.0,1.0,1.0,-90.93828977738715,47.651306501199336
0.75,21.139270784249224,mid,22,1.0,1.0,1.0,1.0,-95.19987648886189,49.88874598597123
0.75,21.139270784249224,mid,23,1.0,1.0,1.0,1.0,-99.53295456011668,52.158927315919186
0.75,21.139270784249224,mid,24,1.0,1.0,1.0,1.0,-103.915277515942,54.40630666729581
0.75,21.139270784249224,mid,25,1.0,1.0,1.0,1.0,-108.15793186877586,56.6419815404999
0.75,21.139270784249224,mid,26,1.0,1.0,1.0,1.0,-112.42965296785864,58.88104035931627
0.75,21.139270784249224,mid,27,1.0,1.0,1.0,1.0,-116.81930989655484,61.15873370046637
0.75,21.139270784249224,mid,28,1.0,1.0,1.0,1.0,-121.06059534409782,63.385200926817504
0.75,21.139270784249224,mid,29,1.0,1.0,1.0,1.0,-125.34059231375846,65.66188422493002
0.75,21.139270784249224,mid,30,1.0,1.0,1.0,1.0,-129.65127988883177,67.85589205752298
0.75,21.139270784249224,mid,31,1.0,1.0,1.0,1.0,-133.9446379822686,70.15297323035014
0.75,21.139270784249224,mid,32,1.0,1.0,1.0,1.0,-138.19571393457773,72.38505830354933
0.75,21.139270784249224,mid,33,1.0,1.0,1.0,1.0,-142.52367372576697,74.63728187802394
0.75,21.139270784249224,mid,34,1.0,1.0,1.0,1.0,-146.85648948554103,76.9117643911987
0.75,21.139270784249224,mid,35,1.0,1.0,1.0,1.0,-151.0222243579046,79.16252255668164
0.75,21.139270784249224,mid,36,1.0,1.0,1.0,1.0,-155.3411484166889,81.41301318190456
0.75,21.139270784249224,mid,37,1.0,1.0,1.0,1.0,-159.62787529827494,83.70606198916985
0.75,21.139270784249224,mid,38,1.0,1.0,1.0,1.0,-163.99623987259713,85.94162472203723
0.75,21.139270784249224,mid,39,1.0,1.0,1.0,1.0,-168.26294523838357,88.17214701173215
0.75,21.139270784249224,mid,40,1.0,1.0,1.0,1.0,-172.58500349847597,90.42968145603052
0.75,21.139270784249224,mid,41,1.0,1.0,1.0,1.0,-176.84817343229906,92.68513080626204
0.75,21.139270784249224,mid,42,1.0,1.0,1.0,1.0,-181.07633475635794,94.97425418042339
0.75,21.139270784249224,mid,43,1.0,1.0,1.0,1.0,-185.45442574151826,97.24998079014573
0.75,21.139270784249224,mid,44,1.0,1.0,1.0,1.0,-189.72786821080746,99.4735169128293
0.75,21.139270784249224,mid,45,1.0,1.0,1.0,1.0,-193.91619029495942,101.70979136916151
0.75,21.139270784249224,mid,46,1.0,1.0,1.0,1.0,-198.23075119486367,103.95397064169433
0.75,21.139270784249224,mid,47,1.0,1.0,1.0,1.0,-202.50070573778,106.2151388934719
0.75,21.139270784249224,mid,48,1.0,1.0,1.0,1.0,-206.85665657522583,108.42639398346068
0.75,21.139270784249224,mid,49,1.0,1.0,1.0,1.0,-210.88624781232625,110.73201600656463
0.75,21.139270784249224,mid,50,1.0,1.0,1.0,1.0,-215.25776673250448,112.98475104077299
0.75,21.139270784249224,mid,51,1.0,1.0,1.0,1.0,-219.5031761426813,115.23727364990064
0.75,21.139270784249224,mid,52,1.0,1.0,1.0,1.0,-223.8802450828884,117.48829449693675
0.75,21.139270784249224,mid,53,1.0,1.0,1.0,1.0,-228.12891822233237,119.77220648889417
0.75,21.139270784249224,mid,54,1.0,1.0,1.0,1.0,-232.50454691336085,121.99394789614533
0.75,21.139270784249224,mid,55,1.0,1.0,1.0,1.0,-236.74361195107724,124.27372704731002
0.75,21.139270784249224,mid,56,1.0,1.0,1.0,1.0,-240.96879828539346,126.47280695426662
0.75,21.139270784249224,mid,57,1.0,1.0,1.0,1.0,-245.23624615808316,128.7520669836654
0.75,21.139270784249224,mid,58,1.0,1.0,1.0,1.0,-249.52976818758262,131.01811071207595
0.75,21.139270784249224,mid,59,1.0,1.0,1.0,1.0,-253.87247973970454,133.2379403504466
0.75,21.139270784249224,mid,60,1.0,1.0,1.0,1.0,-258.109296058035,135.45352896797488
0.75,21.139270784249224,mid,61,1.0,1.0,1.0,1.0,-262.3571613584377,137.66267745771827
0.75,21.139270784249224,mid,62,1.0,1.0,1.0,1.0,-266.715043236871,139.91447660949865
0.75,21.139270784249224,mid,63,1.0,1.0,1.0,1.0,-270.9493277789254,142.16855312636537
0.75,21.139270784249224,mid,64,1.0,1.0,1.0,1.0,-275.3501448646066,144.37995922608292
0.75,21.139270784249224,mid,65,1.0,1.0,1.0,1.0,-279.6740864447928,146.63824602319482
0.75,21.139270784249224,mid,66,1.0,1.0,1.0,1.0,-283.7983937812112,148.9541343590119
0.75,21.139270784249224,mid,67,1.0,1.0,1.0,1.0,-288.0461852219331,151.15709737728986
0.75,21.139270784249224,mid,68,1.0,1.0,1.0,1.0,-292.3108915071481,153.4097965681218
0.75,21.139270784249224,mid,69,1.0,1.0,1.0,1.0,-296.78511291209406,155.66399229155695
0.75,21.139270784249224,mid,70,1.0,1.0,1.0,1.0,-301.0488410638829,157.90775656935267
0.75,21.139270784249224,mid,71,1.0,1.0,1.0,1.0,-305.3645924342116,160.25757733596637
0.75,21.139270784249224,mid,72,1.0,1.0,1.0,1.0,-309.7478641742815,162.4527653952834
0.75,21.139270784249224,mid,73,1.0,1.0,1.0,1.0,-314.0661899122042,164.70161920470557
0.75,21.139270784249224,mid,74,1.0,1.0,1.0,1.0,-318.4243239822891,166.95403826300065
0.75,21.139270784249224,mid,75,1.0,1.0,1.0,1.0,-322.5888176071685,169.20642501519364
0.75,21.139270784249224,mid,76,1.0,1.0,1.0,1.0,-326.7152441307449,171.4444726776413
0.75,21.139270784249224,mid,77,1.0,1.0,1.0,1.0,-331.1305129693079,173.65992506467484
0.75,21.139270784249224,mid,78,1.0,1.0,1.0,1.0,-335.4383386793957,175.89611054666375
0.75,21.139270784249224,mid,79,1.0,1.0,1.0,1.0,-339.82022499897226,178.13165271206992
0.75,21.139270784249224,mid,80,1.0,1.0,1.0,1.0,-343.9979170221982,180.37367862708751
0.75,21.139270784249224,mid,81,1.0,1.0,1.0,1.0,-348.28670252898615,182.61345041271665
0.75,21.139270784249224,mid,82,1.0,1.0,1.0,1.0,-352.64716305483194,184.9209016610161
0.75,21.139270784249224,mid,83,1.0,1.0,1.0,1.0,-357.0574485550095,187.1111944460265
0.75,21.139270784249224,mid,84,1.0,1.0,1.0,1.0,-361.2420856009401,189.39763107613572
0.75,21.139270784249224,mid,85,1.0,1.0,1.0,1.0,-365.50141510655874,191.63689948513434
0.75,21.139270784249224,mid,86,1.0,1.0,1.0,1.0,-369.8950821697624,193.92543366070575
0.75,21.139270784249224,mid,87,1.0,1.0,1.0,1.0,-374.2651374073434,196.1937468595805
0.75,21.139270784249224,mid,88,1.0,1.0,1.0,1.0,-378.53107092676646,198.43555995116702
