mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.75,48.42983536752373,high,1,0.87985,0.95455,0.9172,0.87985,-5.923576336112579,2.666114391600115
0.75,48.42983536752373,high,2,0.96625,0.9847,0.9754750000000001,0.96625,-8.928829175364362,4.997383510136928
0.75,48.42983536752373,high,3,0.99025,0.99245,0.99135,0.99025,-13.114304942826363,7.30191222471765
0.75,48.42983536752373,high,4,0.99565,0.99745,0.99655,0.99565,-17.363801630947954,9.645153334170455
0.75,48.42983536752373,high,5,0.99875,0.99915,0.99895,0.99875,-22.043134118190725,11.968522525944831
0.75,48.42983536752373,high,6,0.9994,0.9997,0.9995499999999999,0.9994,-26.432640600839356,14.282214352545285
0.75,48.42983536752373,high,7,0.99975,0.99995,0.99985,0.99975,-30.497301566830117,16.617469062481156
0.75,48.42983536752373,high,8,0.99995,0.9999,0.999925,0.9999,-34.881051315566815,18.929653661138797
0.75,48.42983536752373,high,9,0.99995,0.99995,0.99995,0.99995,-39.22847022456929,21.22673974702552
0.75,48.42983536752373,high,10,1.0,1.0,1.0,1.0,-43.529768796880155,23.56945382800299
0.75,48.42983536752373,high,11,1.0,1.0,1.0,1.0,-47.728682823486025,25.876100858310267
0.75,48.42983536752373,high,12,1.0,1.0,1.0,1.0,-52.01648730421077,28.1734956887341
0.75,48.42983536752373,high,13,1.0,1.0,1.0,1.0,-56.35355365917814,30.498443083930557
0.75,48.42983536752373,high,14,1.0,1.0,1.0,1.0,-60.65108398259915,32.84107285835175
0.75,48.42983536752373,high,15,1.0,1.0,1.0,1.0,-64.9240218396209,35.131459625264846
0.75,48.42983536752373,high,16,1.0,1.0,1.0,1.0,-69.22223289342953,37.423709113890666
0.75,48.42983536752373,high,17,1.0,1.0,1.0,1.0,-73.52736480502064,39.75304186860859
0.75,48.42983536752373,high,18,1.0,1.0,1.0,1.0,-77.77503913962316,42.043905699154514
0.75,48.42983536752373,high,19,1.0,1.0,1.0,1.0,-82.07369742882561,44.34434156152514
0.75,48.42983536752373,high,20,1.0,1.0,1.0,1.0,-86.35359727763237,46.64857492973227
0.75,48.42983536752373,high,21,1.0,1.0,1.0,1.0,-90.62449300106141,48.96836205601281
0.75,48.42983536752373,high,22,1.0,1.0,1.0,1.0,-94.82464631036748,51.24526623432809
0.75,48.42983536752373,high,23,1.0,1.0,1.0,1.0,-99.11475635327176,53.54611552127729
0.75,48.42983536752373,high,24,1.0,1.0,1.0,1.0,-103.4485559308546,55.87826748171832
0.75,48.42983536752373,high,25,1.0,1.0,1.0,1.0,-107.74166158164542,58.2016575232425
0.75,48.42983536752373,high,26,1.0,1.0,1.0,1.0,-112.06395040660553,60.52757767091961
0.75,48.42983536752373,high,27,1.0,1.0,1.0,1.0,-116.35121412592757,62.81036479859233
0.75,48.42983536752373,high,28,1.0,1.0,1.0,1.0,-120.54072829822957,65.11709438444363
0.75,48.42983536752373,high,29,1.0,1.0,1.0,1.0,-124.90953627930986,67.48255501118162
0.75,48.42983536752373,high,30,1.0,1.0,1.0,1.0,-129.24412016176296,69.76452392150958
0.75,48.42983536752373,high,31,1.0,1.0,1.0,1.0,-133.55976532475506,72.04921166265066
0.75,48.42983536752373,high,32,1.0,1.0,1.0,1.0,-137.84555366869347,74.36652070733014
0.75,48.42983536752373,high,33,1.0,1.0,1.0,1.0,-142.11123303802447,76.69320049283237
0.75,48.42983536752373,high,34,1.0,1.0,1.0,1.0,-146.24366961423985,78.99041986903346
0.75,48.42983536752373,high,35,1.0,1.0,1.0,1.0,-150.45570923011127,81.29328161370529
0.75,48.42983536752373,high,36,1.0,1.0,1.0,1.0,-154.8149204202427,83.57996721586332
0.75,48.42983536752373,high,37,1.0,1.0,1.0,1.0,-159.11455148130966,85.94527266051281
0.75,48.42983536752373,high,38,1.0,1.0,1.0,1.0,-163.40714530458155,88.271842075212
0.75,48.42983536752373,high,39,1.0,1.0,1.0,1.0,-167.67678363290685,90.58141999373873
0.75,48.42983536752373,high,40,1.0,1.0,1.0,1.0,-172.01094191474056,92.88084284477995
0.75,48.42983536752373,high,41,1.0,1.0,1.0,1.0,-176.24337634473125,95.21578146127506
0.75,48.42983536752373,high,42,1.0,1.0,1.0,1.0,-180.557548553973,97.52300593235643
0.75,48.42983536752373,high,43,1.0,1.0,1.0,1.0,-184.8015165417513,99.8323702313682
0.75,48.42983536752373,high,44,1.0,1.0,1.0,1.0,-189.2533012792293,102.12725826658556
0.75,48.42983536752373,high,45,1.0,1.0,1.0,1.0,-193.52627576476857,104.45604417794121
0.75,48.42983536752373,high,46,1.0,1.0,1.0,1.0,-197.67424317420557,106.78933566765716
0.75,48.42983536752373,high,47,1.0,1.0,1.0,1.0,-202.07656134939083,109.0605646948081
0.75,48.42983536752373,high,48,1.0,1.0,1.0,1.0,-206.35762568952293,111.3985739906019
0.75,48.42983536752373,high,49,1.0,1.0,1.0,1.0,-210.49796520728682,113.73007168102073
0.75,48.42983536752373,high,50,1.0,1.0,1.0,1.0,-214.81514919221547,116.02162852557582
0.75,48.42983536752373,high,51,1.0,1.0,1.0,1.0,-219.17245513053467,118.32907755579883
0.75,48.42983536752373,high,52,1.0,1.0,1.0,1.0,-223.51641710672232,120.6395573933485
0.75,48.42983536752373,high,53,1.0,1.0,1.0,1.0,-227.76747145024194,122.93313385332868
0.75,48.42983536752373,high,54,1.0,1.0,1.0,1.0,-231.9996238319156,125.25156959879061
0.75,48.42983536752373,high,55,1.0,1.0,1.0,1.0,-236.28168427855545,127.55258931245153
0.75,48.42983536752373,high,56,1.0,1.0,1.0,1.0,-240.64348666479844,129.86224597053223
0.75,48.42983536752373,high,57,1.0,1.0,1.0,1.0,-244.91835145207506,132.15652786802116
0.75,48.42983536752373,high,58,1.0,1.0,1.0,1.0,-249.18409301360253,134.45607933451828
0.75,48.42983536752373,high,59,1.0,1.0,1.0,1.0,-253.482398642494,136.8060732958075
