mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
1.0,10.95626581890893,low,1,0.7784,0.92245,0.850425,0.7784,-2.7851359872010457,1.644086695159419
1.0,10.95626581890893,low,2,0.9112,0.95485,0.933025,0.9112,-5.66396573851394,3.222774255127139
1.0,10.95626581890893,low,3,0.9576,0.9745,0.9660500000000001,0.9576,-8.707478013665265,4.620838241993441
1.0,10.95626581890893,low,4,0.97675,0.98515,0.98095,0.97675,-11.413645982313815,6.024938657902459
1.0,10.95626581890893,low,5,0.9881,0.9913,0.9897,0.9881,-14.287113303977625,7.437663075611214
1.0,10.95626581890893,low,6,0.9927,0.9958,0.9942500000000001,0.9927,-17.073881760620047,8.862922419671499
1.0,10.95626581890893,low,7,0.9966,0.9974,0.997,0.9966,-19.9506930221057,10.271320716468693
1.0,10.95626581890893,low,8,0.99835,0.99835,0.99835,0.99835,-22.766427774320977,11.685960638564879
1.0,10.95626581890893,low,9,0.999,0.99905,0.999025,0.999,-25.510479233630118,13.079503905974892
1.0,10.95626581890893,low,10,0.9993,0.9996,0.99945,0.9993,-28.39053615180024,14.498614630377482
1.0,10.95626581890893,low,11,0.99955,0.99975,0.99965,0.99955,-31.175731398030813,15.898267324583873
1.0,10.95626581890893,low,12,0.99975,0.9998,0.9997750000000001,0.99975,-34.01458219240594,17.31042572763556
1.0,10.95626581890893,low,13,0.9999,0.9998,0.99985,0.9998,-36.784596661061684,18.760988277876834
1.0,10.95626581890893,low,14,0.9999,1.0,0.99995,0.9999,-39.60799291927278,20.165794195651227
1.0,10.95626581890893,low,15,1.0,0.99995,0.9999750000000001,0.99995,-42.47847261208277,21.603316921331434
1.0,10.95626581890893,low,16,1.0,0.99995,0.9999750000000001,0.99995,-45.30773905052639,23.023667120896725
1.0,10.95626581890893,low,17,1.0,1.0,1.0,1.0,-48.08981188257104,24.438625469143055
1.0,10.95626581890893,low,18,1.0,1.0,1.0,1.0,-50.931765251190335,25.853077740907956
1.0,10.95626581890893,low,19,1.0,1.0,1.0,1.0,-53.726715300890106,27.269685488793492
1.0,10.95626581890893,low,20,1.0,1.0,1.0,1.0,-56.632134829275685,28.68078475762213
1.0,10.95626581890893,low,21,1.0,1.0,1.0,1.0,-59.358551637713234,30.07552687900325
1.0,10.95626581890893,low,22,1.0,1.0,1.0,1.0,-62.182296886362195,31.47771678812763
1.0,10.95626581890893,low,23,1.0,1.0,1.0,1.0,-65.02052697604316,32.87740717420375
1.0,10.95626581890893,low,24,1.0,1.0,1.0,1.0,-67.7824127313487,34.31728434971569
1.0,10.95626581890893,low,25,1.0,1.0,1.0,1.0,-70.67952043609486,35.72584233465875
1.0,10.95626581890893,low,26,1.0,1.0,1.0,1.0,-73.37963144296539,37.15128176879509
1.0,10.95626581890893,low,27,1.0,1.0,1.0,1.0,-76.17533451330587,38.53473572517111
1.0,10.95626581890893,low,28,1.0,1.0,1.0,1.0,-78.97802250817244,39.93905364107907
1.0,10.95626581890893,low,29,1.0,1.0,1.0,1.0,-81.79658781611892,41.33385165428406
1.0,10.95626581890893,low,30,1.0,1.0,1.0,1.0,-84.55818073051034,42.72850556021764
1.0,10.95626581890893,low,31,1.0,1.0,1.0,1.0,-87.39905313504448,44.11407633350909
1.0,10.95626581890893,low,32,1.0,1.0,1.0,1.0,-90.09837926534796,45.54619206165214
1.0,10.95626581890893,low,33,1.0,1.0,1.0,1.0,-92.97608881610206,47.00308058701542
1.0,10.95626581890893,low,34,1.0,1.0,1.0,1.0,-95.7703526953922,48.40111424393021
1.0,10.95626581890893,low,35,1.0,1.0,1.0,1.0,-98.61538331852081,49.82514500763914
1.0,10.95626581890893,low,36,1.0,1.0,1.0,1.0,-101.38675295883179,51.219751650423
1.0,10.95626581890893,low,37,1.0,1.0,1.0,1.0,-104.35855487180444,52.67148249388089
1.0,10.95626581890893,low,38,1.0,1.0,1.0,1.0,-107.19463434455903,54.06644320669629
1.0,10.95626581890893,low,39,1.0,1.0,1.0,1.0,-110.02182186059966,55.44004700429487
1.0,10.95626581890893,low,40,1.0,1.0,1.0,1.0,-112.92592620383877,56.888434999503716
1.0,10.95626581890893,low,41,1.0,1.0,1.0,1.0,-115.63581322465447,58.27237173131985
1.0,10.95626581890893,low,42,1.0,1.0,1.0,1.0,-118.44780243517583,59.718358594918996
1.0,10.95626581890893,low,43,1.0,1.0,1.0,1.0,-121.34842419535494,61.11978955489391
1.0,10.95626581890893,low,44,1.0,1.0,1.0,1.0,-124.18914731653749,62.52463765500093
