mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
1.0,15.787479601057262,mid,1,0.79105,0.90765,0.84935,0.79105,-3.7698247358845496,1.703202421274516
1.0,15.787479601057262,mid,2,0.9136,0.9513,0.93245,0.9136,-5.568722006287494,3.2364461582315616
1.0,15.787479601057262,mid,3,0.9583,0.9733,0.9658,0.9583,-8.801604530261802,4.676584847356475
1.0,15.787479601057262,mid,4,0.9774,0.9857,0.98155,0.9774,-11.620893221426291,6.1161861673233275
1.0,15.787479601057262,mid,5,0.98865,0.9922,0.990425,0.98865,-14.529850336151672,7.577851381221611
1.0,15.787479601057262,mid,6,0.9941,0.99535,0.994725,0.9941,-17.348973068115924,9.04421871640974
1.0,15.787479601057262,mid,7,0.99685,0.99765,0.99725,0.99685,-20.19213422343534,10.492634923085582
1.0,15.787479601057262,mid,8,0.99855,0.99865,0.9986,0.99855,-23.026431474392172,11.954921549872369
1.0,15.787479601057262,mid,9,0.99895,0.99915,0.99905,0.99895,-25.884949959740375,13.3993021244615
1.0,15.787479601057262,mid,10,0.99975,0.9996,0.9996750000000001,0.9996,-28.67381387495098,14.851957158271265
1.0,15.787479601057262,mid,11,0.99985,0.9998,0.999825,0.9998,-31.465523410664066,16.309988057835834
1.0,15.787479601057262,mid,12,0.9999,0.99995,0.999925,0.9999,-34.30617239490297,17.754880509670038
1.0,15.787479601057262,mid,13,0.9999,1.0,0.99995,0.9999,-37.16812990084788,19.208868634343954
1.0,15.787479601057262,mid,14,0.99995,0.99995,0.99995,0.99995,-40.06545837254159,20.67026334105695
1.0,15.787479601057262,mid,15,0.99995,1.0,0.9999750000000001,0.99995,-42.863576876565965,22.11091669196069
1.0,15.787479601057262,mid,16,1.0,1.0,1.0,1.0,-45.75550474887859,23.586737253402188
1.0,15.787479601057262,mid,17,1.0,1.0,1.0,1.0,-48.64793757021239,25.04069126340609
1.0,15.787479601057262,mid,18,1.0,1.0,1.0,1.0,-51.50168877859552,26.486911951391086
1.0,15.787479601057262,mid,19,1.0,1.0,1.0,1.0,-54.390216416580984,27.908126278482904
1.0,15.787479601057262,mid,20,1.0,1.0,1.0,1.0,-57.18755774738912,29.341854571559026
1.0,15.787479601057262,mid,21,1.0,1.0,1.0,1.0,-59.95763241645797,30.805576623558977
1.0,15.787479601057262,mid,22,1.0,1.0,1.0,1.0,-62.79371808726603,32.24253341056891
1.0,15.787479601057262,mid,23,1.0,1.0,1.0,1.0,-65.66567768200525,33.68167463310044
1.0,15.787479601057262,mid,24,1.0,1.0,1.0,1.0,-68.53580200240688,35.14910033530754
1.0,15.787479601057262,mid,25,1.0,1.0,1.0,1.0,-71.31604381592987,36.60269413623156
1.0,15.787479601057262,mid,26,1.0,1.0,1.0,1.0,-74.15478972914246,38.08209613587643
1.0,15.787479601057262,mid,27,1.0,1.0,1.0,1.0,-77.09598069098026,39.52181854847409
1.0,15.787479601057262,mid,28,1.0,1.0,1.0,1.0,-79.81115889216947,40.96676298137972
1.0,15.787479601057262,mid,29,1.0,1.0,1.0,1.0,-82.69798928976834,42.40331528637316
1.0,15.787479601057262,mid,30,1.0,1.0,1.0,1.0,-85.54181224209239,43.851769507528616
1.0,15.787479601057262,mid,31,1.0,1.0,1.0,1.0,-88.45936334697252,45.28780186716958
1.0,15.787479601057262,mid,32,1.0,1.0,1.0,1.0,-91.24715538747105,46.77174342299618
1.0,15.787479601057262,mid,33,1.0,1.0,1.0,1.0,-93.9930784990083,48.209234934167
1.0,15.787479601057262,mid,34,1.0,1.0,1.0,1.0,-96.9201478425093,49.639809875262046
1.0,15.787479601057262,mid,35,1.0,1.0,1.0,1.0,-99.7428103541184,51.08432879598878
1.0,15.787479601057262,mid,36,1.0,1.0,1.0,1.0,-102.68994608432683,52.50174732197098
1.0,15.787479601057262,mid,37,1.0,1.0,1.0,1.0,-105.35145490950902,53.94412403685348
1.0,15.787479601057262,mid,38,1.0,1.0,1.0,1.0,-108.18954751535213,55.40904588197925
1.0,15.787479601057262,mid,39,1.0,1.0,1.0,1.0,-111.00647779149557,56.8236394760389
1.0,15.787479601057262,mid,40,1.0,1.0,1.0,1.0,-113.9368287584029,58.27632993071939
1.0,15.787479601057262,mid,41,1.0,1.0,1.0,1.0,-116.84258724472106,59.73637546483221
1.0,15.787479601057262,mid,42,1.0,1.0,1.0,1.0,-119.65919868099355,61.15830946813584
1.0,15.787479601057262,mid,43,1.0,1.0,1.0,1.0,-122.38199609556828,62.61669916907231
