mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
1.0,22.74903842910047,high,1,0.79365,0.90605,0.84985,0.79365,-3.713551824548778,1.7451238959977387
1.0,22.74903842910047,high,2,0.9141,0.94855,0.931325,0.9141,-5.560674521323271,3.226759633034126
1.0,22.74903842910047,high,3,0.9588,0.9751,0.96695,0.9588,-8.79407750716015,4.7822385264305876
1.0,22.74903842910047,high,4,0.9774,0.98615,0.9817750000000001,0.9774,-11.558049577175073,6.253195112717703
1.0,22.74903842910047,high,5,0.98845,0.99185,0.9901500000000001,0.98845,-14.437758116712768,7.742515763952215
1.0,22.74903842910047,high,6,0.99295,0.9959,0.994425,0.99295,-17.25458136214729,9.19484448573025
1.0,22.74903842910047,high,7,0.99645,0.9973,0.996875,0.99645,-20.090572055672045,10.677002507520546
1.0,22.74903842910047,high,8,0.9979,0.9985,0.9982,0.9979,-22.947995633373605,12.134142833634844
1.0,22.74903842910047,high,9,0.99875,0.99905,0.9989,0.99875,-25.772729532022584,13.613163890273055
1.0,22.74903842910047,high,10,0.9995,0.99955,0.999525,0.9995,-28.721775107305184,15.079703816696318
1.0,22.74903842910047,high,11,0.9999,0.9997,0.9998,0.9997,-31.465523025038273,16.536996376448364
1.0,22.74903842910047,high,12,0.99995,0.9999,0.999925,0.9999,-34.28108656376369,18.021418652577204
1.0,22.74903842910047,high,13,0.99995,0.9999,0.999925,0.9999,-37.11849620510114,19.51379137106186
1.0,22.74903842910047,high,14,1.0,0.99995,0.9999750000000001,0.99995,-40.06074448089112,20.9699148923184
1.0,22.74903842910047,high,15,1.0,1.0,1.0,1.0,-42.922518157436684,22.44341815311315
1.0,22.74903842910047,high,16,1.0,1.0,1.0,1.0,-45.70204409610315,23.956680431428403
1.0,22.74903842910047,high,17,1.0,1.0,1.0,1.0,-48.57974946147462,25.41904777536968
1.0,22.74903842910047,high,18,1.0,1.0,1.0,1.0,-51.505123234847304,26.88308456224477
1.0,22.74903842910047,high,19,1.0,1.0,1.0,1.0,-54.26335527583735,28.347348508735223
1.0,22.74903842910047,high,20,1.0,1.0,1.0,1.0,-57.153644323093616,29.830304437615915
1.0,22.74903842910047,high,21,1.0,1.0,1.0,1.0,-59.97966868956454,31.319560749804857
