mass_GeV,lifetime_label,log_interval_fraction,ctau_m,ctau_lower_m,ctau_upper_m,photon_expected_events,su2_expected_events,number_of_adaptive_bins,minimum_required_bin_N_eff,photon_template_total_N_eff,su2_template_total_N_eff,model_total_variation_distance,KL_photon_to_su2_per_event,KL_su2_to_photon_per_event,minimum_events_for_90pct_worst_case_accuracy,minimum_events_for_95pct_worst_case_accuracy,minimum_events_for_99pct_worst_case_accuracy
0.3,low,0.1,5.139022774199925,3.0,652.7007785099522,70589.07115999416,152833.92808253146,19,100.0,1179578.3682267545,530843.4635141823,0.9503890704550353,5.969224273845703,3.9139117124010205,1,1,2
0.3,mid,0.5,44.25045011669211,3.0,652.7007785099522,2276.2471709938445,2165.9089709044742,18,100.0,781689.7622132332,503152.8575260854,0.9729825116657896,4.742657583440865,4.684943431598334,1,1,2
0.3,high,0.9,381.0262031451505,3.0,652.7007785099522,35.17052770241985,29.398633516477698,18,100.0,693908.0670720962,453376.5197227698,0.9746080109752462,4.669539706882232,4.80468107383199,1,1,2
0.4,low,0.1,6.247615659760722,4.0,345.62339038301366,13847.54758987113,57989.63687381525,19,100.0,1321550.8252263498,529822.2508801605,0.9296037638614503,5.8638305290787,3.424358100230203,1,2,2
0.4,mid,0.5,37.18189830457899,4.0,345.62339038301366,746.1142460884173,1726.373948539892,18,100.0,942180.7015993758,477259.5338608447,0.9507008711929696,4.49858687651061,3.9592015779701346,1,1,3
0.4,high,0.9,221.2833882270221,4.0,345.62339038301366,24.13883057560161,49.36825995605271,18,100.0,839472.7292326954,306416.7688572209,0.9511838985557254,4.121773966900082,4.045349155554184,1,1,3
0.5,low,0.1,7.192567032619706,5.0,189.7182638853418,3735.352276253203,28102.37441549551,20,100.0,1429062.3218167443,530810.9402531356,0.901054439099522,5.653339768975906,2.9994476334391535,1,2,3
0.5,mid,0.5,30.7992097208144,5.0,189.7182638853418,329.02131762165567,1617.2555373293953,20,100.0,1110313.6856858337,484159.2359032756,0.9245423106186507,4.69822514222339,3.3751018738740686,1,2,3
0.5,high,0.9,131.884946657384,5.0,189.7182638853418,20.505759894539274,89.65465158717862,19,100.0,997470.0816050222,361281.3312132532,0.9265703773001857,3.9778440890352207,3.449653996064284,1,2,3
0.75,low,0.1,9.227137897509262,7.5,59.58250257197499,293.1691107394487,7739.9988177849245,25,100.0,1490594.7500083335,526028.0141043315,0.8116380674312396,4.255783592772044,2.1052702212521295,2,2,4
0.75,mid,0.5,21.139270784249224,7.5,59.58250257197499,70.18817746663228,1550.5810225909886,25,100.0,1347813.7439908707,478790.2695663899,0.8296999699196468,4.291777862285403,2.249885391705985,2,2,4
0.75,high,0.9,48.42983536752373,7.5,59.58250257197499,14.926122103039804,303.35172716331164,25,100.0,1258335.322063983,401531.49019119854,0.8360548431981041,4.287412413964563,2.3124423920104364,2,2,3
1.0,low,0.1,10.95626581890893,10.0,24.924451215379904,43.50295812330396,3211.4868571019533,33,100.0,1398708.0915068823,510387.1727696637,0.6942429766742862,2.8221994617490087,1.411751268354403,2,3,6
1.0,mid,0.5,15.787479601057262,10.0,24.924451215379904,22.954335360368162,1598.056712323744,33,100.0,1352520.511591609,483856.24934034684,0.7016759317393119,2.840892672743506,1.4504120882416744,2,3,6
1.0,high,0.9,22.74903842910047,10.0,24.924451215379904,11.813513597185215,788.8516899844268,34,100.0,1312551.6807883487,451585.6635683842,0.7060586595637947,2.85010013449653,1.4763687408870552,2,3,6
