mass_GeV,lifetime_label,log_interval_fraction,ctau_m,ctau_lower_m,ctau_upper_m
0.3,low,0.1,5.139022774199925,3.0,652.7007785099522
0.3,mid,0.5,44.25045011669211,3.0,652.7007785099522
0.3,high,0.9,381.0262031451505,3.0,652.7007785099522
0.4,low,0.1,6.247615659760722,4.0,345.62339038301366
0.4,mid,0.5,37.18189830457899,4.0,345.62339038301366
0.4,high,0.9,221.2833882270221,4.0,345.62339038301366
0.5,low,0.1,7.192567032619706,5.0,189.7182638853418
0.5,mid,0.5,30.7992097208144,5.0,189.7182638853418
0.5,high,0.9,131.884946657384,5.0,189.7182638853418
0.75,low,0.1,9.227137897509262,7.5,59.58250257197499
0.75,mid,0.5,21.139270784249224,7.5,59.58250257197499
0.75,high,0.9,48.42983536752373,7.5,59.58250257197499
1.0,low,0.1,10.95626581890893,10.0,24.924451215379904
1.0,mid,0.5,15.787479601057262,10.0,24.924451215379904
1.0,high,0.9,22.74903842910047,10.0,24.924451215379904
