mass_GeV,ctau_m,lifetime_label,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
0.75,48.42983536752373,high,0,0.75,1.8065129755598768,0.0005523480878898117,0.004945414888348605,2.1920376995738895
0.75,48.42983536752373,high,1,1.8065129755598768,2.633061536419896,0.003263733535626573,0.005923939131051826,0.596129824978354
0.75,48.42983536752373,high,2,2.633061536419896,3.3848619282541277,0.011737173837410304,0.003951417242126569,-1.088686746031819
0.75,48.42983536752373,high,3,3.3848619282541277,4.933565310603892,0.06433513355927967,0.0031862766584202598,-3.0052528392517823
0.75,48.42983536752373,high,4,4.933565310603892,22.265916520557816,0.6952067640209936,0.0018601050551539937,-5.923576336112579
0.75,48.42983536752373,high,5,22.265916520557816,25.24530087651988,0.04262437071242942,0.003926285026971885,-2.3847324790908977
0.75,48.42983536752373,high,6,25.24530087651988,28.62335425346548,0.03612921344789369,0.010175160490901548,-1.267152270601205
0.75,48.42983536752373,high,7,28.62335425346548,32.4534222319921,0.030568329532532457,0.02146366945642059,-0.35360277729814565
0.75,48.42983536752373,high,8,32.4534222319921,36.79598852187087,0.025223871752134513,0.03789117423802259,0.4069273773897839
0.75,48.42983536752373,high,9,36.79598852187087,41.71963010936189,0.020716300161071944,0.05710720644827321,1.0140094784068086
0.75,48.42983536752373,high,10,41.71963010936189,47.30210021202276,0.017196876527771313,0.07748159024612757,1.5053125928236746
0.75,48.42983536752373,high,11,47.30210021202276,53.63155614282764,0.013538385201651659,0.09704865401791027,1.96968344151742
0.75,48.42983536752373,high,12,53.63155614282764,60.80795147379508,0.010735167186610096,0.11047553831322043,2.3312691185368135
0.75,48.42983536752373,high,13,60.80795147379508,68.94461448390986,0.008102631084297495,0.11654800238209646,2.666114391600115
0.75,48.42983536752373,high,14,68.94461448390986,78.17003781788945,0.005938633827339699,0.11321925874730063,2.9478471700508764
0.75,48.42983536752373,high,15,78.17003781788945,88.62990761774932,0.0044295898378027086,0.10013546461131659,3.1182169230288777
0.75,48.42983536752373,high,16,88.62990761774932,100.48940417082771,0.0032207298525972006,0.08304791992497218,3.249809793519152
0.75,48.42983536752373,high,17,100.48940417082771,113.93581040567035,0.0022298708272984525,0.06184835367475779,3.3227418216367903
0.75,48.42983536752373,high,18,113.93581040567035,129.18146942864817,0.0016045263024385286,0.041993748791806014,3.26469219456311
0.75,48.42983536752373,high,19,129.18146942864817,146.4671378061682,0.000976993125791141,0.025491197390237485,3.2616088551880034
0.75,48.42983536752373,high,20,146.4671378061682,166.06578754687547,0.0006549467438828789,0.013517502555378529,3.027186685017771
0.75,48.42983536752373,high,21,166.06578754687547,188.28691682403147,0.00040736851409877697,0.005972390199163067,2.6851842788044844
0.75,48.42983536752373,high,22,188.28691682403147,213.48143751218313,0.0002803649133179644,0.002063035594362726,1.9958417501019958
0.75,48.42983536752373,high,23,213.48143751218313,242.0472167211748,0.00016925689976450876,0.0005860464251433039,1.241981332568409
0.75,48.42983536752373,high,24,242.0472167211748,400.0,0.0001574205080757694,0.00014064849051582625,-0.11265681754982819
