mass_GeV,ctau_m,lifetime_label,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
0.75,9.227137897509262,low,0,0.75,2.048241021798449,0.00015351551068976967,0.0006453251633771213,1.4359527102709053
0.75,9.227137897509262,low,1,2.048241021798449,2.633061536419896,0.0008020189443070651,0.0009171793805133155,0.13417084090733528
0.75,9.227137897509262,low,2,2.633061536419896,3.3848619282541277,0.004913538073389052,0.0011867448952017808,-1.4207800905753196
0.75,9.227137897509262,low,3,3.3848619282541277,4.933565310603892,0.037688189064978006,0.0013686489746163285,-3.3155226546088947
0.75,9.227137897509262,low,4,4.933565310603892,22.265916520557816,0.6736588755519847,0.0015070441069056164,-6.102573676195888
0.75,9.227137897509262,low,5,22.265916520557816,25.24530087651988,0.051036220937447065,0.003628552638590585,-2.643701748486538
0.75,9.227137897509262,low,6,25.24530087651988,28.62335425346548,0.04407462582848628,0.009548622871711791,-1.529487296640927
0.75,9.227137897509262,low,7,28.62335425346548,32.4534222319921,0.03790525569503603,0.02046728983060219,-0.6162617813956985
0.75,9.227137897509262,low,8,32.4534222319921,36.79598852187087,0.03173854665006108,0.036652710407602304,0.1439554545940446
0.75,9.227137897509262,low,9,36.79598852187087,41.71963010936189,0.026400151977523514,0.05595419434982155,0.751163631125964
0.75,9.227137897509262,low,10,41.71963010936189,47.30210021202276,0.022166060524811237,0.07678982258745755,1.2425097991053418
0.75,9.227137897509262,low,11,47.30210021202276,53.63155614282764,0.017622734319948458,0.09713521547046787,1.7069141905336571
0.75,9.227137897509262,low,12,53.63155614282764,60.80795147379508,0.014097951510891493,0.11155613989154549,2.068498457059319
0.75,9.227137897509262,low,13,60.80795147379508,68.94461448390986,0.010723557142578442,0.11863385962867996,2.4035990165542005
0.75,9.227137897509262,low,14,68.94461448390986,78.17003781788945,0.007913526330470287,0.11601301432622832,2.685128888210025
0.75,9.227137897509262,low,15,78.17003781788945,88.62990761774932,0.005938443054824316,0.10326721714661334,2.8558729829301135
0.75,9.227137897509262,low,16,88.62990761774932,100.48940417082771,0.004340718071177908,0.08610172674748848,2.9874896777570856
0.75,9.227137897509262,low,17,100.48940417082771,113.93581040567035,0.003019319362206828,0.06442410640816873,3.0604564569441863
0.75,9.227137897509262,low,18,113.93581040567035,129.18146942864817,0.0021815998715331722,0.04392820380490652,3.002498075824725
0.75,9.227137897509262,low,19,129.18146942864817,146.4671378061682,0.0013330671741521277,0.026767295362627813,2.9996983868879656
0.75,9.227137897509262,low,20,146.4671378061682,166.06578754687547,0.0008964736271980474,0.014241991620508732,2.765481161079355
0.75,9.227137897509262,low,21,166.06578754687547,188.28691682403147,0.0005590981880357451,0.00630859668242139,2.4233434278204986
0.75,9.227137897509262,low,22,188.28691682403147,213.48143751218313,0.0003856959643270302,0.0021853277165058836,1.7344716790379324
0.75,9.227137897509262,low,23,213.48143751218313,242.0472167211748,0.00023327598651662814,0.0006218949475582103,0.9805489397771359
0.75,9.227137897509262,low,24,242.0472167211748,400.0,0.00021754063742586625,0.00014927503987914364,-0.3765951622309566
