mass_GeV,ctau_m,lifetime_label,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,log_su2_over_photon
1.0,22.74903842910047,high,0,1.0,2.3136006561666878,0.000263942103653537,0.001687553915252355,1.8553055972625352
1.0,22.74903842910047,high,1,2.3136006561666878,2.9401588734513027,0.000848512999303601,0.002585913962991892,1.1143488835824105
1.0,22.74903842910047,high,2,2.9401588734513027,3.314454017339987,0.0011421162030019378,0.002233960405052923,0.6708931167004542
1.0,22.74903842910047,high,3,3.314454017339987,3.736398577729146,0.0017932632572478743,0.0027214815534920647,0.41713941194464677
1.0,22.74903842910047,high,4,3.736398577729146,4.212058534714722,0.002822499955052335,0.0027199654762227075,-0.037003813454735704
1.0,22.74903842910047,high,5,4.212058534714722,4.748272094313281,0.004279159793462403,0.003137687589322205,-0.3102705882877066
1.0,22.74903842910047,high,6,4.748272094313281,5.352747996214929,0.006230498727581837,0.0028835032884805996,-0.7704504076564184
1.0,22.74903842910047,high,7,5.352747996214929,6.034176336545162,0.010163278888488822,0.0027985339611574403,-1.289685420569112
1.0,22.74903842910047,high,8,6.034176336545162,6.802353498851244,0.015080331411602674,0.0025240563106476463,-1.7875240847226812
1.0,22.74903842910047,high,9,6.802353498851244,7.668322989352109,0.022259894097939197,0.0018331702686456702,-2.4967397330916627
1.0,22.74903842910047,high,10,7.668322989352109,9.745021389728478,0.07197679073423514,0.0017555670174237534,-3.713551824548778
1.0,22.74903842910047,high,11,9.745021389728478,20.000000000000004,0.37318244209403584,0.0012182101068015543,-5.7246847650685755
1.0,22.74903842910047,high,12,20.000000000000004,22.546087881634225,0.0674742664872819,0.0015054887855485998,-3.8026286680397146
1.0,22.74903842910047,high,13,22.546087881634225,25.41630393831867,0.06543901822347568,0.004471354888832773,-2.6834272196652313
1.0,22.74903842910047,high,14,25.41630393831867,28.651911110982937,0.05956272407954093,0.010267505373663239,-1.758045853283557
1.0,22.74903842910047,high,15,28.651911110982937,32.299425294249666,0.05197937840024906,0.020490538769434866,-0.9308838145336402
1.0,22.74903842910047,high,16,32.299425294249666,36.411284060521595,0.04586454065561019,0.03491798384783765,-0.27269029078322665
1.0,22.74903842910047,high,17,36.411284060521595,41.046600515583364,0.04056962920720348,0.05263133086775335,0.26029184869619737
1.0,22.74903842910047,high,18,41.046600515583364,46.27201312333376,0.03449946564164583,0.07182120460527916,0.7332359259481401
1.0,22.74903842910047,high,19,46.27201312333376,52.16264371694075,0.028933088410337423,0.0887878914867223,1.1212644156872777
1.0,22.74903842910047,high,20,52.16264371694075,58.80317746902607,0.023390685639729177,0.10292222753808232,1.4816357370363873
1.0,22.74903842910047,high,21,58.80317746902607,66.28908034679972,0.019068029790031533,0.10919518791682381,1.7451238959977387
1.0,22.74903842910047,high,22,66.28908034679972,74.72797155458294,0.01430118444772307,0.10771664126424299,2.0191617248665876
1.0,22.74903842910047,high,23,74.72797155458294,84.24117069429447,0.011019971539542274,0.09938639630130136,2.199306025058033
1.0,22.74903842910047,high,24,84.24117069429447,94.96544188626557,0.00849807794266865,0.08509078267483103,2.303878704484709
1.0,22.74903842910047,high,25,94.96544188626557,107.05495992429856,0.006189336186116915,0.0671246357005855,2.383723284411658
1.0,22.74903842910047,high,26,107.05495992429856,120.68352673090327,0.004477001683569058,0.048195877850160156,2.376319940311208
1.0,22.74903842910047,high,27,120.68352673090327,136.0470699770249,0.0031030020075615426,0.032302763646062216,2.342782755925574
1.0,22.74903842910047,high,28,136.0470699770249,153.3664597870422,0.0019710880087335687,0.01916486931790156,2.274493201028024
1.0,22.74903842910047,high,29,153.3664597870422,172.89068402268873,0.0013630163431991283,0.009678597903434826,1.960216902860176
1.0,22.74903842910047,high,30,172.89068402268873,194.9004277945695,0.0009081349322409116,0.004213595008268237,1.5346785121466004
1.0,22.74903842910047,high,31,194.9004277945695,219.71210866122348,0.0006195238136043014,0.0014868494491464708,0.8754635562752769
1.0,22.74903842910047,high,32,219.71210866122348,247.6824255267556,0.0003639743932382692,0.00043394274676224523,0.17582908857987492
1.0,22.74903842910047,high,33,247.6824255267556,400.0,0.0003621319010918948,9.473020183457956e-05,-1.340975642601995
