model,mass_GeV,event_level,status,number_of_crossings,maximum_N_events,peak_coupling_GeV_inv,lower_coupling_GeV_inv,upper_coupling_GeV_inv,is_interpolated
ALP-SU2L,0.01,2.3,upper_boundary_above_scan,1.0,37109978678254.336,1.475238711134399,0.0004259184622645202,,False
ALP-SU2L,0.0113568145534923,2.3,upper_boundary_above_scan,1.0,22654750297436.09,1.235371452702448,0.00037470326473030614,,False
ALP-SU2L,0.0128977236802415,2.3,upper_boundary_above_scan,1.0,13436808302162.996,1.0345055445153106,0.0003297624668845031,,False
ALP-SU2L,0.0146477055998689,2.3,upper_boundary_above_scan,1.0,8159412776381.136,0.7254430849431621,0.00029041157152681136,,False
ALP-SU2L,0.0166351276131863,2.3,upper_boundary_above_scan,1.0,4903497920606.829,0.6074892632189962,0.00025577739284746875,,False
ALP-SU2L,0.0188922059376636,2.3,upper_boundary_above_scan,1.0,2932525130017.165,0.425999539118871,0.00022548451117524016,,False
ALP-SU2L,0.0214555279340432,2.3,resolved,2.0,1775571822270.994,0.3567339072109715,0.0001982075049760456,2.7433039095180862,False
ALP-SU2L,0.0243666451894203,2.3,resolved,2.0,1057909455869.5356,0.250158297867997,0.00017448964101243273,2.1194840929663585,False
ALP-SU2L,0.0276727470706993,2.3,resolved,2.0,638641079407.8031,0.2094836703445237,0.00015365659146195256,1.625767664336272,False
ALP-SU2L,0.031427425666763,2.3,resolved,2.0,380205590666.2948,0.1754225564972839,0.00013539595559551495,1.2370460360067377,False
ALP-SU2L,0.0356915445191093,2.3,resolved,2.0,231791381366.2922,0.1230144016421195,0.00011935371909351842,0.9440542165177231,False
ALP-SU2L,0.040534225223124,2.3,resolved,2.0,138120756214.1434,0.103012806614253,0.00010506542446186854,0.7169184072468752,False
ALP-SU2L,0.046033967892851,2.3,resolved,2.0,83492631836.82222,0.0722373394856089,9.241349010740102e-05,0.5496306138284763,False
ALP-SU2L,0.052279923652053,2.3,resolved,2.0,50197209344.01478,0.06049186910983,8.140713385303268e-05,0.42716636228692056,False
ALP-SU2L,0.0593733397787103,2.3,resolved,2.0,30094636607.32911,0.0424196935180019,7.153334933749096e-05,0.32031768423772017,False
ALP-SU2L,0.0674292009288303,2.3,resolved,2.0,18268108928.08256,0.0355224398661759,6.3043962320751e-05,0.24957598939538184,False
ALP-SU2L,0.0765780930438898,2.3,resolved,2.0,10783361507.367731,0.0297466490065655,5.559884652800714e-05,0.18964543382865273,False
ALP-SU2L,0.0869683201559538,2.3,resolved,2.0,6571969584.830806,0.0208597246640711,4.8918695909213856e-05,0.14431983212604632,False
ALP-SU2L,0.0987683084039917,2.3,resolved,2.0,3915571509.669448,0.0174680261348422,4.309518173868964e-05,0.11098458850907926,False
ALP-SU2L,0.1121693362306272,2.3,resolved,2.0,2364090529.033165,0.0122493869987568,3.794196580722812e-05,0.08481207649762842,False
ALP-SU2L,0.1273886350159562,2.3,resolved,2.0,1422857686.950808,0.0102576911093475,3.339658153870863e-05,0.06455103221030227,False
ALP-SU2L,0.1446729104098734,2.3,resolved,2.0,848967581.6272573,0.0071931669406814,2.9437004556961975e-05,0.05027050884966122,False
ALP-SU2L,0.1643023414438944,2.3,resolved,2.0,520108973.8371612,0.0060235899627441,2.5884651396198813e-05,0.03764033261678362,False
ALP-SU2L,0.1865951222482886,2.3,resolved,2.0,304669202.6751628,0.0042240195890425,2.28133338593817e-05,0.0288333154770319,False
ALP-SU2L,0.2119126199960044,2.3,resolved,2.0,186815198.98007843,0.0035372127755151,2.0083923742737424e-05,0.02210937361520298,False
ALP-SU2L,0.2406652326839314,2.3,resolved,2.0,110582935.22280183,0.0029620776976802,1.7646550953425643e-05,0.016772587772290917,False
ALP-SU2L,0.2733190417064491,2.3,resolved,2.0,67332060.37985191,0.0020771457381152,1.555066897230651e-05,0.012750073403726733,False
ALP-SU2L,0.310403367059838,2.3,resolved,2.0,40484630.36083242,0.0017394110719863,1.3673823628493326e-05,0.009721658501179575,False
ALP-SU2L,0.352519347647819,2.3,resolved,2.0,24354986.624062408,0.0012197554094669,1.2033917076309794e-05,0.007396601262360654,False
ALP-SU2L,0.4003496857754375,2.3,resolved,2.0,14775301.41998152,0.0010214286005117,1.053611112132877e-05,0.005598711911759436,False
ALP-SU2L,0.454669713790057,2.3,resolved,2.0,8788339.056668513,0.0007162729276155,9.300426324463844e-06,0.004266740522645466,False
ALP-SU2L,0.5163599622603116,2.3,resolved,2.0,5369500.550807316,0.0005998101327204,8.174054132845194e-06,0.00324990145302006,False
ALP-SU2L,0.5864204334238656,2.3,resolved,2.0,3182107.0982884234,0.0005022836707116,7.174708891725646e-06,0.00249002484600886,False
ALP-SU2L,0.6659868112773437,2.3,resolved,2.0,1966519.143025233,0.0003522245168519,6.2857204505368885e-06,0.0018871023541386833,False
ALP-SU2L,0.7563488710748492,2.3,resolved,2.0,1180340.4607206637,0.0002949543757066,5.520436380030601e-06,0.0014517468807797708,False
ALP-SU2L,0.8589713866540342,2.3,resolved,2.0,718474.5158350962,0.0002068356359852,4.825571708796753e-06,0.0010761046590861511,False
ALP-SU2L,0.9755178744986028,2.3,resolved,2.0,438709.07946568006,0.0001732050807568,4.217973634057686e-06,0.0008224572442615364,False
ALP-SU2L,1.1078775594297636,2.3,resolved,2.0,264018.239634504,0.0001214594051992,3.6760792277743566e-06,0.0006217860248089679,False
ALP-SU2L,1.2581959990419505,2.3,resolved,2.0,163351.4816820307,0.0001017106456825,3.194336716764061e-06,0.0004670254515567954,False
ALP-SU2L,1.428909863306546,2.3,resolved,2.0,99863.88772710793,7.132420407669372e-05,2.7542561999451127e-06,0.0003576739995537576,False
ALP-SU2L,1.622786433122852,2.3,resolved,2.0,63314.13606004968,5.972720546040737e-05,2.3601364606425907e-06,0.00026864510149429233,False
ALP-SU2L,1.8429684580899512,2.3,resolved,2.0,38961.97593375949,5.001582728177121e-05,2.016862716487373e-06,0.00020322940796010748,False
ALP-SU2L,2.093025100646328,2.3,resolved,2.0,25586.14665915232,3.507340896492948e-05,1.714436957245298e-06,0.00015265990234173142,False
ALP-SU2L,2.3770097923844964,2.3,resolved,2.0,16476.62401942559,2.4595094858493616e-05,1.4550831436283765e-06,0.00011487465783168821,False
ALP-SU2L,2.699525940394606,2.3,resolved,2.0,11052.615356424529,2.0596041735732136e-05,1.2458519058803952e-06,8.66484378942207e-05,False
