model,mass_GeV,coupling_GeV_inv,coupling_squared_GeV_inv2,ctau_m,unit_coupling_ctau_m,yield_per_PoT_per_coupling_squared,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,sum_P_decay,visible_Br,sampled_inside_volume,N_events,N_events_gt_3,N_events_gt_10,N_events_gt_30,N_events_gt_100,log10_N_events
ALP-SU2L,0.01,1e-08,1e-16,73533528100000.02,0.00735335281,6.699459267339989e-07,0.0401967556040399,0.3020837876658092,0.08335,1.450549338712412e-16,1.2090328738167957e-12,1.0,8335,1.4681030095151152e-19,False,False,False,False,-18.833243471058577
ALP-SU2L,0.01,1.1941661011408596e-08,1.4260326771139615e-16,51565107364032.44,0.00735335281,6.699459267339989e-07,0.0573218870053247,0.3020837876658092,0.2246,1.6795707003879594e-16,3.772315793071357e-12,1.0,22460,6.5321468342387575e-19,False,False,False,False,-18.18494406144564
ALP-SU2L,0.01,1.4260326771139615e-08,2.033569196196812e-16,36159835739803.04,0.00735335281,6.699459267339989e-07,0.0817428839834272,0.3020837876658092,0.37667,2.0583647469853663e-16,7.753242492469779e-12,1.0,37667,1.91452367580496e-18,False,False,False,False,-17.717939258614873
ALP-SU2L,0.01,1.7029198821286418e-08,2.899936124949027e-16,25356947509074.027,0.00735335281,6.699459267339989e-07,0.1165680236819026,0.3020837876658092,0.45593,2.76960380704968e-16,1.2627454637481604e-11,1.0,45593,4.446544761070132e-18,False,False,False,False,-17.35197733150801
ALP-SU2L,0.01,2.0335691961968123e-08,4.1354036757205484e-16,17781463157206.195,0.00735335281,6.699459267339989e-07,0.1662298108769873,0.3020837876658092,0.48593,3.9631761060348923e-16,1.925826165205536e-11,1.0,48593,9.670599812759904e-18,False,False,False,False,-17.014546588244496
ALP-SU2L,0.01,2.428419398422494e-08,5.897220774634668e-16,12469183520529.703,0.00735335281,6.699459267339989e-07,0.2370491422210568,0.3020837876658092,0.5149,5.678977281526e-16,2.9241054022577366e-11,1.0,51490,2.0939139454552165e-17,False,False,False,False,-16.679041170690557
ALP-SU2L,0.01,2.8999361249490213e-08,8.409629528784345e-16,8743967596706.923,0.00735335281,6.699459267339989e-07,0.3380398228890618,0.3020837876658092,0.54434,8.054083297097918e-16,4.3841597019422807e-11,1.0,54434,4.476943869310744e-17,False,False,False,False,-16.34901835064703
ALP-SU2L,0.01,3.463005415887905e-08,1.1992406510468965e-15,6131674075241.508,0.00735335281,6.699459267339989e-07,0.4820558336056183,0.3020837876658092,0.56528,1.1421580415732266e-15,6.456390977405134e-11,1.0,56528,9.401877380605619e-17,False,False,False,False,-16.026785417184527
ALP-SU2L,0.01,4.135403675720541e-08,1.7101563561162958e-15,4299813162522.288,0.00735335281,6.699459267339989e-07,0.6874273709150224,0.3020837876658092,0.57897,1.6230345737268493e-15,9.39688327150634e-11,1.0,57897,1.9513630192325462e-16,False,False,False,False,-15.709661929691164
ALP-SU2L,0.01,4.9383588840787775e-08,2.4387388467959788e-15,3015227653285.1626,0.00735335281,6.699459267339989e-07,0.9802938940673616,0.3020837876658092,0.5882,2.3100094507149308e-15,1.3587475589105225e-10,1.0,58820,4.023671273642387e-16,False,False,False,False,-15.395377507543278
ALP-SU2L,0.01,5.89722077463468e-08,3.4777212864782853e-15,2114416942666.034,0.00735335281,6.699459267339989e-07,1.39793112611535,0.3020837876658092,0.59578,3.285837516041316e-15,1.9576362753070955e-10,1.0,59578,8.266947829599964e-16,False,False,False,False,-15.082654803074822
ALP-SU2L,0.01,7.042261140012375e-08,4.95934419641284e-15,1482726852336.3997,0.00735335281,6.699459267339989e-07,1.993495466195208,0.3020837876658092,0.60097,4.681525092319909e-15,2.8134561347314957e-10,1.0,60097,1.6942707712877609e-15,False,False,False,False,-14.771017181325911
ALP-SU2L,0.01,8.409629528784347e-08,7.072186881140162e-15,1039756575099.796,0.00735335281,6.699459267339989e-07,2.842789676472885,0.3020837876658092,0.60386,6.669661235275329e-15,4.02754163353336e-10,1.0,60386,3.458694363773556e-15,False,False,False,False,-14.461087813814268
ALP-SU2L,0.01,1.0042494506427469e-07,1.0085169591162588e-14,729125350201.7046,0.00735335281,6.699459267339989e-07,4.053910972812579,0.3020837876658092,0.6063,9.506373001084122e-15,5.7637139505573e-10,1.0,60630,7.058363882630762e-15,False,False,False,False,-14.151295956043352
ALP-SU2L,0.01,1.1992406510468965e-07,1.4381781391233842e-14,511296383247.913,0.00735335281,6.699459267339989e-07,5.7810095173415625,0.3020837876658092,0.60744,1.3548091194212976e-14,8.22965251501273e-10,1.0,60744,1.4371847509949655e-14,False,False,False,False,-13.84248739945088
ALP-SU2L,0.01,1.4320925325902986e-07,2.0508890219008948e-14,358544647295.6614,0.00735335281,6.699459267339989e-07,8.243908478435879,0.3020837876658092,0.60868,1.932402928099795e-14,1.176215014275783e-09,1.0,60868,2.9291883526812125e-14,False,False,False,False,-13.533252701414996
ALP-SU2L,0.01,1.710156356116296e-07,2.9246347623649674e-14,251428072476.7769,0.00735335281,6.699459267339989e-07,11.7560828773864,0.3020837876658092,0.60963,2.7545226387020892e-14,1.679239636231955e-09,1.0,60963,5.963520736828905e-14,False,False,False,False,-13.224497266244208
ALP-SU2L,0.01,2.0422107481246565e-07,4.1706247397558696e-14,176312981120.1963,0.00735335281,6.699459267339989e-07,16.764558338012936,0.3020837876658092,0.61012,3.927417588971042e-14,2.3961960193830123e-09,1.0,61012,1.2135058571186674e-13,False,False,False,False,-12.915958123157198
ALP-SU2L,0.01,2.438738846795979e-07,5.947447162871782e-14,123638808527.88216,0.00735335281,6.699459267339989e-07,23.90680800738977,0.3020837876658092,0.61037,5.600538664515773e-14,3.4184007846604914e-09,1.0,61037,2.46872088615662e-13,False,False,False,False,-12.607528008672436
ALP-SU2L,0.01,2.912259260379105e-07,8.481253999663847e-14,86701245008.00768,0.00735335281,6.699459267339989e-07,34.091889424027386,0.3020837876658092,0.61063,7.985770962343272e-14,4.8763513227356725e-09,1.0,61063,5.021962628563484e-13,False,False,False,False,-12.299126523456838
ALP-SU2L,0.01,3.477721286478285e-07,1.209454534642418e-13,60798918846.28853,0.00735335281,6.699459267339989e-07,48.61614834321913,0.3020837876658092,0.61091,1.1388175872626845e-13,6.957150522346467e-09,1.0,61091,1.0217375776646166e-12,False,False,False,False,-11.990660633757798
ALP-SU2L,0.01,4.15297686952834e-07,1.7247216878837414e-13,42635010979.78698,0.00735335281,6.699459267339989e-07,69.32821617284998,0.3020837876658092,0.61104,1.623925511097511e-13,9.922834443010233e-09,1.0,61104,2.078132284673276e-12,False,False,False,False,-11.682326810640689
ALP-SU2L,0.01,4.959344196412829e-07,2.4595094858493613e-13,29897639559.05465,0.00735335281,6.699459267339989e-07,98.8643017085047,0.3020837876658092,0.61105,2.315776914982183e-13,1.4150554838998632e-08,1.0,61105,4.226106039939799e-12,False,False,False,False,-11.374059609985329
ALP-SU2L,0.01,5.922280723245858e-07,3.5073408964929493e-13,20965606215.67396,0.00735335281,6.699459267339989e-07,140.98372483638136,0.3020837876658092,0.61118,3.302308577664549e-13,2.018304956497019e-08,1.0,61118,8.595738311340045e-12,False,False,False,False,-11.065716814640687
ALP-SU2L,0.01,7.072186881140176e-07,5.001582728177121e-13,14702051749.68686,0.00735335281,6.699459267339989e-07,201.04739855792303,0.3020837876658092,0.6112,4.709155930969197e-13,2.8782361050083693e-08,1.0,61120,1.748043728952522e-11,False,False,False,False,-10.757447707282145
ALP-SU2L,0.01,8.4453658343907e-07,7.132420407669378e-13,10309757963.920729,0.00735335281,6.699459267339989e-07,286.7001599923526,0.3020837876658092,0.61124,6.715471510101676e-13,4.104764805834549e-08,1.0,61124,3.555032958246078e-11,False,False,False,False,-10.449156368628152
ALP-SU2L,0.01,1.0085169591162565e-06,1.017106456825101e-12,7229678624.746422,0.00735335281,6.699459267339989e-07,408.8437966828959,0.3020837876658092,0.61128,9.57626318904831e-13,5.8537781622014506e-08,1.0,61128,7.229713558290034e-11,False,False,False,False,-10.140878909139545
ALP-SU2L,0.01,1.2043367650022956e-06,1.4504270435361944e-12,5069784683.600671,0.00735335281,6.699459267339989e-07,583.024613905146,0.3020837876658092,0.61128,1.3655954248425777e-12,8.34761171297771e-08,1.0,61128,1.4702004380872743e-10,False,False,False,False,-9.832623452176229
ALP-SU2L,0.01,1.438178139123384e-06,2.0683563598524e-12,3555167258.762289,0.00735335281,6.699459267339989e-07,831.4121509904858,0.3020837876658092,0.61131,1.9473900934289785e-12,1.190459038014069e-07,1.0,61131,2.9899108691418325e-10,False,False,False,False,-9.524341758035716
ALP-SU2L,0.01,1.7174235811429916e-06,2.949543757066018e-12,2493047540.787989,0.00735335281,6.699459267339989e-07,1185.6208954620447,0.3020837876658092,0.61128,2.7770871694825173e-12,1.6975778449612733e-07,1.0,61128,6.079991350018251e-10,False,False,False,False,-9.216097038596017
ALP-SU2L,0.01,2.050889021900895e-06,4.20614578015361e-12,1748240121.5612304,0.00735335281,6.699459267339989e-07,1690.7341395979854,0.3020837876658092,0.6113,3.960066155432052e-12,2.4207884408156133e-07,1.0,61130,1.236401653159518e-09,False,False,False,False,-8.907840422924831
ALP-SU2L,0.01,2.4491021471559822e-06,5.9981013272040425e-12,1225946746.9562902,0.00735335281,6.699459267339989e-07,2411.0421313788847,0.3020837876658092,0.61131,5.647284204849988e-12,3.4522413072668456e-07,1.0,61131,2.5143941769037207e-09,False,False,False,False,-8.59956663777377
ALP-SU2L,0.01,2.924634762364967e-06,8.553488493233588e-12,859690501.2284781,0.00735335281,6.699459267339989e-07,3438.224865244784,0.3020837876658092,0.61132,8.053198271239455e-12,4.923081167174104e-07,1.0,61132,5.113269590282353e-09,False,False,False,False,-8.291301309075642
ALP-SU2L,0.01,3.4924996914343973e-06,1.219755409466936e-11,602854699.6330684,0.00735335281,6.699459267339989e-07,4903.021009104809,0.3020837876658092,0.61133,1.1484198823016676e-11,7.020635266474784e-07,1.0,61133,1.0398425473083584e-08,False,False,False,False,-7.983032416481973
ALP-SU2L,0.01,4.170624739755869e-06,1.739411071986371e-11,422749569.0022616,0.00735335281,6.699459267339989e-07,6991.868175559727,0.3020837876658092,0.61133,1.6376842696980438e-11,1.001165524594505e-06,1.0,61133,2.1145917608197694e-08,False,False,False,False,-7.674773464287233
ALP-SU2L,0.01,4.980418684795868e-06,2.4804570275863806e-11,296451530.0293355,0.00735335281,6.699459267339989e-07,9970.63249242131,0.3020837876658092,0.61132,2.335376049088033e-11,1.427662086328496e-06,1.0,61132,4.300070275598368e-08,False,False,False,False,-7.366524446733161
ALP-SU2L,0.01,5.947447162871781e-06,3.5372127755151595e-11,207885509.76917297,0.00735335281,6.699459267339989e-07,14218.447745687068,0.3020837876658092,0.61133,3.330344270123435e-11,2.03593936265456e-06,1.0,61133,8.744690504026658e-08,False,False,False,False,-7.058255556656655
ALP-SU2L,0.01,7.102239790227848e-06,5.04418100378957e-11,145778924.3580991,0.00735335281,6.699459267339989e-07,20275.97110318702,0.3020837876658092,0.61133,4.749179765256447e-11,2.903316065894224e-06,1.0,61133,1.7782933276786854e-07,False,False,False,False,-6.749996601023178
ALP-SU2L,0.01,8.481253999663866e-06,7.193166940681432e-11,102226917.1651311,0.00735335281,6.699459267339989e-07,28914.19735336312,0.3020837876658092,0.61133,6.772485521151271e-11,4.140223573645407e-06,1.0,61133,3.616282525711576e-07,False,False,False,False,-6.441737647177757
ALP-SU2L,0.01,1.012802602156392e-05,1.0257691109347586e-10,71686237.4935337,0.00735335281,6.699459267339989e-07,41232.59025841782,0.3020837876658092,0.61133,9.657785641976316e-11,5.9040940965093824e-06,1.0,61133,7.353960736493325e-07,False,False,False,False,-6.133478693201153
ALP-SU2L,0.01,1.2094545346424157e-05,1.462780271367102e-10,50269701.84064365,0.00735335281,6.699459267339989e-07,58799.02107055462,0.3020837876658092,0.61133,1.3772317915520359e-10,8.419431111295061e-06,1.0,61133,1.4954788025402538e-06,False,False,False,False,-5.82521973843677
ALP-SU2L,0.01,1.444289606141066e-05,2.0859724664071157e-10,35251437.53534502,0.00735335281,6.699459267339989e-07,83849.32542892324,0.3020837876658092,0.61133,1.9639775382616807e-10,1.2006383884655136e-05,1.0,61133,3.041159625711672e-06,False,False,False,False,-5.516960783819581
ALP-SU2L,0.01,1.7247216878837446e-05,2.974664900656553e-10,24719936.717500545,0.00735335281,6.699459267339989e-07,119571.8780156072,0.3020837876658092,0.61133,2.8006961473162475e-10,1.7121495757388416e-05,1.0,61133,6.184408536971846e-06,False,False,False,False,-5.208701829003685
ALP-SU2L,0.01,2.0596041735732136e-05,4.2419693518002003e-10,17334761.758425713,0.00735335281,6.699459267339989e-07,170513.40531414037,0.3020837876658092,0.61133,3.9938842178148006e-10,2.4415812388767225e-05,1.0,61133,1.257642267567518e-05,False,False,False,False,-4.900442875039667
ALP-SU2L,0.01,2.4595094858493616e-05,6.049186910982991e-10,12155935.860816516,0.00735335281,6.699459267339989e-07,243157.6878639405,0.3020837876658092,0.61133,5.695409406570694e-10,3.481774632518864e-05,1.0,61133,2.5575025766678764e-05,False,False,False,False,-4.592183920066603
ALP-SU2L,0.01,2.9370628534356985e-05,8.62633820503184e-10,8524303.864773937,0.00735335281,6.699459267339989e-07,346750.8085854576,0.3020837876658092,0.61133,8.12183991861861e-10,4.9651243974491166e-05,1.0,61133,5.200858456100327e-05,False,False,False,False,-4.283924965600492
ALP-SU2L,0.01,3.507340896492948e-05,1.230144016421195e-09,5977635.7173144575,0.00735335281,6.699459267339989e-07,494477.983858549,0.3020837876658092,0.61133,1.158200911666081e-09,7.080429633288254e-05,1.0,61133,0.0001057630554501,False,False,False,False,-3.9756660110926414
ALP-SU2L,0.01,4.188347603736872e-05,1.754225564972839e-09,4191794.348929041,0.00735335281,6.699459267339989e-07,705141.763095721,0.3020837876658092,0.61133,1.6516323461463323e-09,0.0001009692402169,1.0,61133,0.000215076491587,False,False,False,False,-3.6674070565209065
ALP-SU2L,0.01,5.001582728177121e-05,2.501582978679969e-09,2939479.870413976,0.00735335281,6.699459267339989e-07,1005555.19617225,0.3020837876658092,0.61133,2.355281693605856e-09,0.0001439854357752,1.0,61133,0.0004373729276389,False,False,False,False,-3.359148102278965
