mass_GeV,photon_lifetime_index,photon_ctau_m,photon_N_events,su2_lifetime_index,su2_ctau_m,su2_N_events,D_TV
0.4,0,4.0,7582.764232594722,0,4.0,92383.67598159559,0.8188843134331139
0.4,0,4.0,7582.764232594722,1,5.095683551653521,58037.14612058649,0.8174689332562423
0.4,0,4.0,7582.764232594722,2,6.491497714648063,36278.59240626878,0.8162801588671275
0.4,0,4.0,7582.764232594722,3,8.269654532532142,22627.898699921483,0.815651713452327
0.4,0,4.0,7582.764232594722,4,10.534885644820253,14058.326548255704,0.8155800353554079
0.4,0,4.0,7582.764232594722,5,13.420610874715353,8729.21013367378,0.8150561160014248
0.4,0,4.0,7582.764232594722,6,17.096796521857346,5415.905086793296,0.8142082387184437
0.4,0,4.0,7582.764232594722,7,21.779966205598896,3349.491902041357,0.8146228170605219
0.4,0,4.0,7582.764232594722,8,27.745953887359985,2073.473391193686,0.8134336313782679
0.4,0,4.0,7582.764232594722,9,35.34615021218933,1278.915510333941,0.8141294484379993
0.4,0,4.0,7582.764232594722,10,45.028199062631984,790.659682755792,0.8139312593721518
0.4,0,4.0,7582.764232594722,11,57.36236333100857,487.89581076918586,0.8138549327212486
0.4,0,4.0,7582.764232594722,12,73.07511282744834,300.8949380712456,0.8136696651796375
0.4,0,4.0,7582.764232594722,13,93.09191261751351,185.66427257494215,0.8132275646956385
0.4,0,4.0,7582.764232594722,14,118.5917319792576,114.44934168406019,0.8135219922972803
0.4,0,4.0,7582.764232594722,15,151.07648450220142,70.56248854719546,0.8133057440399991
0.4,0,4.0,7582.764232594722,16,192.45948927987664,43.512831260563814,0.813200287275144
0.4,0,4.0,7582.764232594722,17,245.17816347077607,26.848559313532153,0.8133080702688804
0.4,0,4.0,7582.764232594722,18,312.33758370566323,16.530944855505258,0.8132547703242027
0.4,0,4.0,7582.764232594722,19,397.89337196303796,10.185993754971243,0.8131159877322028
0.4,1,4.827709658906259,5648.169521306418,0,4.0,92383.67598159559,0.8268653778084807
0.4,1,4.827709658906259,5648.169521306418,1,5.095683551653521,58037.14612058649,0.8254499976316094
0.4,1,4.827709658906259,5648.169521306418,2,6.491497714648063,36278.59240626878,0.8242612232424946
0.4,1,4.827709658906259,5648.169521306418,3,8.269654532532142,22627.898699921483,0.823632777827694
0.4,1,4.827709658906259,5648.169521306418,4,10.534885644820253,14058.326548255704,0.8235610997307748
0.4,1,4.827709658906259,5648.169521306418,5,13.420610874715353,8729.21013367378,0.8230371803767919
0.4,1,4.827709658906259,5648.169521306418,6,17.096796521857346,5415.905086793296,0.8221893030938108
0.4,1,4.827709658906259,5648.169521306418,7,21.779966205598896,3349.491902041357,0.8226038814358888
0.4,1,4.827709658906259,5648.169521306418,8,27.745953887359985,2073.473391193686,0.821414695753635
0.4,1,4.827709658906259,5648.169521306418,9,35.34615021218933,1278.915510333941,0.8221105128133664
0.4,1,4.827709658906259,5648.169521306418,10,45.028199062631984,790.659682755792,0.8219123237475189
0.4,1,4.827709658906259,5648.169521306418,11,57.36236333100857,487.89581076918586,0.8218359970966158
0.4,1,4.827709658906259,5648.169521306418,12,73.07511282744834,300.8949380712456,0.8216507295550046
0.4,1,4.827709658906259,5648.169521306418,13,93.09191261751351,185.66427257494215,0.8212086290710054
0.4,1,4.827709658906259,5648.169521306418,14,118.5917319792576,114.44934168406019,0.8215030566726473
0.4,1,4.827709658906259,5648.169521306418,15,151.07648450220142,70.56248854719546,0.8212868084153662
0.4,1,4.827709658906259,5648.169521306418,16,192.45948927987664,43.512831260563814,0.8211813516505112
0.4,1,4.827709658906259,5648.169521306418,17,245.17816347077607,26.848559313532153,0.8212891346442474
0.4,1,4.827709658906259,5648.169521306418,18,312.33758370566323,16.530944855505258,0.82123583469957
0.4,1,4.827709658906259,5648.169521306418,19,397.89337196303796,10.185993754971243,0.8210970521075699
0.4,2,5.8266951376741964,4157.187735641528,0,4.0,92383.67598159559,0.8330577163229647
0.4,2,5.8266951376741964,4157.187735641528,1,5.095683551653521,58037.14612058649,0.8316423361460931
0.4,2,5.8266951376741964,4157.187735641528,2,6.491497714648063,36278.59240626878,0.8304535617569784
0.4,2,5.8266951376741964,4157.187735641528,3,8.269654532532142,22627.898699921483,0.8298251163421778
0.4,2,5.8266951376741964,4157.187735641528,4,10.534885644820253,14058.326548255704,0.8297534382452586
0.4,2,5.8266951376741964,4157.187735641528,5,13.420610874715353,8729.21013367378,0.8292295188912756
0.4,2,5.8266951376741964,4157.187735641528,6,17.096796521857346,5415.905086793296,0.8283816416082946
0.4,2,5.8266951376741964,4157.187735641528,7,21.779966205598896,3349.491902041357,0.8287962199503726
0.4,2,5.8266951376741964,4157.187735641528,8,27.745953887359985,2073.473391193686,0.8276070342681189
0.4,2,5.8266951376741964,4157.187735641528,9,35.34615021218933,1278.915510333941,0.82830285132785
0.4,2,5.8266951376741964,4157.187735641528,10,45.028199062631984,790.659682755792,0.8281046622620026
0.4,2,5.8266951376741964,4157.187735641528,11,57.36236333100857,487.89581076918586,0.8280283356110995
