mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
1.0,73241,photon,0,10.000000000000002,1,100000,0.73684,0.73684,0.26316,0.0,-3.491976096332315,4.729770142693689
1.0,73241,photon,0,10.000000000000002,2,100000,0.83051,0.83051,0.16949,0.0,-6.9964862581447695,6.674307060343127
1.0,73241,photon,0,10.000000000000002,3,100000,0.8919,0.8919,0.1081,0.0,-10.480078260869663,8.17219016288727
1.0,73241,photon,0,10.000000000000002,4,100000,0.9311,0.9311,0.0689,0.0,-13.970855122973589,9.461991626667865
1.0,73241,photon,0,10.000000000000002,5,100000,0.95431,0.95431,0.04569,0.0,-17.41975805678726,10.568754521277276
1.0,73241,photon,0,10.000000000000002,6,100000,0.96834,0.96834,0.03166,0.0,-20.927739242879724,11.572925863134442
1.0,73241,photon,0,10.000000000000002,7,100000,0.97889,0.97889,0.02111,0.0,-24.413465843325262,12.474992765470725
1.0,73241,photon,0,10.000000000000002,8,100000,0.98584,0.98584,0.01416,0.0,-27.932459543050687,13.307667964943436
1.0,73241,photon,0,10.000000000000002,9,100000,0.99015,0.99015,0.00985,0.0,-31.431396559218694,14.131294682413188
1.0,73241,photon,0,10.000000000000002,10,100000,0.9926,0.9926,0.0074,0.0,-34.923119758824626,14.896066231473709
1.0,73241,photon,0,10.000000000000002,11,100000,0.99506,0.99506,0.00494,0.0,-38.42504256697788,15.621945411265754
1.0,73241,photon,0,10.000000000000002,12,100000,0.99651,0.99651,0.00349,0.0,-41.909057714299784,16.307121760259705
1.0,73241,photon,1,10.181372917310114,1,100000,0.7346,0.7346,0.2654,0.0,-3.5058019838702923,4.7458662875029765
1.0,73241,photon,1,10.181372917310114,2,100000,0.83115,0.83115,0.16885,0.0,-7.031279207471397,6.707413653425059
1.0,73241,photon,1,10.181372917310114,3,100000,0.893,0.893,0.107,0.0,-10.524937168263616,8.191691146846859
