mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
1.05,73241,photon,0,10.5,1,100000,0.72122,0.72122,0.27878,0.0,-3.0770692584766715,4.3924078340821895
1.05,73241,photon,0,10.5,2,100000,0.81328,0.81328,0.18672,0.0,-6.141446236996064,6.202098023246718
1.05,73241,photon,0,10.5,3,100000,0.87672,0.87672,0.12328,0.0,-9.214634051697349,7.5818979692924175
1.05,73241,photon,0,10.5,4,100000,0.91882,0.91882,0.08118,0.0,-12.303180606819387,8.771863286974119
1.05,73241,photon,0,10.5,5,100000,0.94458,0.94458,0.05542,0.0,-15.347593717579164,9.80428463689068
1.05,73241,photon,0,10.5,6,100000,0.96178,0.96178,0.03822,0.0,-18.42775602546796,10.74399151227901
1.05,73241,photon,0,10.5,7,100000,0.97202,0.97202,0.02798,0.0,-21.487563376510533,11.625802007061296
1.05,73241,photon,0,10.5,8,100000,0.98073,0.98073,0.01927,0.0,-24.54617613137211,12.406492498432081
1.05,73241,photon,0,10.5,9,100000,0.98625,0.98625,0.01375,0.0,-27.600594011140334,13.150367649944744
1.05,73241,photon,0,10.5,10,100000,0.99046,0.99046,0.00954,0.0,-30.682018591680777,13.860703156828144
1.05,73241,photon,0,10.5,11,100000,0.99265,0.99265,0.00735,0.0,-33.76677683607178,14.550349058332253
1.05,73241,photon,0,10.5,12,100000,0.99457,0.99457,0.00543,0.0,-36.85399688129128,15.20716672624478
1.05,73241,photon,1,10.578886748946001,1,100000,0.72049,0.72049,0.27951,0.0,-3.0805917405424705,4.399488907003441
1.05,73241,photon,1,10.578886748946001,2,100000,0.81447,0.81447,0.18553,0.0,-6.182230880408311,6.211878857185865
1.05,73241,photon,1,10.578886748946001,3,100000,0.87654,0.87654,0.12346,0.0,-9.2609389728842,7.619986263008008
1.05,73241,photon,1,10.578886748946001,4,100000,0.91928,0.91928,0.08072,0.0,-12.34455817482269,8.791274322571923
1.05,73241,photon,1,10.578886748946001,5,100000,0.94522,0.94522,0.05478,0.0,-15.429796768204803,9.82899767668546
1.05,73241,photon,1,10.578886748946001,6,100000,0.96117,0.96117,0.03883,0.0,-18.506459260096616,10.773200155125734
1.05,73241,photon,1,10.578886748946001,7,100000,0.97352,0.97352,0.02648,0.0,-21.60029998313331,11.628236598895121
1.05,73241,photon,1,10.578886748946001,8,100000,0.98055,0.98055,0.01945,0.0,-24.69799892417114,12.443638033435459
1.05,73241,photon,1,10.578886748946001,9,100000,0.98644,0.98644,0.01356,0.0,-27.791175828429452,13.17836633467434
1.05,73241,photon,1,10.578886748946001,10,100000,0.99039,0.99039,0.00961,0.0,-30.875095183736313,13.891550873457579
1.05,73241,photon,1,10.578886748946001,11,100000,0.99328,0.99328,0.00672,0.0,-33.96213544673336,14.582467301012992
1.05,73241,photon,1,10.578886748946001,12,100000,0.99483,0.99483,0.00517,0.0,-37.06646796058388,15.233336139116375
1.05,73241,photon,2,10.658366175907164,1,100000,0.72269,0.72269,0.27731,0.0,-3.0923792234867613,4.392418718666592
1.05,73241,photon,2,10.658366175907164,2,100000,0.81438,0.81438,0.18562,0.0,-6.174554388507473,6.210739696992023
1.05,73241,photon,2,10.658366175907164,3,100000,0.87634,0.87634,0.12366,0.0,-9.25057435048287,7.615549322552052
1.05,73241,photon,2,10.658366175907164,4,100000,0.91927,0.91927,0.08073,0.0,-12.332081148751376,8.811536430715561
1.05,73241,photon,2,10.658366175907164,5,100000,0.94488,0.94488,0.05512,0.0,-15.423253101964004,9.833362495325451
1.05,73241,photon,2,10.658366175907164,6,100000,0.96117,0.96117,0.03883,0.0,-18.502582461260484,10.783096559133567
1.05,73241,photon,2,10.658366175907164,7,100000,0.97192,0.97192,0.02808,0.0,-21.598546684255986,11.663187457941019
1.05,73241,photon,2,10.658366175907164,8,100000,0.98017,0.98017,0.01983,0.0,-24.697790953563082,12.465280968636817
1.05,73241,photon,2,10.658366175907164,9,100000,0.98546,0.98546,0.01454,0.0,-27.78144305156962,13.226739263363738
1.05,73241,photon,2,10.658366175907164,10,100000,0.98994,0.98994,0.01006,0.0,-30.88583459745083,13.947212849984536
1.05,73241,photon,2,10.658366175907164,11,100000,0.99279,0.99279,0.00721,0.0,-33.974935081565036,14.61025463594853
1.05,73241,photon,2,10.658366175907164,12,100000,0.99477,0.99477,0.00523,0.0,-37.04908890457949,15.258256850214643
1.05,73241,photon,3,10.738442733687481,1,100000,0.7218,0.7218,0.2782,0.0,-3.0756139362852695,4.382225580687555
1.05,73241,photon,3,10.738442733687481,2,100000,0.81514,0.81514,0.18486,0.0,-6.176777960146369,6.211075856858323
1.05,73241,photon,3,10.738442733687481,3,100000,0.87594,0.87594,0.12406,0.0,-9.266178808416234,7.635473087596422
1.05,73241,photon,3,10.738442733687481,4,100000,0.91921,0.91921,0.08079,0.0,-12.357141659082014,8.812891289301836
1.05,73241,photon,3,10.738442733687481,5,100000,0.94516,0.94516,0.05484,0.0,-15.43354803319226,9.845008218722926
1.05,73241,photon,3,10.738442733687481,6,100000,0.96096,0.96096,0.03904,0.0,-18.496919941975488,10.775188128361558
1.05,73241,photon,3,10.738442733687481,7,100000,0.97288,0.97288,0.02712,0.0,-21.5847817534969,11.626659618690386
1.05,73241,photon,3,10.738442733687481,8,100000,0.98055,0.98055,0.01945,0.0,-24.67836368150467,12.43411714711761
1.05,73241,photon,3,10.738442733687481,9,100000,0.98583,0.98583,0.01417,0.0,-27.757066898512644,13.227518770567464
1.05,73241,photon,3,10.738442733687481,10,100000,0.98963,0.98963,0.01037,0.0,-30.815452943690484,13.931834689057379
1.05,73241,photon,3,10.738442733687481,11,100000,0.9926,0.9926,0.0074,0.0,-33.90016569560952,14.60526467547362
1.05,73241,photon,3,10.738442733687481,12,100000,0.99455,0.99455,0.00545,0.0,-36.98007846140658,15.259056543841192
1.05,73241,photon,4,10.81912090854495,1,100000,0.71962,0.71962,0.28038,0.0,-3.076024985561928,4.404412820991593
1.05,73241,photon,4,10.81912090854495,2,100000,0.8142,0.8142,0.1858,0.0,-6.167136519721568,6.2312148034989745
1.05,73241,photon,4,10.81912090854495,3,100000,0.87619,0.87619,0.12381,0.0,-9.254172122924608,7.624940168126036
1.05,73241,photon,4,10.81912090854495,4,100000,0.91957,0.91957,0.08043,0.0,-12.363869658183807,8.800343985604977
1.05,73241,photon,4,10.81912090854495,5,100000,0.94488,0.94488,0.05512,0.0,-15.45230212518847,9.840774391015955
1.05,73241,photon,4,10.81912090854495,6,100000,0.96161,0.96161,0.03839,0.0,-18.56445829582702,10.783881381327776
1.05,73241,photon,4,10.81912090854495,7,100000,0.97305,0.97305,0.02695,0.0,-21.667277022480295,11.63337834574111
1.05,73241,photon,4,10.81912090854495,8,100000,0.98067,0.98067,0.01933,0.0,-24.77098857668392,12.43035707025401
1.05,73241,photon,4,10.81912090854495,9,100000,0.98666,0.98666,0.01334,0.0,-27.86446811130451,13.206671988370557
1.05,73241,photon,4,10.81912090854495,10,100000,0.9903,0.9903,0.0097,0.0,-30.984135292302813,13.919905623697892
1.05,73241,photon,4,10.81912090854495,11,100000,0.99287,0.99287,0.00713,0.0,-34.077324583406615,14.569626043688626
1.05,73241,photon,4,10.81912090854495,12,100000,0.99493,0.99493,0.00507,0.0,-37.19522758362344,15.229105829748795
1.05,73241,photon,5,10.900405220442927,1,100000,0.72401,0.72401,0.27599,0.0,-3.089466990515129,4.3894415558792685
1.05,73241,photon,5,10.900405220442927,2,100000,0.81483,0.81483,0.18517,0.0,-6.176750271538841,6.215756292618967
1.05,73241,photon,5,10.900405220442927,3,100000,0.87839,0.87839,0.12161,0.0,-9.254846467779817,7.609547100036627
1.05,73241,photon,5,10.900405220442927,4,100000,0.92024,0.92024,0.07976,0.0,-12.373373749550982,8.781848988652872
1.05,73241,photon,5,10.900405220442927,5,100000,0.94554,0.94554,0.05446,0.0,-15.462472439710618,9.825229630169815
1.05,73241,photon,5,10.900405220442927,6,100000,0.96139,0.96139,0.03861,0.0,-18.559663514954018,10.79451108343221
1.05,73241,photon,5,10.900405220442927,7,100000,0.97292,0.97292,0.02708,0.0,-21.651035315370834,11.65847232490299
1.05,73241,photon,5,10.900405220442927,8,100000,0.98049,0.98049,0.01951,0.0,-24.734652343751588,12.468850632711263
1.05,73241,photon,5,10.900405220442927,9,100000,0.98588,0.98588,0.01412,0.0,-27.79663941761223,13.230093747415218
1.05,73241,photon,5,10.900405220442927,10,100000,0.99006,0.99006,0.00994,0.0,-30.902519290117244,13.943126433708155
1.05,73241,photon,5,10.900405220442927,11,100000,0.99266,0.99266,0.00734,0.0,-34.00853800559856,14.621646418014478
1.05,73241,photon,5,10.900405220442927,12,100000,0.99476,0.99476,0.00524,0.0,-37.112529125571,15.253046904059868
1.05,73241,photon,6,10.98230022330338,1,100000,0.72375,0.72375,0.27625,0.0,-3.118147306098255,4.400363561610459
1.05,73241,photon,6,10.98230022330338,2,100000,0.81559,0.81559,0.18441,0.0,-6.223795894111551,6.233343906754467
1.05,73241,photon,6,10.98230022330338,3,100000,0.87816,0.87816,0.12184,0.0,-9.34766720756859,7.6407933330052025
1.05,73241,photon,6,10.98230022330338,4,100000,0.92001,0.92001,0.07999,0.0,-12.42769588835327,8.821794085797434
1.05,73241,photon,6,10.98230022330338,5,100000,0.94427,0.94427,0.05573,0.0,-15.52297205914184,9.862961407845226
1.05,73241,photon,6,10.98230022330338,6,100000,0.96176,0.96176,0.03824,0.0,-18.608003119817997,10.799666554083906
1.05,73241,photon,6,10.98230022330338,7,100000,0.97366,0.97366,0.02634,0.0,-21.69605030426383,11.647189949313665
1.05,73241,photon,6,10.98230022330338,8,100000,0.98105,0.98105,0.01895,0.0,-24.78123904484337,12.43871663029639
1.05,73241,photon,6,10.98230022330338,9,100000,0.98679,0.98679,0.01321,0.0,-27.865177598525033,13.179931149129322
1.05,73241,photon,6,10.98230022330338,10,100000,0.99058,0.99058,0.00942,0.0,-30.990681583091018,13.884005482457495
1.05,73241,photon,6,10.98230022330338,11,100000,0.99276,0.99276,0.00724,0.0,-34.08447321996464,14.574026128206148
1.05,73241,photon,6,10.98230022330338,12,100000,0.99492,0.99492,0.00508,0.0,-37.20762712487184,15.235687967492458
1.05,73241,photon,7,11.064810505261978,1,100000,0.72154,0.72154,0.27846,0.0,-3.09568460829821,4.398166912521868
1.05,73241,photon,7,11.064810505261978,2,100000,0.81428,0.81428,0.18572,0.0,-6.171545809102637,6.213546450458408
1.05,73241,photon,7,11.064810505261978,3,100000,0.87711,0.87711,0.12289,0.0,-9.250997898239639,7.616063554686189
1.05,73241,photon,7,11.064810505261978,4,100000,0.92058,0.92058,0.07942,0.0,-12.345951746741484,8.7660599974269
1.05,73241,photon,7,11.064810505261978,5,100000,0.94567,0.94567,0.05433,0.0,-15.429825070528581,9.813955020853433
1.05,73241,photon,7,11.064810505261978,6,100000,0.96199,0.96199,0.03801,0.0,-18.508658952093434,10.740076869963712
1.05,73241,photon,7,11.064810505261978,7,100000,0.97362,0.97362,0.02638,0.0,-21.60152143203631,11.587775487416174
1.05,73241,photon,7,11.064810505261978,8,100000,0.98023,0.98023,0.01977,0.0,-24.697787587934364,12.415415463671359
1.05,73241,photon,7,11.064810505261978,9,100000,0.98626,0.98626,0.01374,0.0,-27.815707688899494,13.172577434316864
1.05,73241,photon,7,11.064810505261978,10,100000,0.98995,0.98995,0.01005,0.0,-30.935715549719582,13.907548299888832
1.05,73241,photon,7,11.064810505261978,11,100000,0.99286,0.99286,0.00714,0.0,-34.03953251131472,14.586476635443065
1.05,73241,photon,7,11.064810505261978,12,100000,0.99491,0.99491,0.00509,0.0,-37.122488207651664,15.232442938377647
1.05,73241,photon,8,11.147940688925186,1,100000,0.72162,0.72162,0.27838,0.0,-3.0886038251362247,4.394984126375749
1.05,73241,photon,8,11.147940688925186,2,100000,0.81511,0.81511,0.18489,0.0,-6.177959437617669,6.210338066136097
1.05,73241,photon,8,11.147940688925186,3,100000,0.87904,0.87904,0.12096,0.0,-9.270485411088353,7.594055099277397
1.05,73241,photon,8,11.147940688925186,4,100000,0.92111,0.92111,0.07889,0.0,-12.35999314870071,8.778744599568956
