mass_GeV,number_of_events,photon_truth_worst_accuracy,su2_truth_worst_accuracy,worst_case_correct_fraction,limiting_seed,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.6,1,0.82897,0.89457,0.82897,73241,photon,0,6.0
0.6,2,0.92517,0.96288,0.92517,113253,photon,0,6.0
0.6,3,0.96871,0.981,0.96871,93247,photon,0,6.0
0.6,4,0.98434,0.99014,0.98434,73241,photon,0,6.0
0.6,5,0.9922,0.99494,0.9922,103250,photon,0,6.0
0.6,6,0.99585,0.9973,0.99585,103250,photon,0,6.0
0.6,7,0.99782,0.99863,0.99782,103250,photon,0,6.0
0.6,8,0.99888,0.99927,0.99888,103250,photon,0,6.0
0.6,9,0.99941,0.99958,0.99941,93247,photon,0,6.0
0.6,10,0.9997,0.99976,0.9997,93247,photon,0,6.0
0.6,11,0.99983,0.99985,0.99983,93247,photon,0,6.0
0.6,12,0.99991,0.99989,0.99989,73241,su2,13,78.28377216967522
