mass_GeV,seed,number_of_events,photon_truth_worst_accuracy,photon_limiting_lifetime_index,photon_limiting_ctau_m,su2_truth_worst_accuracy,su2_limiting_lifetime_index,su2_limiting_ctau_m,worst_case_correct_fraction,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.6,73241,1,0.82897,0,6.0,0.89464,14,95.38520405222776,0.82897,photon,0,6.0
0.6,73241,2,0.92596,0,6.0,0.96315,14,95.38520405222776,0.92596,photon,0,6.0
0.6,73241,3,0.96897,0,6.0,0.98126,17,172.5475588473371,0.96897,photon,0,6.0
0.6,73241,4,0.98434,0,6.0,0.99036,17,172.5475588473371,0.98434,photon,0,6.0
0.6,73241,5,0.99236,0,6.0,0.99506,5,16.113786094114122,0.99236,photon,0,6.0
0.6,73241,6,0.99632,0,6.0,0.9973,14,95.38520405222776,0.99632,photon,0,6.0
0.6,73241,7,0.99824,0,6.0,0.99876,14,95.38520405222776,0.99824,photon,0,6.0
0.6,73241,8,0.99907,0,6.0,0.9993,8,29.149116804375307,0.99907,photon,0,6.0
0.6,73241,9,0.99951,0,6.0,0.99962,18,210.2413265637518,0.99951,photon,0,6.0
0.6,73241,10,0.99975,0,6.0,0.99976,13,78.28377216967522,0.99975,photon,0,6.0
0.6,73241,11,0.99989,0,6.0,0.99986,18,210.2413265637518,0.99986,su2,18,210.2413265637518
0.6,73241,12,0.99993,0,6.0,0.99989,13,78.28377216967522,0.99989,su2,13,78.28377216967522
0.6,83244,1,0.83167,0,6.0,0.89544,19,256.1694624401711,0.83167,photon,0,6.0
0.6,83244,2,0.92698,0,6.0,0.96388,11,52.72944579954886,0.92698,photon,0,6.0
0.6,83244,3,0.96969,0,6.0,0.98133,18,210.2413265637518,0.96969,photon,0,6.0
0.6,83244,4,0.98543,0,6.0,0.99034,16,141.61183507918588,0.98543,photon,0,6.0
0.6,83244,5,0.99261,0,6.0,0.99526,11,52.72944579954886,0.99261,photon,0,6.0
0.6,83244,6,0.99599,0,6.0,0.99743,18,210.2413265637518,0.99599,photon,0,6.0
0.6,83244,7,0.99793,0,6.0,0.99863,16,141.61183507918588,0.99793,photon,0,6.0
0.6,83244,8,0.99892,0,6.0,0.99928,16,141.61183507918588,0.99892,photon,0,6.0
0.6,83244,9,0.99943,1,6.7380509865628095,0.99958,14,95.38520405222776,0.99943,photon,1,6.7380509865628095
0.6,83244,10,0.99974,1,6.7380509865628095,0.9998,14,95.38520405222776,0.99974,photon,1,6.7380509865628095
0.6,83244,11,0.99988,2,7.566888516253341,0.99991,7,23.9230270725376,0.99988,photon,2,7.566888516253341
