mass_GeV,model,lifetime_index,ctau_m,bin_index,energy_low_GeV,energy_high_GeV,probability
0.4,ALP-photon-combined,0,4.0,0,0.4,25.238293779207726,0.7254373532339999
0.4,ALP-photon-combined,0,4.0,1,25.238293779207726,28.977438402999603,0.05880200755384921
0.4,ALP-photon-combined,0,4.0,2,28.977438402999603,33.27055084410684,0.048233986169193964
0.4,ALP-photon-combined,0,4.0,3,33.27055084410684,38.19970344085745,0.04045449279353687
0.4,ALP-photon-combined,0,4.0,4,38.19970344085745,43.859127845727414,0.03275342095754221
0.4,ALP-photon-combined,0,4.0,5,43.859127845727414,50.35701647176671,0.0261055022540693
0.4,ALP-photon-combined,0,4.0,6,50.35701647176671,57.81759082983714,0.01997954486621882
0.4,ALP-photon-combined,0,4.0,7,57.81759082983714,66.38347629750241,0.015246605812212299
0.4,ALP-photon-combined,0,4.0,8,66.38347629750241,76.21842871852988,0.01059005406258962
0.4,ALP-photon-combined,0,4.0,9,76.21842871852988,87.5104649579821,0.007671608009288569
0.4,ALP-photon-combined,0,4.0,10,87.5104649579821,100.47545726038321,0.005318109486560244
0.4,ALP-photon-combined,0,4.0,11,100.47545726038321,115.36126012506426,0.0035525249744061626
0.4,ALP-photon-combined,0,4.0,12,115.36126012506426,132.45244859303648,0.002405168276886477
0.4,ALP-photon-combined,0,4.0,13,132.45244859303648,152.07575852822455,0.0013772504720864587
0.4,ALP-photon-combined,0,4.0,14,152.07575852822455,174.6063328960663,0.0008748587058676932
0.4,ALP-photon-combined,0,4.0,15,174.6063328960663,200.47489345090884,0.0005670140440128133
0.4,ALP-photon-combined,0,4.0,16,200.47489345090884,230.17597493486272,0.0003258372804330092
0.4,ALP-photon-combined,0,4.0,17,230.17597493486272,400.0,0.00030466104724646994
0.4,ALP-photon-combined,1,4.827709658906259,0,0.4,25.238293779207726,0.7402682491920569
0.4,ALP-photon-combined,1,4.827709658906259,1,25.238293779207726,28.977438402999603,0.05629572011313755
0.4,ALP-photon-combined,1,4.827709658906259,2,28.977438402999603,33.27055084410684,0.0459157026670813
0.4,ALP-photon-combined,1,4.827709658906259,3,33.27055084410684,38.19970344085745,0.03842923215367123
0.4,ALP-photon-combined,1,4.827709658906259,4,38.19970344085745,43.859127845727414,0.03081364376670243
0.4,ALP-photon-combined,1,4.827709658906259,5,43.859127845727414,50.35701647176671,0.0245489443141307
0.4,ALP-photon-combined,1,4.827709658906259,6,50.35701647176671,57.81759082983714,0.018750169965812566
0.4,ALP-photon-combined,1,4.827709658906259,7,57.81759082983714,66.38347629750241,0.014272675408876848
0.4,ALP-photon-combined,1,4.827709658906259,8,66.38347629750241,76.21842871852988,0.009875578960522251
0.4,ALP-photon-combined,1,4.827709658906259,9,76.21842871852988,87.5104649579821,0.007143371707206853
0.4,ALP-photon-combined,1,4.827709658906259,10,87.5104649579821,100.47545726038321,0.0049541225014043825
0.4,ALP-photon-combined,1,4.827709658906259,11,100.47545726038321,115.36126012506426,0.0033029144409458346
0.4,ALP-photon-combined,1,4.827709658906259,12,115.36126012506426,132.45244859303648,0.0022324792908482343
0.4,ALP-photon-combined,1,4.827709658906259,13,132.45244859303648,152.07575852822455,0.0012785657322495574
0.4,ALP-photon-combined,1,4.827709658906259,14,152.07575852822455,174.6063328960663,0.0008106188348474342
0.4,ALP-photon-combined,1,4.827709658906259,15,174.6063328960663,200.47489345090884,0.0005255819390338383
0.4,ALP-photon-combined,1,4.827709658906259,16,200.47489345090884,230.17597493486272,0.000301214283361183
0.4,ALP-photon-combined,1,4.827709658906259,17,230.17597493486272,400.0,0.0002812147281109003
0.4,ALP-photon-combined,2,5.8266951376741964,0,0.4,25.238293779207726,0.7524133405449492
0.4,ALP-photon-combined,2,5.8266951376741964,1,25.238293779207726,28.977438402999603,0.05406290486256162
0.4,ALP-photon-combined,2,5.8266951376741964,2,28.977438402999603,33.27055084410684,0.04391485556205842
