mass_GeV,model,lifetime_index,ctau_m,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,template_total_N_eff,number_of_common_energy_bins,passes_N_events_threshold
0.3,ALP-photon-combined,0,3.0000000000000004,42039.876177269885,127707.0754663132,0.32918987474863315,512729.38794068445,18,True
0.3,ALP-photon-combined,1,3.8038567214123518,29636.020039344123,100017.97720232041,0.2963069326966609,489302.4681402017,18,True
0.3,ALP-photon-combined,2,4.823108652344642,20460.943792296115,76370.3874229695,0.26791724492603775,467069.5731749399,18,True
0.3,ALP-photon-combined,3,6.115471421774413,13918.923980521042,56857.39759922618,0.2448040988198601,446051.5639313873,18,True
0.3,ALP-photon-combined,4,7.7541256907739164,9309.239031653331,41320.07869557635,0.22529577206855517,427802.8957147618,18,True
0.3,ALP-photon-combined,5,9.831861042508852,6150.7895405807885,29354.484512355186,0.20953491920431938,411929.5206969998,18,True
0.3,ALP-photon-combined,6,12.466330236846515,4037.3795659716616,20424.480834356807,0.19767354669697307,398722.37877814635,18,True
0.3,ALP-photon-combined,7,15.806711354258216,2609.6168075034666,13953.454348672716,0.18702299389768665,387151.97010102664,18,True
0.3,ALP-photon-combined,8,20.04215507610668,1674.5468999946752,9379.98426920829,0.1785234230607099,378290.35676165466,18,True
0.3,ALP-photon-combined,9,25.41249543261236,1070.4981565003814,6218.08872077663,0.17215871380598083,369328.96658828,18,True
0.3,ALP-photon-combined,10,32.221830519734404,680.3954117285898,4073.7687646294708,0.16701866282547215,364110.9295932926,18,True
0.3,ALP-photon-combined,11,40.85574219956714,429.3595967169982,2642.693456158545,0.16247045063679885,359188.65016010543,18,True
0.3,ALP-photon-combined,12,51.80312985803788,271.3612740229137,1700.4259204819432,0.15958429635441168,355435.80512752937,18,True
0.3,ALP-photon-combined,13,65.68389456689812,170.71531061633058,1086.8639160042703,0.15707146782823161,351804.599113442,18,True
0.3,ALP-photon-combined,14,83.28404127894517,107.03473291638267,690.9062218731302,0.15491933568957966,350020.8576729425,18,True
0.3,ALP-photon-combined,15,105.60018673509983,66.95990397541317,437.2701649394569,0.1531316548538916,347544.18834226544,18,True
0.3,ALP-photon-combined,16,133.8959933649029,41.914440696037374,275.77154227907397,0.151989724355318,345513.77457994275,18,True
0.3,ALP-photon-combined,17,169.77372477708994,26.129180005070623,173.4160817308226,0.15067333862166532,344494.6179824305,18,True
0.3,ALP-photon-combined,18,215.26497470418127,16.354842778384054,108.81170121345788,0.15030408123387817,344480.6500635342,18,True
0.3,ALP-photon-combined,19,272.9457069710534,10.18690323420639,68.15029615686078,0.14947702077125694,341670.80401811714,18,True
0.3,ALP-SU2L,0,3.0000000000000004,305112.9766442093,431371.1211385265,0.7073096962052501,405054.516808364,18,True
0.3,ALP-SU2L,1,3.9434983368143994,179992.7829029946,255275.8294853135,0.7050913643720035,402254.4657746934,18,True
0.3,ALP-SU2L,2,5.1837263774859785,105838.95494569323,150281.64049539776,0.7042706919940394,400555.1763722299,18,True
0.3,ALP-SU2L,3,6.814005449372293,61999.20066140259,88114.39974182578,0.7036216650520183,398848.2638408292,18,True
0.3,ALP-SU2L,4,8.957006385547963,36258.69679777422,51506.96903150732,0.7039571048258425,398108.3141508937,18,True
0.3,ALP-SU2L,5,11.773979928081449,21096.650825392888,30036.598166869077,0.7023648519779075,396896.10870179563,18,True
0.3,ALP-SU2L,6,15.476890088025105,12273.94497708653,17485.705431634702,0.7019416531449063,396126.64358138485,18,True
0.3,ALP-SU2L,7,20.34436344039542,7141.630628029952,10165.37791583089,0.7025445278240022,395855.3667631458,18,True
0.3,ALP-SU2L,8,26.742654463582337,4145.785207999004,5903.604438015352,0.7022464413948297,395717.72449717915,18,True
0.3,ALP-SU2L,9,35.153204466379705,2403.4410028267466,3425.829140056141,0.7015647612791804,395122.93152051204,18,True
0.3,ALP-SU2L,10,46.208867782288266,1393.466703253645,1986.8035325954447,0.7013610960482343,395009.15621850267,18,True
0.3,ALP-SU2L,11,60.74153108184345,807.3272470339829,1151.693965558735,0.700991123663928,394565.8975886983,18,True
0.3,ALP-SU2L,12,79.84470893226988,468.40312374854926,667.3521655356458,0.7018829756438846,394913.14415114606,18,True
0.3,ALP-SU2L,13,104.95582562594541,270.9201199086895,386.5885228304831,0.7007971109051431,394512.3249090559,18,True
0.3,ALP-SU2L,14,137.9643745982992,156.85316448970985,223.89602779083893,0.7005625157237727,394220.98651911074,18,True
0.3,ALP-SU2L,15,181.35409392267732,90.8478056532811,129.64955436030988,0.7007182253847584,394363.70617828943,18,True
0.3,ALP-SU2L,16,238.38985591952,52.632030247578356,75.06524155699128,0.7011504813132305,394394.437405685,18,True
0.3,ALP-SU2L,17,313.36333344401726,30.466740767608414,43.457064698660126,0.7010768209696355,394376.7289851919,18,True
0.3,ALP-SU2L,18,411.9159280850325,17.640263823726364,25.156398852922216,0.7012237294718054,394510.5280191431,18,True
0.3,ALP-SU2L,19,541.4632591035622,10.210375625826991,14.561684922812969,0.7011809196496879,394464.2087323634,18,True
