mass_GeV,model,lifetime_index,ctau_m,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,template_total_N_eff,number_of_common_energy_bins,passes_N_events_threshold
1.0,ALP-photon-combined,0,10.000000000000002,18.662698936145432,50.90599044444876,0.3666110564435659,689370.2542131266,21,True
1.0,ALP-photon-combined,1,10.181372917310114,18.08513465139391,49.384088907073306,0.3662137958123506,689046.1697551868,21,True
1.0,ALP-photon-combined,2,10.36603544813358,17.49944584250791,47.904319656374355,0.365299955578836,688764.375962869,21,True
1.0,ALP-photon-combined,3,10.554047257150385,16.928564616670585,46.4641743197784,0.36433585368726984,687678.4858582632,21,True
1.0,ALP-photon-combined,4,10.745469091196195,16.41191145538426,45.063553081329665,0.36419479453305464,687718.1548716987,21,True
1.0,ALP-photon-combined,5,10.940362798889787,15.873072041194682,43.70282988265278,0.36320467310276566,686666.0370858245,21,True
1.0,ALP-photon-combined,6,11.13879135061635,15.354045436844338,42.379321648305506,0.3623004059447529,686005.6828438272,21,True
1.0,ALP-photon-combined,7,11.340818858873345,14.856334864126506,41.09291191980926,0.361530350857537,685396.9217325062,21,True
1.0,ALP-photon-combined,8,11.546510598985286,14.408358750337296,39.84225434915348,0.3616351279742138,685505.5778276144,21,True
1.0,ALP-photon-combined,9,11.75593303019429,13.933495987918171,38.626361756429155,0.3607250425442674,685166.4422946027,21,True
1.0,ALP-photon-combined,10,11.969153817133158,13.491028791676053,37.44522472608789,0.3602870296643439,683985.9175578867,21,True
1.0,ALP-photon-combined,11,12.186241851687845,13.04332972369307,36.29716918631003,0.3593484014343614,683464.4706602743,21,True
1.0,ALP-photon-combined,12,12.407267275256567,12.621287598187582,35.181974430237084,0.3587430154954646,682711.351019407,21,True
1.0,ALP-photon-combined,13,12.632301501412519,12.216286074820502,34.09826276535331,0.35826711052368543,682642.6068185788,21,True
1.0,ALP-photon-combined,14,12.861417238977731,11.830772181283603,33.04572360215013,0.35801219920975885,682076.6000235096,21,True
1.0,ALP-photon-combined,15,13.09468851551533,11.442724714003788,32.02350669481306,0.35732266372493177,681813.0825921171,21,True
1.0,ALP-photon-combined,16,13.332190701247947,11.057947484986254,31.030555677148968,0.3563567343117021,681032.3841000977,21,True
1.0,ALP-photon-combined,17,13.57400053340996,10.70581637972706,30.066449485984432,0.35607185293752786,680661.3104480224,21,True
1.0,ALP-photon-combined,18,13.820196141041313,10.353623396450093,29.130529524517836,0.3554217367636905,679968.6837268054,21,True
1.0,ALP-photon-combined,19,14.070857070231174,10.01268212028878,28.221894913978225,0.35478418975082804,679694.9993774049,21,True
1.0,ALP-SU2L,0,10.000000000000002,1921.6810815874742,3834.876710637977,0.5011063527170811,311589.37049243256,21,True
1.0,ALP-SU2L,1,11.505277171756266,1468.8995706815508,2940.000818276136,0.4996255652550591,311049.51803898375,21,True
1.0,ALP-SU2L,2,13.237140279893586,1120.3334380425877,2250.395242762388,0.4978385204313552,310163.28020664875,21,True
1.0,ALP-SU2L,3,15.229696788159503,854.3708894711252,1720.3267914415367,0.4966329035399203,309767.26472182595,21,True
1.0,ALP-SU2L,4,17.522188278958126,650.2591289941049,1313.582208259764,0.495027357180461,309110.0841073705,21,True
1.0,ALP-SU2L,5,20.159763280511214,494.3998426290012,1002.0155672148418,0.49340535097993854,308400.53347255406,21,True
1.0,ALP-SU2L,6,23.19436642592759,375.38147249909196,763.4839933943518,0.49166907983256347,308290.9103669215,21,True
1.0,ALP-SU2L,7,26.685761455357454,284.9022484258861,581.2597486010126,0.49014618526673226,307674.90088085376,21,True
1.0,ALP-SU2L,8,30.702708208325753,216.44223093268712,442.1143863429087,0.4895616103403887,307528.2293454868,21,True
1.0,ALP-SU2L,9,35.32431678603439,163.63642114923914,336.0717462639435,0.48690918819674484,306812.1731067433,21,True
1.0,ALP-SU2L,10,40.64160555262483,124.30524428237631,255.28253404230333,0.48693203688497333,307024.346079746,21,True
1.0,ALP-SU2L,11,46.75929365881369,94.1221596565948,193.79644756737642,0.4856753611227664,306677.18597956875,21,True
1.0,ALP-SU2L,12,53.79786339001967,71.28626479956012,147.03664972241157,0.4848197026669232,306417.94633449335,21,True
1.0,ALP-SU2L,13,61.895932955045545,53.92215775429876,111.50620505481477,0.4835798844359508,306096.8786419326,21,True
1.0,ALP-SU2L,14,71.21298644522419,40.81591000600566,84.52751783830385,0.4828712713897986,305797.17502444744,21,True
1.0,ALP-SU2L,15,81.93251472808262,30.854652345020813,64.05232873909586,0.48171007912453845,305480.42511662527,21,True
1.0,ALP-SU2L,16,94.26562913255931,23.336583240384698,48.51808495424952,0.48098731148168977,305562.24848817545,21,True
1.0,ALP-SU2L,17,108.4552190940077,17.66881653401165,36.74132894655498,0.4808975897337092,305487.1279850485,21,True
1.0,ALP-SU2L,18,124.78073564001106,13.368264416402367,27.814083148752243,0.4806293396373224,305915.33619323396,21,True
1.0,ALP-SU2L,19,143.5636949233974,10.116971194940728,21.05002544220201,0.4806156278869755,305768.15222605126,21,True
