"mass","coupling"
1.00000000000000004e-34,5.04731102945213164e-13
1.00627777522433847e-34,5.04731102945213164e-13
1.01259496091043599e-34,5.04731102945213164e-13
1.01895180446832941e-34,5.04731102945213164e-13
1.0253485548612157e-34,5.04731102945213164e-13
1.03178546261522623e-34,5.04731102945213164e-13
1.03826277982926468e-34,5.04731102945213164e-13
1.04478076018482102e-34,5.04731102945213164e-13
1.05133965895597481e-34,5.04731102945213164e-13
1.05793973301933308e-34,5.04731102945213164e-13
1.06458124086411647e-34,5.04731102945213164e-13
1.07126444260230872e-34,5.04731102945213164e-13
1.07798959997879202e-34,5.04731102945213164e-13
1.08475697638162461e-34,5.04731102945213164e-13
1.09156683685238144e-34,5.04731102945213164e-13
1.09841944809647393e-34,5.04731102945213164e-13
1.10531507849366539e-34,5.04731102945213164e-13
1.11225399810852075e-34,5.04731102945213164e-13
1.1192364787010085e-34,5.04731102945213164e-13
1.1262627937371736e-34,5.04731102945213164e-13
1.13333321839979104e-34,5.04731102945213164e-13
1.14044802959917172e-34,5.04731102945213164e-13
1.14760750598403505e-34,5.04731102945213164e-13
1.15481192795236646e-34,5.04731102945213164e-13
1.16206157766242681e-34,5.04731102945213164e-13
1.16935673904383149e-34,5.04731102945213164e-13
1.17669769780860464e-34,5.04731102945213164e-13
1.18408474146244343e-34,5.04731102945213164e-13
1.19151815931591355e-34,5.04731102945213164e-13
1.19899824249580667e-34,5.04731102945213164e-13
1.20652528395657219e-34,5.04731102945213164e-13
1.21409957849173256e-34,5.04731102945213164e-13
1.22172142274545784e-34,5.04731102945213164e-13
1.22939111522421288e-34,5.04731102945213164e-13
1.23710895630838904e-34,5.04731102945213164e-13
1.24487524826409905e-34,5.04731102945213164e-13
1.25269029525504355e-34,5.04731102945213164e-13
1.26055440335435465e-34,5.04731102945213164e-13
1.26846788055666333e-34,5.04731102945213164e-13
1.27643103679009089e-34,5.04731102945213164e-13
1.28444418392841802e-34,5.04731102945213164e-13
1.29250763580332931e-34,5.04731102945213164e-13
1.3006217082166438e-34,5.04731102945213164e-13
1.3087867189527124e-34,5.04731102945213164e-13
1.3170029877908969e-34,5.04731102945213164e-13
1.32527083651801946e-34,5.04731102945213164e-13
1.33359058894105055e-34,5.04731102945213164e-13
1.34196257089971551e-34,5.04731102945213164e-13
1.35038711027928831e-34,5.04731102945213164e-13
1.35886453702346556e-34,5.04731102945213164e-13
1.36739518314722369e-34,5.04731102945213164e-13
1.37597938274985384e-34,5.04731102945213164e-13
1.38461747202808126e-34,5.04731102945213164e-13
1.39330978928916544e-34,5.04731102945213164e-13
1.40205667496418177e-34,5.04731102945213164e-13
1.41085847162139028e-34,5.04731102945213164e-13
1.41971552397957134e-34,5.04731102945213164e-13
1.42862817892161887e-34,5.04731102945213164e-13
1.43759678550804499e-34,5.04731102945213164e-13
1.44662169499068395e-34,5.04731102945213164e-13
1.455703260826487e-34,5.04731102945213164e-13
1.46484183869129236e-34,5.04731102945213164e-13
1.47403778649379073e-34,5.04731102945213164e-13
1.48329146438958018e-34,5.04731102945213164e-13
1.49260323479519774e-34,5.04731102945213164e-13
1.50197346240235021e-34,5.04731102945213164e-13
1.51140251419223363e-34,5.04731102945213164e-13
1.52089075944982009e-34,5.04731102945213164e-13
1.53043856977841944e-34,5.04731102945213164e-13
1.54004631911414632e-34,5.04731102945213164e-13
1.54971438374060195e-34,5.04731102945213164e-13
1.55944314230364974e-34,5.04731102945213164e-13
1.56923297582616821e-34,5.04731102945213164e-13
1.57908426772301167e-34,5.04731102945213164e-13
1.58899740381606575e-34,5.04731102945213164e-13
1.59897277234926733e-34,5.04731102945213164e-13
1.60901076400391327e-34,5.04731102945213164e-13
1.61911177191387089e-34,5.04731102945213164e-13
1.62927619168101323e-34,5.04731102945213164e-13
1.63950442139075282e-34,5.04731102945213164e-13
1.6497968616275531e-34,5.04731102945213164e-13
1.66015391549065621e-34,5.04731102945213164e-13
1.67057598860991196e-34,5.04731102945213164e-13
1.68106348916158207e-34,5.04731102945213164e-13
1.69161682788436679e-34,5.04731102945213164e-13
1.70223641809553308e-34,5.04731102945213164e-13
1.71292267570700602e-34,5.04731102945213164e-13
1.72367601924176696e-34,5.04731102945213164e-13
1.73449686985014925e-34,5.04731102945213164e-13
1.7453856513263728e-34,5.04731102945213164e-13
1.75634279012518531e-34,5.04731102945213164e-13
1.76736871537847859e-34,5.04731102945213164e-13
1.77846385891213801e-34,5.04731102945213164e-13
1.7896286552629979e-34,5.04731102945213164e-13
1.80086354169577416e-34,5.04731102945213164e-13
1.81216895822023156e-34,5.04731102945213164e-13
1.82354534760846162e-34,5.04731102945213164e-13
1.83499315541212086e-34,5.04731102945213164e-13
1.84651282997999754e-34,5.04731102945213164e-13
1.85810482247546913e-34,5.04731102945213164e-13
1.86976958689421416e-34,5.04731102945213164e-13
1.88150758008204024e-34,5.04731102945213164e-13
1.89331926175268411e-34,5.04731102945213164e-13
1.9052050945058623e-34,5.04731102945213164e-13
1.91716554384543466e-34,5.04731102945213164e-13
1.92920107819752711e-34,5.04731102945213164e-13
1.94131216892900255e-34,5.04731102945213164e-13
1.95349929036581189e-34,5.04731102945213164e-13
1.96576291981161689e-34,5.04731102945213164e-13
1.97810353756653358e-34,5.04731102945213164e-13
1.9905216269458451e-34,5.04731102945213164e-13
2.00301767429897905e-34,5.04731102945213164e-13
2.01559216902860536e-34,5.04731102945213164e-13
2.02824560360970368e-34,5.04731102945213164e-13
2.04097847360890136e-34,5.04731102945213164e-13
2.05379127770393134e-34,5.04731102945213164e-13
2.06668451770304664e-34,5.04731102945213164e-13
2.07965869856480677e-34,5.04731102945213164e-13
2.09271432841773696e-34,5.04731102945213164e-13
2.10585191858027851e-34,5.04731102945213164e-13
2.11907198358086745e-34,5.04731102945213164e-13
2.1323750411779811e-34,5.04731102945213164e-13
2.14576161238046862e-34,5.04731102945213164e-13
2.15923222146800687e-34,5.04731102945213164e-13
2.17278739601151456e-34,5.04731102945213164e-13
2.18642766689395024e-34,5.04731102945213164e-13
2.20015356833098533e-34,5.04731102945213164e-13
2.2139656378919753e-34,5.04731102945213164e-13
2.22786441652107027e-34,5.04731102945213164e-13
2.24185044855829133e-34,5.04731102945213164e-13
2.25592428176090427e-34,5.04731102945213164e-13
2.2700864673249266e-34,5.04731102945213164e-13
2.28433755990660504e-34,5.04731102945213164e-13
2.29867811764419347e-34,5.04731102945213164e-13
2.31310870217986895e-34,5.04731102945213164e-13
2.3276298786815964e-34,5.04731102945213164e-13
2.34224221586541388e-34,5.04731102945213164e-13
2.35694628601757315e-34,5.04731102945213164e-13
2.37174266501701143e-34,5.04731102945213164e-13
2.3866319323579617e-34,5.04731102945213164e-13
2.40161467117253372e-34,5.04731102945213164e-13
2.41669146825360856e-34,5.04731102945213164e-13
2.43186291407788111e-34,5.04731102945213164e-13
2.44712960282886665e-34,5.04731102945213164e-13
2.46249213242023078e-34,5.04731102945213164e-13
2.47795110451926715e-34,5.04731102945213164e-13
2.49350712457031964e-34,5.04731102945213164e-13
2.50916080181865867e-34,5.04731102945213164e-13
2.52491274933419728e-34,5.04731102945213164e-13
2.54076358403556302e-34,5.04731102945213164e-13
2.5567139267143228e-34,5.04731102945213164e-13
2.57276440205917094e-34,5.04731102945213164e-13
2.58891563868045668e-34,5.04731102945213164e-13
2.60516826913486715e-34,5.04731102945213164e-13
2.62152292995005364e-34,5.04731102945213164e-13
2.63798026164972921e-34,5.04731102945213164e-13
2.65454090877860761e-34,5.04731102945213164e-13
2.671205519927709e-34,5.04731102945213164e-13
2.68797474775982729e-34,5.04731102945213164e-13
2.70484924903496122e-34,5.04731102945213164e-13
2.72182968463610135e-34,5.04731102945213164e-13
2.73891671959517859e-34,5.04731102945213164e-13
2.75611102311897976e-34,5.04731102945213164e-13
2.77341326861541938e-34,5.04731102945213164e-13
2.79082413371998469e-34,5.04731102945213164e-13
2.80834430032211487e-34,5.04731102945213164e-13
