mass_GeV,model,lifetime_index,ctau_m,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,template_total_N_eff,number_of_common_energy_bins,passes_N_events_threshold
0.75,ALP-photon-combined,0,7.499999999999999,136.04630726653738,406.3340122899351,0.33481397852922795,690591.282844891,20,True
0.75,ALP-photon-combined,1,8.078346172301348,119.56372630087006,361.7230494719862,0.33053941814158494,687287.2673152916,20,True
0.75,ALP-photon-combined,2,8.70129025060478,104.93412875472399,321.43857941988045,0.3264515695163441,683493.5575876061,20,True
0.75,ALP-photon-combined,3,9.372271305340822,91.9632591555262,285.13858823967024,0.32252126842343576,680122.7219864097,20,True
0.75,ALP-photon-combined,4,10.094993603369304,80.63351897116182,252.52216075681622,0.3193126445991941,677430.0548831132,20,True
0.75,ALP-photon-combined,5,10.873447058024672,70.48282804415207,223.2869895299452,0.3156602549594568,674155.5622325977,20,True
0.75,ALP-photon-combined,6,11.711929256121993,61.70220141670211,197.14453880574874,0.31297951132949603,671466.504146087,20,True
0.75,ALP-photon-combined,7,12.615069183527634,53.83978375928827,173.81468673510972,0.30975393835009507,668272.5751401087,20,True
0.75,ALP-photon-combined,8,13.587852780275625,46.99700040678453,153.03726574014695,0.3070951390792889,665327.486907991,20,True
0.75,ALP-photon-combined,9,14.635650466311175,40.97018895570118,134.56987633544955,0.30445289890564065,662877.7140241432,20,True
0.75,ALP-photon-combined,10,15.764246789822048,35.761541682492734,118.1827478770102,0.30259527997867225,660918.1335512365,20,True
0.75,ALP-photon-combined,11,16.979872361836364,31.13145506876366,103.67230999033637,0.30028707831112783,658021.5357198144,20,True
0.75,ALP-photon-combined,12,18.2892382533875,27.05131095272321,90.84589337570583,0.2977714230939284,655752.7450908178,20,True
0.75,ALP-photon-combined,13,19.699573045141378,23.52895134652131,79.52328452725266,0.2958749941780628,653407.5854602075,20,True
0.75,ALP-photon-combined,14,21.218662734025152,20.427364297831453,69.54187729819893,0.2937419162591474,651325.4793068998,20,True
0.75,ALP-photon-combined,15,22.85489371716872,17.769145329873666,60.75929532872692,0.29245147156063933,649431.8952244645,20,True
0.75,ALP-photon-combined,16,24.617299090459206,15.414096717272017,53.03751493548636,0.2906262998185601,647280.0346440709,20,True
0.75,ALP-photon-combined,17,26.515608517307804,13.37862716605114,46.25886580547187,0.2892121744253533,645166.7060449489,20,True
0.75,ALP-photon-combined,18,28.560301942937947,11.595648430799628,40.31569377471453,0.2876212051712791,644213.9901456673,20,True
0.75,ALP-photon-combined,19,30.762667450733804,10.049014257094905,35.10986864792862,0.28621623048104927,642298.2271831469,20,True
0.75,ALP-SU2L,0,7.499999999999999,6580.784372458838,11461.968866412517,0.5741408347166937,343450.6646497292,20,True
0.75,ALP-SU2L,1,8.913144807036554,4723.4817176708275,8245.596923413712,0.5728489715836469,342382.51103803376,20,True
0.75,ALP-SU2L,2,10.592553380160359,3383.352725465628,5919.0801319006805,0.5716011018724284,341565.73530015955,20,True
0.75,ALP-SU2L,3,12.588394953817843,2420.5265806849934,4241.1219683119225,0.5707278872831913,340705.0896024162,20,True
0.75,ALP-SU2L,4,14.960291614872897,1726.2502677080406,3034.2420436198713,0.5689230598257127,339894.11809918,20,True
0.75,ALP-SU2L,5,17.779099402514248,1229.6148153326008,2167.882402659127,0.5671962712665382,339177.7974106983,20,True
0.75,ALP-SU2L,6,21.129025001774206,875.025369287983,1547.2201859044094,0.5655467639704411,338406.391653931,20,True
0.75,ALP-SU2L,7,25.110141262974583,623.1850917167995,1103.1254780989182,0.5649267504824307,338252.53388621163,20,True
0.75,ALP-SU2L,8,29.84137669360484,442.802838238792,785.8275782179633,0.563485999362538,337781.24329144316,20,True
0.75,ALP-SU2L,9,35.46406822819008,314.9310866046746,559.3593070040519,0.5630210897740427,337609.5837786067,20,True
0.75,ALP-SU2L,10,42.14618340859766,223.43095495910822,397.95366968785083,0.5614496660738529,336922.8660318072,20,True
0.75,ALP-SU2L,11,50.08733810463367,158.64941753153346,282.9277148847619,0.5607418756983645,336900.7746242171,20,True
0.75,ALP-SU2L,12,59.52475967007999,112.66865992709971,201.04998986757613,0.5604012216131431,336815.1071229106,20,True
0.75,ALP-SU2L,13,70.74037367246298,79.9739384068031,142.7952554940968,0.5600601933872322,336844.3755943826,20,True
0.75,ALP-SU2L,14,84.0692258995385,56.61735369224291,101.37861847983828,0.5584743069220529,336614.9768877944,20,True
0.75,ALP-SU2L,15,99.90949123440735,40.196741827535355,71.95219212125852,0.5586590295927772,336676.4004042677,20,True
0.75,ALP-SU2L,16,118.73436839594959,28.477037184163446,51.053163498845336,0.5577918239054375,336624.69184254244,20,True
0.75,ALP-SU2L,17,141.10621587801643,20.183044686007495,36.217226650639766,0.557277476839905,336342.55787438486,20,True
0.75,ALP-SU2L,18,167.69335137249612,14.280045206321738,25.682321578723066,0.556026259641273,335974.69484131044,20,True
0.75,ALP-SU2L,19,199.29001652804294,10.132118055762257,18.208026517609856,0.5564643727843323,336367.24275861273,20,True
