mass_GeV,photon_ctau_m,su2_ctau_m,bin_index,energy_low_GeV,energy_high_GeV,photon_probability,su2_probability,absolute_probability_difference,D_TV_bin_contribution
0.4,4.0,397.89337196303796,0,0.4,25.238293779207726,0.7254373532339999,0.0028502775488053194,0.7225870756851946,0.3612935378425973
0.4,4.0,397.89337196303796,1,25.238293779207726,28.977438402999603,0.05880200755384921,0.006790676518730317,0.052011331035118895,0.026005665517559447
0.4,4.0,397.89337196303796,2,28.977438402999603,33.27055084410684,0.048233986169193964,0.01720906132473221,0.031024924844461753,0.015512462422230876
0.4,4.0,397.89337196303796,3,33.27055084410684,38.19970344085745,0.04045449279353687,0.03296183662610925,0.007492656167427621,0.0037463280837138103
0.4,4.0,397.89337196303796,4,38.19970344085745,43.859127845727414,0.03275342095754221,0.05460256157300597,0.02184914061546376,0.01092457030773188
0.4,4.0,397.89337196303796,5,43.859127845727414,50.35701647176671,0.0261055022540693,0.0778889330826926,0.0517834308286233,0.02589171541431165
0.4,4.0,397.89337196303796,6,50.35701647176671,57.81759082983714,0.01997954486621882,0.10240841704529298,0.08242887217907416,0.04121443608953708
0.4,4.0,397.89337196303796,7,57.81759082983714,66.38347629750241,0.015246605812212299,0.1217566488453915,0.10651004303317921,0.053255021516589604
0.4,4.0,397.89337196303796,8,66.38347629750241,76.21842871852988,0.01059005406258962,0.1311687665000624,0.12057871243747278,0.06028935621873639
0.4,4.0,397.89337196303796,9,76.21842871852988,87.5104649579821,0.007671608009288569,0.13019067106992954,0.12251906306064098,0.06125953153032049
0.4,4.0,397.89337196303796,10,87.5104649579821,100.47545726038321,0.005318109486560244,0.11222185446578802,0.10690374497922778,0.05345187248961389
0.4,4.0,397.89337196303796,11,100.47545726038321,115.36126012506426,0.0035525249744061626,0.08781608410652797,0.0842635591321218,0.0421317795660609
0.4,4.0,397.89337196303796,12,115.36126012506426,132.45244859303648,0.002405168276886477,0.06068454684913616,0.058279378572249685,0.029139689286124842
0.4,4.0,397.89337196303796,13,132.45244859303648,152.07575852822455,0.0013772504720864587,0.03551160051888572,0.03413435004679927,0.017067175023399633
0.4,4.0,397.89337196303796,14,152.07575852822455,174.6063328960663,0.0008748587058676932,0.017167115854912002,0.01629225714904431,0.008146128574522155
0.4,4.0,397.89337196303796,15,174.6063328960663,200.47489345090884,0.0005670140440128133,0.006435327621377598,0.0058683135773647845,0.0029341567886823922
0.4,4.0,397.89337196303796,16,200.47489345090884,230.17597493486272,0.0003258372804330092,0.001884339450800468,0.0015585021703674587,0.0007792510851837293
0.4,4.0,397.89337196303796,17,230.17597493486272,400.0,0.00030466104724646994,0.00045128099781999013,0.0001466199505735202,7.33099752867601e-05
