mass_GeV,number_of_events,photon_truth_worst_accuracy,su2_truth_worst_accuracy,worst_case_correct_fraction,limiting_seed,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.75,1,0.79569,0.86512,0.79569,93247,photon,0,7.499999999999999
0.75,2,0.89186,0.94492,0.89186,73241,photon,0,7.499999999999999
0.75,3,0.94509,0.97138,0.94509,73241,photon,0,7.499999999999999
0.75,4,0.97056,0.98302,0.97056,73241,photon,0,7.499999999999999
0.75,5,0.98418,0.98999,0.98418,93247,photon,0,7.499999999999999
0.75,6,0.991,0.99404,0.991,113253,photon,0,7.499999999999999
0.75,7,0.99468,0.99636,0.99468,113253,photon,0,7.499999999999999
0.75,8,0.99693,0.99784,0.99693,113253,photon,0,7.499999999999999
0.75,9,0.99818,0.99877,0.99818,103250,photon,1,8.078346172301348
0.75,10,0.99895,0.99921,0.99895,73241,photon,0,7.499999999999999
0.75,11,0.99937,0.99951,0.99937,73241,photon,0,7.499999999999999
0.75,12,0.99966,0.99967,0.99966,103250,photon,0,7.499999999999999
