mass_GeV,number_of_events,photon_truth_worst_accuracy,su2_truth_worst_accuracy,worst_case_correct_fraction,limiting_seed,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
1.0,1,0.7346,0.82151,0.7346,73241,photon,1,10.181372917310114
1.0,2,0.82915,0.9051,0.82915,113253,photon,0,10.000000000000002
1.0,3,0.88944,0.94069,0.88944,103250,photon,0,10.000000000000002
1.0,4,0.93061,0.95851,0.93061,103250,photon,0,10.000000000000002
1.0,5,0.95342,0.97151,0.95342,103250,photon,0,10.000000000000002
1.0,6,0.96806,0.98028,0.96806,103250,photon,0,10.000000000000002
1.0,7,0.97781,0.98631,0.97781,103250,photon,0,10.000000000000002
1.0,8,0.98492,0.99007,0.98492,103250,photon,0,10.000000000000002
1.0,9,0.98952,0.99326,0.98952,93247,photon,1,10.181372917310114
1.0,10,0.9926,0.99502,0.9926,73241,photon,0,10.000000000000002
1.0,11,0.99506,0.99655,0.99506,73241,photon,0,10.000000000000002
1.0,12,0.9964,0.9975,0.9964,83244,photon,1,10.181372917310114
