mass_GeV,seed,number_of_events,photon_truth_worst_accuracy,photon_limiting_lifetime_index,photon_limiting_ctau_m,su2_truth_worst_accuracy,su2_limiting_lifetime_index,su2_limiting_ctau_m,worst_case_correct_fraction,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
0.75,73241,1,0.79711,0,7.499999999999999,0.86632,17,141.10621587801643,0.79711,photon,0,7.499999999999999
0.75,73241,2,0.89186,0,7.499999999999999,0.94498,19,199.29001652804294,0.89186,photon,0,7.499999999999999
0.75,73241,3,0.94509,0,7.499999999999999,0.97162,19,199.29001652804294,0.94509,photon,0,7.499999999999999
0.75,73241,4,0.97056,0,7.499999999999999,0.98319,19,199.29001652804294,0.97056,photon,0,7.499999999999999
0.75,73241,5,0.98439,0,7.499999999999999,0.99031,18,167.69335137249612,0.98439,photon,0,7.499999999999999
0.75,73241,6,0.99116,0,7.499999999999999,0.99456,19,199.29001652804294,0.99116,photon,0,7.499999999999999
0.75,73241,7,0.99474,0,7.499999999999999,0.99668,19,199.29001652804294,0.99474,photon,0,7.499999999999999
0.75,73241,8,0.99696,0,7.499999999999999,0.9981,14,84.0692258995385,0.99696,photon,0,7.499999999999999
0.75,73241,9,0.99829,0,7.499999999999999,0.99889,18,167.69335137249612,0.99829,photon,0,7.499999999999999
0.75,73241,10,0.99895,0,7.499999999999999,0.99931,18,167.69335137249612,0.99895,photon,0,7.499999999999999
0.75,73241,11,0.99937,0,7.499999999999999,0.99956,10,42.14618340859766,0.99937,photon,0,7.499999999999999
0.75,73241,12,0.99968,0,7.499999999999999,0.99967,17,141.10621587801643,0.99967,su2,17,141.10621587801643
0.75,83244,1,0.79687,0,7.499999999999999,0.86667,16,118.73436839594959,0.79687,photon,0,7.499999999999999
0.75,83244,2,0.89272,0,7.499999999999999,0.94504,13,70.74037367246298,0.89272,photon,0,7.499999999999999
0.75,83244,3,0.94602,0,7.499999999999999,0.97182,15,99.90949123440735,0.94602,photon,0,7.499999999999999
0.75,83244,4,0.97185,1,8.078346172301348,0.98302,13,70.74037367246298,0.97185,photon,1,8.078346172301348
0.75,83244,5,0.98508,1,8.078346172301348,0.99015,16,118.73436839594959,0.98508,photon,1,8.078346172301348
0.75,83244,6,0.99124,0,7.499999999999999,0.99447,11,50.08733810463367,0.99124,photon,0,7.499999999999999
0.75,83244,7,0.99506,0,7.499999999999999,0.99664,16,118.73436839594959,0.99506,photon,0,7.499999999999999
0.75,83244,8,0.99722,0,7.499999999999999,0.99797,17,141.10621587801643,0.99722,photon,0,7.499999999999999
0.75,83244,9,0.99838,0,7.499999999999999,0.99882,18,167.69335137249612,0.99838,photon,0,7.499999999999999
0.75,83244,10,0.99915,0,7.499999999999999,0.99931,13,70.74037367246298,0.99915,photon,0,7.499999999999999
0.75,83244,11,0.99947,1,8.078346172301348,0.99959,17,141.10621587801643,0.99947,photon,1,8.078346172301348
0.75,83244,12,0.9997,0,7.499999999999999,0.9997,17,141.10621587801643,0.9997,photon,0,7.499999999999999
0.75,93247,1,0.79569,0,7.499999999999999,0.86512,19,199.29001652804294,0.79569,photon,0,7.499999999999999
0.75,93247,2,0.89348,0,7.499999999999999,0.94492,17,141.10621587801643,0.89348,photon,0,7.499999999999999
0.75,93247,3,0.9459,0,7.499999999999999,0.97138,17,141.10621587801643,0.9459,photon,0,7.499999999999999
0.75,93247,4,0.97205,0,7.499999999999999,0.98327,17,141.10621587801643,0.97205,photon,0,7.499999999999999
0.75,93247,5,0.98418,0,7.499999999999999,0.99044,19,199.29001652804294,0.98418,photon,0,7.499999999999999
0.75,93247,6,0.99126,0,7.499999999999999,0.99426,18,167.69335137249612,0.99126,photon,0,7.499999999999999
0.75,93247,7,0.99531,1,8.078346172301348,0.99663,18,167.69335137249612,0.99531,photon,1,8.078346172301348
0.75,93247,8,0.99726,0,7.499999999999999,0.99784,18,167.69335137249612,0.99726,photon,0,7.499999999999999
0.75,93247,9,0.99849,1,8.078346172301348,0.99879,18,167.69335137249612,0.99849,photon,1,8.078346172301348
0.75,93247,10,0.99916,3,9.372271305340822,0.99921,18,167.69335137249612,0.99916,photon,3,9.372271305340822
0.75,93247,11,0.99944,1,8.078346172301348,0.99959,18,167.69335137249612,0.99944,photon,1,8.078346172301348
0.75,93247,12,0.99975,3,9.372271305340822,0.99975,8,29.84137669360484,0.99975,photon,3,9.372271305340822
0.75,103250,1,0.79645,0,7.499999999999999,0.86618,16,118.73436839594959,0.79645,photon,0,7.499999999999999
0.75,103250,2,0.89382,0,7.499999999999999,0.94509,19,199.29001652804294,0.89382,photon,0,7.499999999999999
0.75,103250,3,0.94531,0,7.499999999999999,0.97217,11,50.08733810463367,0.94531,photon,0,7.499999999999999
0.75,103250,4,0.97149,0,7.499999999999999,0.98312,18,167.69335137249612,0.97149,photon,0,7.499999999999999
0.75,103250,5,0.98444,0,7.499999999999999,0.98999,17,141.10621587801643,0.98444,photon,0,7.499999999999999
0.75,103250,6,0.99107,0,7.499999999999999,0.99404,10,42.14618340859766,0.99107,photon,0,7.499999999999999
0.75,103250,7,0.99485,0,7.499999999999999,0.99636,10,42.14618340859766,0.99485,photon,0,7.499999999999999
0.75,103250,8,0.99701,0,7.499999999999999,0.99795,17,141.10621587801643,0.99701,photon,0,7.499999999999999
0.75,103250,9,0.99818,1,8.078346172301348,0.99877,17,141.10621587801643,0.99818,photon,1,8.078346172301348
0.75,103250,10,0.999,0,7.499999999999999,0.99921,17,141.10621587801643,0.999,photon,0,7.499999999999999
0.75,103250,11,0.99938,0,7.499999999999999,0.99956,17,141.10621587801643,0.99938,photon,0,7.499999999999999
0.75,103250,12,0.99966,0,7.499999999999999,0.99972,17,141.10621587801643,0.99966,photon,0,7.499999999999999
0.75,113253,1,0.79817,1,8.078346172301348,0.86561,17,141.10621587801643,0.79817,photon,1,8.078346172301348
0.75,113253,2,0.89442,0,7.499999999999999,0.94511,10,42.14618340859766,0.89442,photon,0,7.499999999999999
0.75,113253,3,0.94592,0,7.499999999999999,0.97255,12,59.52475967007999,0.94592,photon,0,7.499999999999999
0.75,113253,4,0.971,0,7.499999999999999,0.98337,18,167.69335137249612,0.971,photon,0,7.499999999999999
0.75,113253,5,0.98473,0,7.499999999999999,0.99031,17,141.10621587801643,0.98473,photon,0,7.499999999999999
0.75,113253,6,0.991,0,7.499999999999999,0.99408,17,141.10621587801643,0.991,photon,0,7.499999999999999
0.75,113253,7,0.99468,0,7.499999999999999,0.99644,17,141.10621587801643,0.99468,photon,0,7.499999999999999
0.75,113253,8,0.99693,0,7.499999999999999,0.99796,13,70.74037367246298,0.99693,photon,0,7.499999999999999
0.75,113253,9,0.99818,0,7.499999999999999,0.99877,18,167.69335137249612,0.99818,photon,0,7.499999999999999
0.75,113253,10,0.99896,0,7.499999999999999,0.99925,16,118.73436839594959,0.99896,photon,0,7.499999999999999
0.75,113253,11,0.99943,0,7.499999999999999,0.99951,16,118.73436839594959,0.99943,photon,0,7.499999999999999
0.75,113253,12,0.99969,1,8.078346172301348,0.9997,17,141.10621587801643,0.99969,photon,1,8.078346172301348
