mass_GeV,seed,number_of_events,photon_truth_worst_accuracy,photon_limiting_lifetime_index,photon_limiting_ctau_m,su2_truth_worst_accuracy,su2_limiting_lifetime_index,su2_limiting_ctau_m,worst_case_correct_fraction,limiting_truth_model,limiting_truth_lifetime_index,limiting_truth_ctau_m
1.0,73241,1,0.7346,1,10.181372917310114,0.82294,17,108.4552190940077,0.7346,photon,1,10.181372917310114
1.0,73241,2,0.83051,0,10.000000000000002,0.90529,19,143.5636949233974,0.83051,photon,0,10.000000000000002
1.0,73241,3,0.8919,0,10.000000000000002,0.94069,17,108.4552190940077,0.8919,photon,0,10.000000000000002
1.0,73241,4,0.9311,0,10.000000000000002,0.95875,17,108.4552190940077,0.9311,photon,0,10.000000000000002
1.0,73241,5,0.95431,0,10.000000000000002,0.97174,11,46.75929365881369,0.95431,photon,0,10.000000000000002
1.0,73241,6,0.96834,0,10.000000000000002,0.98047,14,71.21298644522419,0.96834,photon,0,10.000000000000002
1.0,73241,7,0.97884,3,10.554047257150385,0.98631,15,81.93251472808262,0.97884,photon,3,10.554047257150385
1.0,73241,8,0.98551,1,10.181372917310114,0.99007,15,81.93251472808262,0.98551,photon,1,10.181372917310114
1.0,73241,9,0.98998,1,10.181372917310114,0.99352,19,143.5636949233974,0.98998,photon,1,10.181372917310114
1.0,73241,10,0.9926,0,10.000000000000002,0.9954,17,108.4552190940077,0.9926,photon,0,10.000000000000002
1.0,73241,11,0.99506,0,10.000000000000002,0.99676,15,81.93251472808262,0.99506,photon,0,10.000000000000002
1.0,73241,12,0.99642,1,10.181372917310114,0.99758,15,81.93251472808262,0.99642,photon,1,10.181372917310114
1.0,83244,1,0.73777,0,10.000000000000002,0.82151,19,143.5636949233974,0.73777,photon,0,10.000000000000002
1.0,83244,2,0.83064,0,10.000000000000002,0.90613,19,143.5636949233974,0.83064,photon,0,10.000000000000002
1.0,83244,3,0.89273,0,10.000000000000002,0.94072,14,71.21298644522419,0.89273,photon,0,10.000000000000002
1.0,83244,4,0.93148,0,10.000000000000002,0.95955,17,108.4552190940077,0.93148,photon,0,10.000000000000002
1.0,83244,5,0.95466,2,10.36603544813358,0.97208,17,108.4552190940077,0.95466,photon,2,10.36603544813358
1.0,83244,6,0.96905,0,10.000000000000002,0.98028,14,71.21298644522419,0.96905,photon,0,10.000000000000002
1.0,83244,7,0.97874,0,10.000000000000002,0.98662,17,108.4552190940077,0.97874,photon,0,10.000000000000002
1.0,83244,8,0.98569,0,10.000000000000002,0.99025,14,71.21298644522419,0.98569,photon,0,10.000000000000002
1.0,83244,9,0.98984,0,10.000000000000002,0.99334,14,71.21298644522419,0.98984,photon,0,10.000000000000002
1.0,83244,10,0.99286,3,10.554047257150385,0.99502,14,71.21298644522419,0.99286,photon,3,10.554047257150385
1.0,83244,11,0.99509,1,10.181372917310114,0.99655,17,108.4552190940077,0.99509,photon,1,10.181372917310114
1.0,83244,12,0.9964,1,10.181372917310114,0.9975,14,71.21298644522419,0.9964,photon,1,10.181372917310114
1.0,93247,1,0.73518,0,10.000000000000002,0.82361,19,143.5636949233974,0.73518,photon,0,10.000000000000002
1.0,93247,2,0.83076,0,10.000000000000002,0.90575,19,143.5636949233974,0.83076,photon,0,10.000000000000002
1.0,93247,3,0.89206,0,10.000000000000002,0.94088,19,143.5636949233974,0.89206,photon,0,10.000000000000002
1.0,93247,4,0.93099,0,10.000000000000002,0.95925,14,71.21298644522419,0.93099,photon,0,10.000000000000002
1.0,93247,5,0.95503,1,10.181372917310114,0.97199,14,71.21298644522419,0.95503,photon,1,10.181372917310114
1.0,93247,6,0.96977,0,10.000000000000002,0.98078,14,71.21298644522419,0.96977,photon,0,10.000000000000002
1.0,93247,7,0.97893,0,10.000000000000002,0.98641,14,71.21298644522419,0.97893,photon,0,10.000000000000002
1.0,93247,8,0.98514,1,10.181372917310114,0.99036,14,71.21298644522419,0.98514,photon,1,10.181372917310114
1.0,93247,9,0.98952,1,10.181372917310114,0.99326,14,71.21298644522419,0.98952,photon,1,10.181372917310114
1.0,93247,10,0.99295,1,10.181372917310114,0.99536,14,71.21298644522419,0.99295,photon,1,10.181372917310114
1.0,93247,11,0.99516,1,10.181372917310114,0.99679,19,143.5636949233974,0.99516,photon,1,10.181372917310114
1.0,93247,12,0.99658,1,10.181372917310114,0.99768,13,61.895932955045545,0.99658,photon,1,10.181372917310114
1.0,103250,1,0.73472,0,10.000000000000002,0.82347,19,143.5636949233974,0.73472,photon,0,10.000000000000002
1.0,103250,2,0.83116,0,10.000000000000002,0.90573,19,143.5636949233974,0.83116,photon,0,10.000000000000002
1.0,103250,3,0.88944,0,10.000000000000002,0.94116,14,71.21298644522419,0.88944,photon,0,10.000000000000002
1.0,103250,4,0.93061,0,10.000000000000002,0.95906,12,53.79786339001967,0.93061,photon,0,10.000000000000002
1.0,103250,5,0.95342,0,10.000000000000002,0.97185,14,71.21298644522419,0.95342,photon,0,10.000000000000002
1.0,103250,6,0.96806,0,10.000000000000002,0.98053,14,71.21298644522419,0.96806,photon,0,10.000000000000002
1.0,103250,7,0.97781,0,10.000000000000002,0.98652,14,71.21298644522419,0.97781,photon,0,10.000000000000002
1.0,103250,8,0.98492,0,10.000000000000002,0.99058,17,108.4552190940077,0.98492,photon,0,10.000000000000002
1.0,103250,9,0.98965,0,10.000000000000002,0.9936,17,108.4552190940077,0.98965,photon,0,10.000000000000002
1.0,103250,10,0.99318,0,10.000000000000002,0.99545,17,108.4552190940077,0.99318,photon,0,10.000000000000002
1.0,103250,11,0.9951,3,10.554047257150385,0.99677,17,108.4552190940077,0.9951,photon,3,10.554047257150385
1.0,103250,12,0.99653,0,10.000000000000002,0.9976,17,108.4552190940077,0.99653,photon,0,10.000000000000002
1.0,113253,1,0.73528,0,10.000000000000002,0.82302,17,108.4552190940077,0.73528,photon,0,10.000000000000002
1.0,113253,2,0.82915,0,10.000000000000002,0.9051,14,71.21298644522419,0.82915,photon,0,10.000000000000002
1.0,113253,3,0.89182,0,10.000000000000002,0.94098,14,71.21298644522419,0.89182,photon,0,10.000000000000002
1.0,113253,4,0.9309,0,10.000000000000002,0.95851,14,71.21298644522419,0.9309,photon,0,10.000000000000002
1.0,113253,5,0.95384,0,10.000000000000002,0.97151,14,71.21298644522419,0.95384,photon,0,10.000000000000002
1.0,113253,6,0.96852,0,10.000000000000002,0.98035,14,71.21298644522419,0.96852,photon,0,10.000000000000002
1.0,113253,7,0.97803,0,10.000000000000002,0.98641,14,71.21298644522419,0.97803,photon,0,10.000000000000002
1.0,113253,8,0.98549,0,10.000000000000002,0.99085,14,71.21298644522419,0.98549,photon,0,10.000000000000002
1.0,113253,9,0.98993,1,10.181372917310114,0.99343,12,53.79786339001967,0.98993,photon,1,10.181372917310114
1.0,113253,10,0.99307,0,10.000000000000002,0.99551,15,81.93251472808262,0.99307,photon,0,10.000000000000002
1.0,113253,11,0.99526,1,10.181372917310114,0.99683,17,108.4552190940077,0.99526,photon,1,10.181372917310114
1.0,113253,12,0.99655,6,11.13879135061635,0.99771,14,71.21298644522419,0.99655,photon,6,11.13879135061635
