category,artifact,quantity,comparison_mode,reference_count,current_count,max_abs_difference,max_relative_difference,absolute_tolerance,relative_tolerance,status,details
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_photon_combined:ma=0.3:raw_log_log_lower_m,frozen_scan_to_saved_csv,1,1,0.0,0.0,5e-15,1e-14,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_photon_combined:ma=0.3:raw_log_log_upper_m,frozen_scan_to_saved_csv,1,1,0.0,0.0,5e-15,1e-14,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_photon_combined:ma=0.3:lower_is_scan_boundary,frozen_scan_to_saved_csv,1,1,,,0.0,0.0,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_photon_combined:ma=0.3:upper_is_scan_boundary,frozen_scan_to_saved_csv,1,1,,,0.0,0.0,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_su2l:ma=0.3:raw_log_log_lower_m,frozen_scan_to_saved_csv,1,1,0.0,0.0,5e-15,1e-14,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_su2l:ma=0.3:raw_log_log_upper_m,frozen_scan_to_saved_csv,1,1,0.0,0.0,5e-15,1e-14,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_su2l:ma=0.3:lower_is_scan_boundary,frozen_scan_to_saved_csv,1,1,,,0.0,0.0,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_su2l:ma=0.3:upper_is_scan_boundary,frozen_scan_to_saved_csv,1,1,,,0.0,0.0,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_photon_combined:ma=0.4:raw_log_log_lower_m,frozen_scan_to_saved_csv,1,1,0.0,0.0,5e-15,1e-14,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_photon_combined:ma=0.4:raw_log_log_upper_m,frozen_scan_to_saved_csv,1,1,0.0,0.0,5e-15,1e-14,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_photon_combined:ma=0.4:lower_is_scan_boundary,frozen_scan_to_saved_csv,1,1,,,0.0,0.0,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_photon_combined:ma=0.4:upper_is_scan_boundary,frozen_scan_to_saved_csv,1,1,,,0.0,0.0,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_su2l:ma=0.4:raw_log_log_lower_m,frozen_scan_to_saved_csv,1,1,0.0,0.0,5e-15,1e-14,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_su2l:ma=0.4:raw_log_log_upper_m,frozen_scan_to_saved_csv,1,1,0.0,0.0,5e-15,1e-14,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_su2l:ma=0.4:lower_is_scan_boundary,frozen_scan_to_saved_csv,1,1,,,0.0,0.0,exact_agreement,
lifetime_raw_log_log_endpoints,observable_lifetime_domains.csv,alp_su2l:ma=0.4:upper_is_scan_boundary,frozen_scan_to_saved_csv,1,1,,,0.0,0.0,exact_agreement,
