model,model_id,mass_GeV,bisection_diagnostic_lower_m,bisection_diagnostic_upper_m
ALP-SU2L,alp_su2l,0.3,3.0,547.1228113373824
ALP-photon-combined,alp_photon_combined,0.3,3.0,275.42860634586657
ALP-SU2L,alp_su2l,0.4,4.0,401.5767146360846
ALP-photon-combined,alp_photon_combined,0.4,4.0,143.58828780184922
ALP-SU2L,alp_su2l,0.5,5.0,315.34253201071414
ALP-photon-combined,alp_photon_combined,0.5,5.0,85.07845199736937
ALP-SU2L,alp_su2l,0.6,6.0,258.10364973684585
ALP-photon-combined,alp_photon_combined,0.6,6.0,54.62030183051474
ALP-SU2L,alp_su2l,0.75,7.5,200.60204188519404
ALP-photon-combined,alp_photon_combined,0.75,7.5,30.849761048645433
ALP-SU2L,alp_su2l,0.9,9.0,162.90298097056296
ALP-photon-combined,alp_photon_combined,0.9,9.0,18.96376235320581
ALP-SU2L,alp_su2l,1.0,10.0,144.33404250767614
ALP-photon-combined,alp_photon_combined,1.0,10.0,14.080658221099586
ALP-SU2L,alp_su2l,1.05,10.500000000000002,136.4008618294494
ALP-photon-combined,alp_photon_combined,1.05,10.500000000000002,12.10794402069928
