profile,selection_name,model,model_id,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,cascade_event_fraction,valid_mother_samples,samples_passing_ECAL,template_model_seed,spectrum_cache_key,scan_point_kind
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,3.0,3.0,9.078213333333322e-08,305112.9766442094,431371.12113852665,0.7073096962052501,True,,,305112.9766442094,0.0,612284,462009,54421,984333efde10a2bf3c1bfe734b82a8ad4cfad6276d49d4c5d0a2027910d4a048,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,5.1,3.0,5.340125490196072e-08,109286.92162647181,155117.5737579885,0.7045424897953807,True,,,109286.92162647181,0.0,612678,461804,54421,3829eec2df25fc2b6b20c4f9efb71c414425be05e50de4b79c965c3778a6b730,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,8.67,3.0,3.14125028835063e-08,38634.45210321116,54915.11285518767,0.7035304143886772,True,,,38634.45210321116,0.0,612917,462015,54421,3668e6e382d89401c15db273e3e0053b2f64d63c6098286882b4588cf95b9060,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,14.738999999999999,3.0,1.847794287265077e-08,13532.659422951148,19261.9768623713,0.702558180795425,True,,,13532.659422951148,0.0,613054,461979,54421,32b16a2429ea2d571ce43d8184cc2797a39ef2aaeae4784624a173b11ff04d04,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,25.056299999999997,3.0,1.0869378160382806e-08,4719.356776897887,6719.943878683143,0.702291099761789,True,,,4719.356776897887,0.0,613151,462342,54421,56aeb37c81c69b92e54a3f9d6ad13b2ebeaf3f0f4b58a66035150171d108b439,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,42.59570999999999,3.0,6.39375185904871e-09,1640.2841416303988,2336.8286596371017,0.7019274326621479,True,,,1640.2841416303988,0.0,613207,462100,54421,87f94960bd6d688cd9be673c59b4a5058516000178ef080b940abf1affb8247f,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,72.41270699999998,3.0,3.761030505322771e-09,568.6549210284188,811.0394615536716,0.7011433450341273,True,,,568.6549210284188,0.0,613241,462104,54421,87b3ee235514ee5c9fc03b8e0a383daa0f311bc4f2adf512f589614b3352f34a,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,123.10160189999996,3.0,2.212370885483983e-09,197.17714191273186,281.1452356303632,0.7013355267096587,True,,,197.17714191273186,0.0,613254,462214,54421,c38a893da0bd6ebe5109a070e506dd0f67884a5c2365db590e03036f3ef1e5a1,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,209.27272322999994,3.0,1.30139463851999e-09,68.25665834757575,97.38782403817113,0.7008746629437226,True,,,68.25665834757575,0.0,613261,462122,54421,3be121cd44470f3b90f2435e8bbe09d16223f2320c59be687220967d57d2989b,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.3,355.7636294909999,3.0,7.655262579529352e-10,23.63989673524217,33.719981224009906,0.7010649436070762,True,,,23.63989673524217,0.0,613266,462271,54421,b911db5ed2179d80a03c2b1341ac4f5b136eccb3ae4848484ac67a6ae2ad2d43,coarse
