"m_S [GeV]","K","K_star(892)","K_star(1410)","K_star(1680)","K_1(1270)","K_1(1400)","K_0star(800)","K_0star(1430)","K_2(1430)","Pi"
0.01,0.42672372344735543,0.4736795149895956,0.2084375354348749,0.13203248771906878,0.9115193739801297,0.015924914703474912,0.7408122351822508,0.08490794247970815,0.3032286884372182,0.012322103823722307
0.03,0.42672912052628953,0.4736796911437003,0.2084259767140811,0.13202329346504113,0.9115094730526246,0.015922086131368314,0.7408145702587137,0.08492108084191334,0.30321311189060746,0.012322268308294866
0.05,0.4267399148747395,0.4736800424903074,0.2084028590403947,0.13200490483503766,0.9114896647039071,0.015916429222859064,0.7408192339552224,0.08494736551860173,0.3031819553424464,0.012322597286139478
0.06999999999999999,0.4267561068737568,0.47368056710545103,0.20836818194960113,0.13197732158522832,0.9114599359430449,0.015907944450017388,0.7408262133542833,0.0849868124230753,0.30313521188307146,0.01232309077465406
0.09,0.42677769709463914,0.4736812621012664,0.2083219447453361,0.13194054335002972,0.9114202672748412,0.015896632522604537,0.7408354890680066,0.0850394454471635,0.3030728711485301,0.012323748799932702
0.11,0.4268046862985946,0.4736821236236911,0.2082641464990367,0.1318945696423025,0.9113706326892678,0.015882494390061994,0.7408470352241181,0.08510529648750745,0.3029949193212428,0.012324571396762357
0.13,0.4268370754362914,0.47368314684940016,0.2081947860498728,0.13183939985361248,0.9113109996473707,0.015865531244166318,0.7408608194473051,0.08518440548065861,0.3029013391308893,0.012325558608618396
0.15000000000000002,0.4268748656472974,0.47368432598195753,0.20811386200466564,0.1317750332545591,0.9112413290636303,0.0158457445223527,0.7408768028358799,0.08527682044703927,0.3027921098555371,0.012326710487659015
0.17,0.4269180582594013,0.47368565424720027,0.2080213727377883,0.1317014689951722,0.9111615752847607,0.015823135911710032,0.7408949399337563,0.08538259754382048,0.30266720732301344,0.01232802709471852
0.19,0.42696665478782087,0.4736871238878368,0.2079173163910513,0.13161870610537552,0.9110716860649487,0.015797707353651307,0.740915178697726,0.08550180112678768,0.30252660391254327,0.012329508499299422
0.21000000000000002,0.4270206569342926,0.4736887261572533,0.20780169087357367,0.13152674349552168,0.9109716025374965,0.01576946104926405,0.740937460460022,0.08563450382127419,0.3023702685566609,0.012331154779563334
0.23,0.4270800665860444,0.47369045131252924,0.20767449386163844,0.1314255799569964,0.9108612591828655,0.015738399465345155,0.7409617198861543,0.08578078660225325,0.3021981667434128,0.012332966022320709
0.25,0.42714488581464766,0.47369228860664875,0.2075357227985344,0.13131521416289663,0.9107405837930855,0.01570452534112699,0.7409878849280015,0.08594073888369277,0.3020102605188752,0.012334942323019262
0.27,0.42721511687474634,0.473694226279904,0.20738537489438497,0.13119564466878111,0.9106094974325076,0.015667841695699302,0.7410158767721324,0.08611445861728698,0.30180650849000423,0.0123370837857312
0.29000000000000004,0.4272907622026645,0.47369625155047207,0.20722344712596452,0.13106686991349845,0.9104679143948846,0.01562835183613559,0.7410456097833564,0.0863020524006896,0.3015868658278441,0.012339390523139074
0.31,0.4273718244148845,0.47369835060417065,0.207049936236501,0.1309288882200914,0.9103157421567252,0.015586059366330191,0.7410769914434527,0.08650363559538642,0.3013512842711168,0.012341862656520373
0.33,0.42745830630639975,0.47370050858336415,0.20686483873547037,0.13078169779678303,0.9101528813269224,0.015540968196554835,0.7411099222850817,0.08671933245435419,0.3010997121302258,0.012344500315730667
0.35000000000000003,0.42755021084893335,0.47370270957501803,0.20666815089837834,0.13062529673804388,0.9099792255925832,0.015493082553743279,0.7411442958208373,0.08694927625966523,0.3008320942917026,0.012347303639185346
0.37,0.42764754118902465,0.47370493659789137,0.20645986876653497,0.1304596830257448,0.9097946616610539,0.015442406992513093,0.7411799984674189,0.08719360947020549,0.3005483722231291,0.012350272773839916
0.39,0.42775030064597624,0.47370717158884756,0.20623998814682024,0.13028485453039845,0.9095990691980824,0.015388946406935096,0.7412169094648947,0.08745248387968842,0.3002484839785719,0.012353407875168754
0.41000000000000003,0.42785849270966225,0.47370939538826495,0.2060085046114433,0.1301008090124904,0.909392320762078,0.015332706043060217,0.7412549007910294,0.08772606078515204,0.2999323642045708,0.012356709107142259
0.43,0.4279721210381909,0.4737115877245407,0.20576541349769578,0.12990754412390565,0.9091742817344295,0.015273691512215585,0.7412938370706432,0.08801451116614145,0.2995999441467154,0.01236017664220242
0.45,0.42809118945541974,0.47371372719766325,0.20551070990770148,0.12970505740945204,0.9089448102458144,0.015211908805081175,0.741333575479973,0.08831801587478515,0.2992511516568614,0.012363810661236655
0.47000000000000003,0.428215701948319,0.47371579126184743,0.20524438870816428,0.12949334630848547,0.9087037570984788,0.01514736430655941,0.7413739656460017,0.08863676583698485,0.2988859112010283,0.012367611353549881
0.49,0.4283456626641774,0.4737177562071908,0.2049664445301127,0.12927240815664062,0.9084509656843941,0.015080064811450238,0.741414849540727,0.08897096226494647,0.2985041438680339,0.012371578916834798
